============================================================
====== CONTENTS OF: backtest_2025-08-13_15-15-55.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_20-45-55.json =====
Signal Generation Time (UTC): 2025-08-13 15:15:55

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
1000BONKUSDT    Buy   75              False      Success           51.0        0.027096          0.025984               No
     SKLUSDT    Buy   75              False      Success           30.0        0.030250          0.027790               No
    AAVEUSDT    Buy   60              False      Success           30.0      329.980000        322.370000               No
    HYPEUSDT    Buy   67              False      Success           39.0       47.497000         45.285000               No
   PROVEUSDT    Buy   60              False      Success           50.0        1.495000          1.446700               No
   TRUMPUSDT    Buy   60              False      Success            5.0        9.745000          9.440000               No
     LDOUSDT    Buy   60              False      Success           31.0        1.529500          1.487200               No
     MYXUSDT    Buy   80              False         Fail           72.0        1.831800          1.754000               No
    SOONUSDT    Buy   60              False         Fail           33.0        0.419940          0.394000               No
     CRVUSDT    Buy   60              False      Success           45.0        1.047000          1.021000               No
    ZORAUSDT    Buy   89              False      Success           21.0        0.122890          0.117150               No
      OPUSDT    Buy   60              False      Success           44.0        0.864200          0.830800               No
     XLMUSDT    Buy   60              False Inconclusive            NaN        0.452660          0.446450               No
    ONDOUSDT    Buy   60              False      Success           44.0        1.073800          1.058100               No
     ETCUSDT    Buy   60              False      Success           44.0       24.252000         23.847000               No
     SEIUSDT    Buy   60              False      Success           42.0        0.356400          0.348200               No
     TONUSDT    Buy   60              False      Success           44.0        3.507200          3.450800               No
   TOWNSUSDT    Buy   75              False      Success           25.0        0.034240          0.033050               No
    NEARUSDT    Buy   60              False      Success          147.0        2.950000          2.897000               No
1000SHIBUSDT    Buy   60              False      Success          101.0        0.013910          0.013700               No
     APTUSDT    Buy   60              False      Success           32.0        5.068500          4.910400               No
     WLDUSDT    Buy   60              False      Success           51.0        1.123200          1.078300               No
    HBARUSDT    Buy   60              False      Success           46.0        0.265140          0.261700               No
      INUSDT    Buy   60              False      Success           10.0        0.113800          0.101440               No
   ETHFIUSDT    Buy   60              False      Success            8.0        1.313700          1.270800               No
     SPKUSDT    Buy   60              False      Success           25.0        0.094970          0.089100               No
     TIAUSDT    Buy   60              False      Success           28.0        1.998000          1.946700               No
     FILUSDT    Buy   60              False      Success           44.0        2.733000          2.688000               No
    HIFIUSDT    Buy   60              False      Success           33.0        0.095560          0.092640               No
     TRXUSDT    Buy   60              False      Success            6.0        0.362470          0.357680               No
     TAOUSDT    Buy   60              False      Success           44.0      396.670000        387.770000               No
  PENDLEUSDT    Buy   60              False      Success           51.0        5.731200          5.560100               No
     INJUSDT    Buy   60              False      Success           45.0       16.065000         15.502000               No
    BOMEUSDT    Buy   60              False Inconclusive            NaN        0.002165          0.002100               No
     WCTUSDT    Buy   75              False      Success           44.0        0.351100          0.343400               No
     JUPUSDT    Buy   60              False      Success           51.0        0.553000          0.542300               No
