============================================================
====== CONTENTS OF: backtest_2025-08-13_15-15-55.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_20-45-55.json =====
Signal Generation Time (UTC): 2025-08-13 15:15:55

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
  PENDLEUSDT    Buy   80              False         Fail           13.0        5.695700          5.540000               No
    HIFIUSDT    Buy   60              False      Success           40.0        0.101360          0.093680               No
     AIOUSDT    Buy   60              False         Fail           61.0        0.123120          0.109150               No
     TAOUSDT    Buy   60              False         Fail           44.0      393.730000        385.840000               No
     INJUSDT    Buy   89              False         Fail           63.0       16.065000         15.662000               No
   EIGENUSDT    Buy   89              False         Fail           53.0        1.602100          1.532600               No
    BOMEUSDT    Buy   60              False         Fail           63.0        0.002142          0.002096               No
     WCTUSDT    Buy   60              False         Fail           52.0        0.374400          0.343400              Yes
    TREEUSDT    Buy   60              False         Fail           63.0        0.422600          0.412200               No
     JUPUSDT    Buy   60              False         Fail           63.0        0.553100          0.540700              Yes
 VIRTUALUSDT    Buy   60              False         Fail           63.0        1.377900          1.337600              Yes
   NEIROUSDT    Buy   60              False      Success            1.0        0.000444          0.000400               No
    MYROUSDT    Buy   60              False      Success           28.0        0.030890          0.029770               No
  RESOLVUSDT    Buy   75              False         Fail           50.0        0.190150          0.183830               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_17-47-48.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_23-17-48.json =====
Signal Generation Time (UTC): 2025-08-13 17:47:48

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False      Success           14.0     4752.540000       4687.820000               No
     BTCUSDT    Buy   60              False      Success           15.0   122863.000000     121363.600000               No
     SOLUSDT    Buy   60              False      Success           21.0      202.300000        197.810000               No
     XRPUSDT    Buy   60              False         Fail           49.0        3.284700          3.243500               No
FARTCOINUSDT    Buy   60              False      Success           25.0        1.120900          1.070000               No
    DOGEUSDT    Buy   60              False         Fail           49.0        0.244240          0.240280               No
     ENAUSDT    Buy   60              False         Fail           31.0        0.789000          0.765700               No
1000PEPEUSDT    Buy   60              False         Fail           38.0        0.012439          0.012013              Yes
    LINKUSDT    Buy   60              False      Success           90.0       23.931000         23.560000               No
     SUIUSDT    Buy   80              False         Fail           49.0        4.006700          3.950200               No
     ADAUSDT    Buy   60              False      Success           25.0        0.885300          0.866400               No
     BNBUSDT    Buy   60              False         Fail           34.0      846.000000        838.010000               No
     LTCUSDT    Buy   60              False         Fail           49.0      130.340000        128.880000               No
    PUMPUSDT    Buy   60              False         Fail           37.0        0.003991          0.003857               No
     UNIUSDT    Buy   60              False         Fail           49.0       12.095000         11.893000               No
     SKLUSDT    Buy   60              False         Fail           52.0        0.030060          0.027910               No
   PENGUUSDT    Buy   60              False         Fail           49.0        0.037785          0.036605              Yes
    AVAXUSDT    Buy   60              False      Success           93.0       25.419000         24.994000               No
   TRUMPUSDT    Buy   60              False         Fail           39.0        9.603000          9.440000               No
   CYBERUSDT    Buy   60              False      Success           12.0        2.923000          2.847000               No
    HYPEUSDT    Buy   75              False         Fail           52.0       48.021000         46.630000              Yes
1000BONKUSDT    Buy   89              False      Success           18.0        0.027980          0.026462               No
    AAVEUSDT    Buy   60              False         Fail           49.0      328.200000        323.440000               No
     BCHUSDT    Buy   75              False         Fail           61.0      615.330000        608.100000               No
   PROVEUSDT    Buy   80              False Inconclusive            NaN        1.497800          1.471400               No
     MYXUSDT    Buy   60              False Inconclusive            NaN        1.828200          1.788900               No
     LDOUSDT    Buy   60              False         Fail           49.0        1.510400          1.458500               No
    SOONUSDT    Buy   60              False         Fail           38.0        0.419130          0.394000               No
     DOTUSDT    Buy   60              False         Fail           37.0        4.256000          4.175000               No
      OPUSDT    Buy   60              False         Fail           28.0        0.860200          0.825300               No
     CRVUSDT    Buy   89              False         Fail           28.0        1.044000          1.021000               No
     GTCUSDT    Buy   60              False Inconclusive            NaN        0.479000          0.445000               No
     SEIUSDT    Buy   60              False         Fail           49.0        0.354400          0.346900               No
     XLMUSDT    Buy   80              False         Fail           40.0        0.454160          0.446250              Yes
     TONUSDT    Buy   80              False      Success           75.0        3.519800          3.481300               No
     APTUSDT    Buy   60              False         Fail           17.0        5.011900          4.906200               No
   TOWNSUSDT    Buy   75              False      Success           30.0        0.034050          0.032870               No
     ETCUSDT    Buy   60              False         Fail           49.0       24.252000         23.858000               No
     SPKUSDT    Buy   60              False      Success           96.0        0.094250          0.090090               No
    NEARUSDT    Buy   80              False         Fail           50.0        2.987000          2.905000              Yes
   ETHFIUSDT    Buy   60              False         Fail           34.0        1.305600          1.257000               No
    ONDOUSDT    Buy   60              False         Fail           49.0        1.073300          1.055000              Yes
1000SHIBUSDT    Buy   60              False      Success           15.0        0.013911          0.013709               No
    HBARUSDT    Buy   60              False         Fail           50.0        0.265130          0.261600               No
     TIAUSDT    Buy   60              False         Fail           49.0        2.005400          1.948000              Yes
     TRXUSDT    Buy   60              False Inconclusive            NaN        0.362000          0.360020               No
     FILUSDT    Buy   60              False         Fail           49.0        2.728000          2.685000               No
  PENDLEUSDT    Buy   60              False         Fail           64.0        5.669100          5.540000               No
     AIOUSDT    Buy   60              False         Fail           48.0        0.120410          0.109150               No
    HIFIUSDT    Buy   60              False      Success           26.0        0.102210          0.093720               No
     INJUSDT    Buy   89              False         Fail           42.0       16.065000         15.662000               No
      INUSDT    Buy   75              False         Fail           35.0        0.104700          0.099590               No
     TAOUSDT    Buy   60              False         Fail           36.0      393.730000        385.840000               No
   EIGENUSDT    Buy   75              False         Fail           38.0        1.602100          1.532600               No
    BOMEUSDT    Buy   60              False      Success            0.0        0.002142          0.002096               No
     WCTUSDT    Buy   60              False         Fail           38.0        0.374400          0.343400              Yes
     JUPUSDT    Buy   60              False      Success           25.0        0.553100          0.540700               No
    TREEUSDT    Buy   60              False      Success           16.0        0.422600          0.412200               No
 VIRTUALUSDT    Buy   60              False         Fail           49.0        1.378000          1.337600              Yes
   NEIROUSDT    Buy   60              False      Success            0.0        0.000445          0.000400               No
    MYROUSDT    Buy   60              False      Success           14.0        0.030890          0.029770               No
  RESOLVUSDT    Buy   75              False         Fail           36.0        0.190150          0.183830               No

--- SELL SIGNALS ---
   Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
WLDUSDT   Sell   58              False    Fail           25.0           1.089            1.1232              Yes



============================================================
====== CONTENTS OF: backtest_2025-08-13_17-58-32.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_23-28-32.json =====
Signal Generation Time (UTC): 2025-08-13 17:58:32

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   89              False         Fail           38.0     4752.540000       4687.820000               No
     BTCUSDT    Buy   89              False         Fail           38.0   122990.000000     121363.600000              Yes
     SOLUSDT    Buy   60              False         Fail           38.0      202.300000        197.810000              Yes
     XRPUSDT    Buy   80              False         Fail           26.0        3.284700          3.243500               No
FARTCOINUSDT    Buy   60              False      Success           16.0        1.120900          1.070000               No
    DOGEUSDT    Buy   60              False         Fail           27.0        0.244240          0.240280               No
     ENAUSDT    Buy   80              False         Fail           14.0        0.789000          0.765700               No
1000PEPEUSDT    Buy   60              False         Fail           23.0        0.012439          0.012013              Yes
    LINKUSDT    Buy   60              False      Success           80.0       23.931000         23.560000               No
     SUIUSDT    Buy   89              False         Fail           26.0        4.006700          3.950200               No
     BNBUSDT    Buy   60              False         Fail           23.0      846.000000        838.010000               No
     ADAUSDT    Buy   60              False         Fail           38.0        0.886100          0.866400              Yes
     LTCUSDT    Buy   60              False         Fail           38.0      130.340000        128.880000               No
    PUMPUSDT    Buy   60              False         Fail           26.0        0.003991          0.003857               No
     UNIUSDT    Buy   60              False         Fail           25.0       12.095000         11.893000               No
     SKLUSDT    Buy   60              False         Fail           41.0        0.029620          0.027870               No
     WIFUSDT    Buy   60              False         Fail           38.0        1.048800          1.017100              Yes
   PENGUUSDT    Buy   89              False         Fail           26.0        0.037785          0.036605              Yes
    AVAXUSDT    Buy   60              False         Fail           39.0       25.419000         24.994000              Yes
   TRUMPUSDT    Buy   60              False         Fail           26.0        9.603000          9.440000               No
1000BONKUSDT    Buy   89              False         Fail           39.0        0.027980          0.026462              Yes
   CYBERUSDT    Buy   80              False         Fail           26.0        2.923000          2.847000              Yes
    AAVEUSDT    Buy   60              False         Fail           38.0      328.170000        323.440000               No
     BCHUSDT    Buy   75              False         Fail           38.0      615.330000        608.100000               No
   PROVEUSDT    Buy   75              False         Fail          172.0        1.497800          1.466800               No
     MYXUSDT    Buy   60              False Inconclusive            NaN        1.828200          1.788900               No
     LDOUSDT    Buy   60              False         Fail           25.0        1.510400          1.458500               No
    SOONUSDT    Buy   60              False         Fail           23.0        0.418540          0.394000               No
     DOTUSDT    Buy   60              False         Fail           25.0        4.256000          4.175000               No
      OPUSDT    Buy   60              False         Fail           20.0        0.858200          0.825300               No
     CRVUSDT    Buy   60              False         Fail           19.0        1.042000          1.021000               No
     GTCUSDT    Buy   60              False Inconclusive            NaN        0.479000          0.445000               No
     SEIUSDT    Buy   60              False         Fail           38.0        0.354400          0.346900               No
     XLMUSDT    Buy   89              False         Fail           25.0        0.454160          0.446250               No
     TONUSDT    Buy   89              False      Success          135.0        3.519800          3.481300               No
   TOWNSUSDT    Buy   60              False         Fail           38.0        0.034050          0.032870              Yes
     ETCUSDT    Buy   89              False         Fail           26.0       24.252000         23.858000               No
     SPKUSDT    Buy   60              False      Success           83.0        0.094250          0.090090               No
    NEARUSDT    Buy   89              False         Fail           38.0        2.987000          2.905000              Yes
     WLDUSDT    Buy   67              False      Success           14.0        1.123200          1.089000               No
   ETHFIUSDT    Buy   60              False         Fail           22.0        1.305600          1.257000               No
1000SHIBUSDT    Buy   60              False         Fail           25.0        0.013911          0.013709               No
    ONDOUSDT    Buy   60              False         Fail           26.0        1.073300          1.055000               No
    HBARUSDT    Buy   60              False         Fail           38.0        0.265130          0.261600               No
     TIAUSDT    Buy   60              False         Fail           38.0        2.005400          1.948000              Yes
     TRXUSDT    Buy   75              False         Fail           38.0        0.361800          0.360020               No
     FILUSDT    Buy   60              False         Fail           38.0        2.728000          2.685000               No
  PENDLEUSDT    Buy   60              False         Fail           38.0        5.669100          5.540000               No
     AIOUSDT    Buy   60              False         Fail           37.0        0.120410          0.109150               No
     INJUSDT    Buy   67              False         Fail           10.0       16.065000         15.662000               No
    HIFIUSDT    Buy   60              False      Success           57.0        0.103250          0.093740               No
     TAOUSDT    Buy   60              False         Fail            6.0      393.660000        385.840000               No
      INUSDT    Buy   60              False         Fail           17.0        0.104600          0.099590               No
   EIGENUSDT    Buy   60              False         Fail           28.0        1.602100          1.532600               No
    BOMEUSDT    Buy   60              False      Success            0.0        0.002142          0.002096               No
     WCTUSDT    Buy   60              False         Fail           25.0        0.374400          0.343400              Yes
     JUPUSDT    Buy   60              False         Fail           28.0        0.553100          0.540700               No
    TREEUSDT    Buy   60              False         Fail           23.0        0.422600          0.412200               No
 VIRTUALUSDT    Buy   60              False         Fail           27.0        1.378000          1.337600              Yes
  RESOLVUSDT    Buy   60              False         Fail           22.0        0.190150          0.183830               No
    MYROUSDT    Buy   60              False         Fail           26.0        0.030890          0.029770               No
   NEIROUSDT    Buy   60              False      Success            0.0        0.000445          0.000400               No

--- SELL SIGNALS ---
    Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
HYPEUSDT   Sell   57              False Success           25.0           46.63            48.021               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_18-56-00.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-14_00-26-00.json =====
Signal Generation Time (UTC): 2025-08-13 18:56:00

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False Success             25     4778.870000       4694.550000               No
     BTCUSDT    Buy   60              False Success             14   123061.900000     121461.400000               No
     SOLUSDT    Buy   60              False Success             25      202.300000        198.830000               No
     XRPUSDT    Buy   60              False Success             58        3.284700          3.252200               No
FARTCOINUSDT    Buy   60              False Success             20        1.120900          1.075200               No
    DOGEUSDT    Buy   60              False Success             57        0.244530          0.241730               No
     ENAUSDT    Buy   75              False Success             25        0.785100          0.760000               No
1000PEPEUSDT    Buy   60              False Success             25        0.012439          0.012098               No
    LINKUSDT    Buy   80              False Success             27       24.029000         23.595000               No
     SUIUSDT    Buy   60              False Success            132        4.005700          3.960600               No
     BNBUSDT    Buy   75              False Success             24      846.000000        839.050000               No
     ADAUSDT    Buy   80              False Success             39        0.888500          0.872900               No
     LTCUSDT    Buy   67              False Success             25      130.340000        128.970000               No
     UNIUSDT    Buy   60              False Success             30       12.151000         11.954000               No
    PUMPUSDT    Buy   60              False Success             21        0.003991          0.003866               No
     WIFUSDT    Buy   60              False Success             33        1.048800          1.021300               No
   PENGUUSDT    Buy   60              False Success             24        0.037785          0.036877               No
    AVAXUSDT    Buy   60              False Success             24       25.603000         25.078000               No
   TRUMPUSDT    Buy   60              False Success             59        9.597000          9.499000               No
1000BONKUSDT    Buy   60              False Success             31        0.027980          0.026597               No
   CYBERUSDT    Buy   60              False Success             10        2.941000          2.855000               No
   PROVEUSDT    Buy   60              False    Fail            115        1.497800          1.454700               No
     BCHUSDT    Buy   75              False Success             49      613.490000        608.870000               No
     MYXUSDT    Buy   60              False    Fail            148        1.812900          1.763300               No
     LDOUSDT    Buy   67              False    Fail             42        1.501700          1.458500              Yes
    SOONUSDT    Buy   67              False Success             30        0.417990          0.394990               No
      OPUSDT    Buy   67              False Success            104        0.850900          0.825300               No
     DOTUSDT    Buy   60              False Success             52        4.272000          4.197000               No
     GTCUSDT    Buy   60              False    Fail            139        0.479000          0.438000               No
     CRVUSDT    Buy   60              False Success             25        1.044000          1.027000               No
    ZORAUSDT    Buy   75              False Success             29        0.119890          0.115380               No
     SEIUSDT    Buy   60              False Success              7        0.356500          0.348500               No
     APTUSDT    Buy   60              False Success             59        5.060000          4.934800               No
     XLMUSDT    Buy   60              False Success             34        0.454160          0.448460               No
     TONUSDT    Buy   60              False Success             79        3.519800          3.485100               No
   TOWNSUSDT    Buy   75              False Success             29        0.034290          0.032870               No
     WLDUSDT    Buy   60              False Success             37        1.114200          1.093400               No
     ETCUSDT    Buy   60              False Success            131       24.232000         23.873000               No
   ETHFIUSDT    Buy   60              False Success             94        1.325900          1.266100               No
    NEARUSDT    Buy   60              False Success             37        2.999000          2.921000               No
1000SHIBUSDT    Buy   60              False Success             59        0.013938          0.013771               No
    ONDOUSDT    Buy   60              False Success             59        1.075800          1.061200               No
     TIAUSDT    Buy   60              False Success             33        2.009300          1.967800               No
    HBARUSDT    Buy   60              False Success             31        0.265130          0.262270               No
     TRXUSDT    Buy   60              False Success             31        0.361690          0.360020               No
     SPKUSDT    Buy   60              False Success             16        0.094790          0.090590               No
  PENDLEUSDT    Buy   67              False Success            131        5.653300          5.540000               No
     INJUSDT    Buy   60              False Success            130       16.148000         15.662000               No
     TAOUSDT    Buy   75              False Success             25      392.420000        387.550000               No
      INUSDT    Buy   67              False Success             83        0.103210          0.099590               No
   EIGENUSDT    Buy   67              False Success             32        1.641800          1.537000               No
    BOMEUSDT    Buy   60              False Success              0        0.002133          0.002100               No
     XNYUSDT    Buy   60              False    Fail            156        0.017678          0.015742               No
     WCTUSDT    Buy   75              False Success              6        0.374400          0.345400               No
 VIRTUALUSDT    Buy   60              False Success             22        1.385700          1.349000               No
     JUPUSDT    Buy   60              False Success             25        0.553500          0.543400               No
    TREEUSDT    Buy   60              False Success             63        0.423100          0.416100               No
  RESOLVUSDT    Buy   75              False Success             19        0.188860          0.184920               No
    MYROUSDT    Buy   60              False Success             37        0.030830          0.029780               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_19-31-00.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-14_01-01-00.json =====
Signal Generation Time (UTC): 2025-08-13 19:31:00

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   80              False         Fail           53.0     4778.870000       4694.550000              Yes
     SOLUSDT    Buy   89              False      Success           25.0      202.300000        199.860000               No
     XRPUSDT    Buy   60              False         Fail           53.0        3.284700          3.252200               No
    DOGEUSDT    Buy   60              False Inconclusive            NaN        0.244530          0.241880               No
     ENAUSDT    Buy   60              False      Success           29.0        0.785100          0.760000               No
1000PEPEUSDT    Buy   60              False      Success           32.0        0.012439          0.012117               No
     SUIUSDT    Buy   60              False         Fail           34.0        4.005700          3.960600               No
     BNBUSDT    Buy   60              False         Fail           66.0      847.200000        839.050000               No
     ADAUSDT    Buy   89              False      Success           16.0        0.889700          0.877500               No
     LTCUSDT    Buy   60              False         Fail          138.0      130.340000        128.970000               No
     ARBUSDT    Buy   60              False      Success           72.0        0.574900          0.547800               No
     UNIUSDT    Buy   60              False      Success           97.0       12.151000         11.979000               No
    PUMPUSDT    Buy   75              False Inconclusive            NaN        0.003991          0.003900               No
     SKLUSDT    Buy   60              False         Fail           35.0        0.029740          0.027590              Yes
     WIFUSDT    Buy   80              False      Success           29.0        1.048800          1.021300               No
    AVAXUSDT    Buy   89              False      Success           96.0       25.603000         25.225000               No
   PENGUUSDT    Buy   89              False         Fail           51.0        0.037785          0.036877               No
   TRUMPUSDT    Buy   60              False Inconclusive            NaN        9.597000          9.509000               No
    HYPEUSDT    Buy   89              False      Success           21.0       48.021000         46.323000               No
   CYBERUSDT    Buy   60              False      Success           45.0        2.941000          2.872000               No
    AAVEUSDT    Buy   60              False         Fail           25.0      329.500000        324.600000              Yes
   PROVEUSDT    Buy   60              False         Fail           77.0        1.497800          1.454700               No
     BCHUSDT    Buy   60              False      Success          163.0      614.490000        610.360000               No
     MYXUSDT    Buy   60              False         Fail           93.0        1.811400          1.763300               No
     LDOUSDT    Buy   60              False         Fail            6.0        1.501700          1.458500              Yes
    SOONUSDT    Buy   60              False      Success           15.0        0.417990          0.398770               No
      OPUSDT    Buy   60              False      Success           68.0        0.870100          0.826400               No
     GTCUSDT    Buy   80              False         Fail           80.0        0.472000          0.438000               No
     DOTUSDT    Buy   60              False      Success           96.0        4.272000          4.220000               No
     CRVUSDT    Buy   60              False      Success          157.0        1.047000          1.030000               No
     SEIUSDT    Buy   80              False      Success          114.0        0.356500          0.349900               No
    ZORAUSDT    Buy   60              False         Fail            6.0        0.120000          0.115380              Yes
     APTUSDT    Buy   80              False      Success           73.0        5.060000          4.954800               No
   TOWNSUSDT    Buy   60              False      Success           60.0        0.034290          0.033220               No
     XLMUSDT    Buy   89              False         Fail           92.0        0.454160          0.448460               No
     TONUSDT    Buy   89              False         Fail          133.0        3.519800          3.485100               No
     WLDUSDT    Buy   60              False         Fail           54.0        1.117700          1.093900              Yes
     ETCUSDT    Buy   60              False         Fail           34.0       24.239000         23.873000              Yes
    NEARUSDT    Buy   89              False      Success           14.0        3.001000          2.944000               No
   ETHFIUSDT    Buy   60              False         Fail           34.0        1.351000          1.267700              Yes
1000SHIBUSDT    Buy   60              False      Success           24.0        0.013938          0.013797               No
     TIAUSDT    Buy   89              False      Success          177.0        2.013600          1.974700               No
    HBARUSDT    Buy   80              False         Fail           53.0        0.265130          0.262270               No
    ONDOUSDT    Buy   60              False      Success           97.0        1.075800          1.064900               No
     AIOUSDT    Buy   60              False         Fail           89.0        0.117500          0.105300               No
     TRXUSDT    Buy   80              False         Fail            7.0        0.362490          0.360020              Yes
  PENDLEUSDT    Buy   60              False Inconclusive            NaN        5.653300          5.551000               No
     SPKUSDT    Buy   89              False      Success           29.0        0.094790          0.092410               No
     FILUSDT    Buy   60              False      Success           67.0        2.734000          2.702000               No
     INJUSDT    Buy   60              False      Success           95.0       16.148000         15.701000               No
     TAOUSDT    Buy   60              False         Fail          140.0      392.420000        387.230000               No
      INUSDT    Buy   75              False      Success           48.0        0.103210          0.099590               No
    HIFIUSDT    Buy   67              False      Success           22.0        0.108600          0.095430               No
   EIGENUSDT    Buy   60              False      Success           65.0        1.648800          1.550800               No
    BOMEUSDT    Buy   60              False      Success            0.0        0.002133          0.002100               No
     XNYUSDT    Buy   60              False      Success            7.0        0.017678          0.015400               No
 VIRTUALUSDT    Buy   89              False         Fail           54.0        1.385700          1.357700              Yes
  RESOLVUSDT    Buy   60              False      Success           97.0        0.188860          0.186220               No
     JUPUSDT    Buy   60              False      Success           29.0        0.553500          0.546300               No
    TREEUSDT    Buy   60              False      Success           40.0        0.423100          0.415900               No
    MYROUSDT    Buy   60              False      Success           73.0        0.030830          0.029920               No
      OGUSDT    Buy   75              False      Success           32.0       16.068000         15.268000               No

--- SELL SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
1000BONKUSDT   Sell   58              False    Fail           15.0        0.026858           0.02798              Yes



============================================================
====== CONTENTS OF: backtest_2025-08-13_19-45-29.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-14_01-15-29.json =====
Signal Generation Time (UTC): 2025-08-13 19:45:29

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False      Success           10.0     4778.870000       4694.550000               No
     BTCUSDT    Buy   89              False      Success           10.0   123669.300000     122314.100000               No
     SOLUSDT    Buy   89              False      Success           14.0      202.610000        199.860000               No
     XRPUSDT    Buy   60              False         Fail          125.0        3.287900          3.252200              Yes
FARTCOINUSDT    Buy   75              False      Success            7.0        1.120900          1.075200               No
    DOGEUSDT    Buy   60              False      Success           83.0        0.245600          0.241880               No
     ENAUSDT    Buy   60              False      Success            9.0        0.785100          0.760000               No
1000PEPEUSDT    Buy   60              False      Success           18.0        0.012439          0.012117               No
    LINKUSDT    Buy   60              False      Success           82.0       24.131000         23.595000               No
     SUIUSDT    Buy   60              False      Success           95.0        4.021300          3.960600               No
     BNBUSDT    Buy   60              False         Fail           52.0      848.700000        839.050000              Yes
     LTCUSDT    Buy   60              False         Fail           62.0      131.030000        128.970000              Yes
     ARBUSDT    Buy   60              False      Success           53.0        0.574900          0.547800               No
     UNIUSDT    Buy   60              False      Success           47.0       12.172000         11.979000               No
    PUMPUSDT    Buy   89              False Inconclusive            NaN        0.003991          0.003900               No
     SKLUSDT    Buy   60              False         Fail           33.0        0.029740          0.027590              Yes
     WIFUSDT    Buy   60              False      Success            9.0        1.048800          1.021300               No
    AVAXUSDT    Buy   60              False      Success           34.0       25.612000         25.225000               No
   PENGUUSDT    Buy   60              False      Success            8.0        0.037785          0.036877               No
   TRUMPUSDT    Buy   60              False      Success          169.0        9.639000          9.509000               No
    HYPEUSDT    Buy   60              False      Success            7.0       48.021000         46.323000               No
   CYBERUSDT    Buy   60              False      Success           29.0        2.941000          2.873000               No
    AAVEUSDT    Buy   60              False      Success           82.0      330.520000        324.600000               No
   PROVEUSDT    Buy   60              False      Success           29.0        1.497800          1.454700               No
     BCHUSDT    Buy   60              False      Success          149.0      617.300000        610.360000               No
     MYXUSDT    Buy   60              False         Fail           99.0        1.810600          1.763300               No
     LDOUSDT    Buy   67              False      Success           55.0        1.502700          1.458500               No
    SOONUSDT    Buy   60              False      Success            1.0        0.417990          0.398770               No
      OPUSDT    Buy   75              False      Success           45.0        0.875000          0.826700               No
     GTCUSDT    Buy   60              False         Fail           73.0        0.472000          0.438000               No
     DOTUSDT    Buy   60              False      Success           15.0        4.293000          4.220000               No
     CRVUSDT    Buy   60              False      Success           15.0        1.054000          1.030000               No
     SEIUSDT    Buy   80              False      Success          103.0        0.356500          0.349900               No
    ZORAUSDT    Buy   75              False      Success           10.0        0.120000          0.115380               No
   TOWNSUSDT    Buy   60              False      Success           46.0        0.034290          0.033410               No
     APTUSDT    Buy   60              False      Success           53.0        5.060000          4.954800               No
     XLMUSDT    Buy   60              False         Fail          119.0        0.454450          0.448460               No
     TONUSDT    Buy   60              False      Success           30.0        3.524700          3.485100               No
     WLDUSDT    Buy   60              False      Success           57.0        1.127100          1.093900               No
     ETCUSDT    Buy   60              False      Success           82.0       24.349000         23.873000               No
   ETHFIUSDT    Buy   60              False      Success           43.0        1.356300          1.267700               No
1000SHIBUSDT    Buy   60              False      Success           10.0        0.013979          0.013797               No
     TIAUSDT    Buy   89              False      Success          106.0        2.015500          1.974700               No
    HBARUSDT    Buy   60              False         Fail          125.0        0.266140          0.262270              Yes
    ONDOUSDT    Buy   60              False      Success           14.0        1.081300          1.064900               No
     AIOUSDT    Buy   60              False         Fail           13.0        0.117500          0.105300               No
     TRXUSDT    Buy   60              False      Success          106.0        0.362490          0.360020               No
  PENDLEUSDT    Buy   60              False      Success           82.0        5.653300          5.551000               No
     FILUSDT    Buy   60              False      Success           46.0        2.747000          2.704000               No
     SPKUSDT    Buy   89              False      Success           50.0        0.094790          0.092570               No
     INJUSDT    Buy   60              False      Success           81.0       16.392000         15.701000               No
     TAOUSDT    Buy   60              False         Fail          135.0      392.630000        387.230000              Yes
      INUSDT    Buy   75              False      Success           34.0        0.103800          0.100280               No
    HIFIUSDT    Buy   67              False      Success           15.0        0.108600          0.095430               No
   EIGENUSDT    Buy   60              False      Success           50.0        1.654500          1.550800               No
     XNYUSDT    Buy   60              False         Fail          107.0        0.017678          0.015400               No
    BOMEUSDT    Buy   60              False      Success            1.0        0.002133          0.002100               No
 VIRTUALUSDT    Buy   60              False      Success           15.0        1.385700          1.357700               No
      OGUSDT    Buy   75              False         Fail           45.0       16.068000         15.268000               No
  RESOLVUSDT    Buy   60              False      Success           50.0        0.190200          0.186220               No
     JUPUSDT    Buy   60              False      Success          176.0        0.555000          0.546300               No
    MYROUSDT    Buy   60              False      Success           49.0        0.030830          0.029920               No
    TREEUSDT    Buy   60              False      Success           19.0        0.423100          0.415900               No

--- SELL SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
1000BONKUSDT   Sell   58              False    Fail            3.0        0.026858           0.02798              Yes



============================================================
====== CONTENTS OF: backtest_2025-08-13_19-58-16.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-14_01-28-16.json =====
Signal Generation Time (UTC): 2025-08-13 19:58:16

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   80              False    Fail             26     4783.480000       4694.550000              Yes
     BTCUSDT    Buy   67              False    Fail            112   123680.000000     122314.100000              Yes
     XRPUSDT    Buy   80              False    Fail             10        3.294400          3.252200              Yes
FARTCOINUSDT    Buy   89              False    Fail              6        1.122400          1.075200               No
    DOGEUSDT    Buy   89              False    Fail             25        0.246190          0.241880              Yes
     ENAUSDT    Buy   80              False    Fail             55        0.785100          0.760000               No
1000PEPEUSDT    Buy   80              False Success              5        0.012439          0.012117               No
     SUIUSDT    Buy   60              False    Fail             26        4.034900          3.960600              Yes
    LINKUSDT    Buy   60              False Success             68       24.162000         23.595000               No
