Coin name,current price,volume,24 hours change,RSI 14 on 1 min Candles,RSI 14 on 5 min Candles,RSI 14 on 15 min Candles,RSI 14 on 1 day candles
DASH,0.00,17.91,0.00,73.09,38.64,27.49,52.92
PAXG,0.00,0.09,0.00,70.03,19.76,62.45,31.42
LEVER,0.00,188838.00,0.00,66.70,42.75,46.52,82.08
ARPA,0.00,30737.30,0.00,65.03,53.96,25.58,53.71
STEEM,0.00,47.10,0.00,29.18,55.49,36.64,39.58
WAXP,0.00,4817.00,0.00,28.66,34.77,66.13,45.28
AI,0.00,41784.50,0.00,27.39,51.75,54.72,51.13
RIF,0.00,0.00,0.00,26.96,52.41,37.14,45.32
BB,0.00,7446.50,0.00,26.21,54.39,61.63,37.16
EPIC,0.00,283.70,0.00,24.72,38.67,29.47,42.10
