===== BACKTEST REPORT FOR: signals_2025-09-04_20-26-57_STRONG.json =====
Signals processed: 70

--- BUY SIGNALS ---
                             SourceFile         Coin Signal  Confidence      Outcome  Duration(min)  Did_TP_Hit  Buy_Score  Sell_Score Num_Confluence_Buy Num_Confluence_Sell  Regime Estimated_Profit  DeservedStrongBuy  DeservedStrongSell                    SignalTimeUTC                    SignalTimeIST     rsi5m  williamsR      cci5m     cmf5m stc5m tsi5m   cvd5m hma5m alma5m  macd5m_macd  macd5m_signal  macd5m_hist  boll_upper  boll_middle  boll_lower  keltner_upper  keltner_middle  keltner_lower  marketTrend  RSI_buy_score  WilliamsR_buy_score  CCI_buy_score  CMF_buy_score  CVD_buy_score  HMA_buy_score  ALMA_buy_score  MACD_buy_score  RSI_sell_score  WilliamsR_sell_score  CCI_sell_score  CMF_sell_score  CVD_sell_score  HMA_sell_score  ALMA_sell_score  MACD_sell_score  Bollinger_buy_score  Keltner_buy_score  Bollinger_sell_score  Keltner_sell_score
signals_2025-09-04_20-26-57_STRONG.json       PUMPUSDT Strong Sell          55      Success           12.0        True       10.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:07.023168+00:00 2025-09-04T20:26:07.023168+05:30 49.117680 -57.500000  -54.435848  0.037369  None  None falling  down   down     0.000009       0.000016    -0.000008      0.004469      0.004383      0.004298       0.004459        0.004383       0.004307        -10.0            0.0                  0.0            0.0           10.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0             0.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        BNXUSDT Strong Sell          70 Inconclusive            NaN       False       25.0          70               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:07.875511+00:00 2025-09-04T20:26:07.875511+05:30       NaN        NaN         NaN       NaN  None  None falling  down   down     0.000000       0.000000     0.000000      2.000000      2.000000      2.000000       2.000000        2.000000       2.000000        -10.0            NaN                  NaN            NaN            NaN            0.0            0.0             0.0             0.0             NaN                   NaN             NaN             NaN            15.0            10.0             10.0              0.0                 15.0               10.0                  15.0                10.0
signals_2025-09-04_20-26-57_STRONG.json       TAKEUSDT Strong Sell          65      Success            1.0        True        NaN          65               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:08.739242+00:00 2025-09-04T20:26:08.739242+05:30 42.039748 -75.832053  -57.727791 -0.187075  None  None falling  down   down    -0.002259      -0.002157    -0.000102      0.183471      0.176058      0.168645       0.182733        0.176058       0.169383        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json JELLYJELLYUSDT Strong Sell          55         Fail           22.0       False       10.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:09.597856+00:00 2025-09-04T20:26:09.597856+05:30 55.492935 -21.637427   81.918260 -0.110390  None  None falling  down   down     0.000036       0.000025     0.000011      0.039325      0.038730      0.038134       0.039339        0.038730       0.038120        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        SUIUSDT Strong Sell          55      Success           22.0        True       20.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:10.458949+00:00 2025-09-04T20:26:10.458949+05:30 38.895970 -58.603491  -64.717554 -0.188287  None  None falling  down   down    -0.006753      -0.007255     0.000501      3.311476      3.288025      3.264574       3.310225        3.288025       3.265825        -10.0           10.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json   1000PEPEUSDT Strong Sell          55      Success           17.0        True       20.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:11.326630+00:00 2025-09-04T20:26:11.326630+05:30 39.893889 -49.849398  -59.531438 -0.161061  None  None falling  down   down    -0.000019      -0.000021     0.000001      0.009624      0.009538      0.009452       0.009613        0.009538       0.009462        -10.0           10.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json         TAUSDT        Sell          45      Success            0.0        True       20.0          45               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:12.181541+00:00 2025-09-04T20:26:12.181541+05:30 52.749677 -58.180778   44.655238  0.132860  None  None falling  down   down     0.001867       0.000979     0.000887      0.142329      0.132398      0.122466       0.140357        0.132398       0.124438        -10.0            0.0                  0.0            0.0           10.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0             0.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json       LINKUSDT Strong Sell          75      Success           14.0        True       25.0          75               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:13.039326+00:00 2025-09-04T20:26:13.039326+05:30 34.138782 -87.777778 -111.198946 -0.184585  None  None falling  down   down    -0.068131      -0.062328    -0.005803     23.293023     23.083050     22.873077      23.257550       23.083050      22.908550        -10.0           10.0                 15.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0            10.0            10.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json       AVAXUSDT Strong Sell          65      Success          167.0        True        NaN          65               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:13.900372+00:00 2025-09-04T20:26:13.900372+05:30 44.303242 -68.674699  -89.871265 -0.184099  None  None falling  down   down    -0.008994      -0.005516    -0.003478     24.754523     24.671350     24.588177      24.746350       24.671350      24.596350        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        ADAUSDT Strong Sell          55      Success          213.0        True       20.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:14.757253+00:00 2025-09-04T20:26:14.757253+05:30 39.396989 -59.405941  -83.177473 -0.181138  None  None falling  down   down    -0.001570      -0.001587     0.000018      0.817819      0.812685      0.807551       0.817435        0.812685       0.807935        -10.0           10.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
