===== BACKTEST REPORT FOR: signals_2025-08-23_21-06-16.json =====
Signal Generation Time (UTC): 2025-08-23 15:36:16

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BIOUSDT       Buy           53            Fail          27            Yes           11.20%        65            15            False         False         True          39.19         -260.33       -0.169        13.67         -0.00044    
    WLFIUSDT      Buy           47            Success       2             No            11.20%        35            -5            False         True          True          59.93         105.86        0.800         12.18         0.00189     
    SAPIENUSDT    Buy           47            Success       2             No            11.20%        35            10            False         True          True          60.76         158.83        0.950         30.16         0.00034     
    XNYUSDT       Buy           43            Success       1             No            11.20%        25            5             False         True          True          52.83         144.25        0.880         27.80         0.00006     
    TRXUSDT       Buy           47            Inconclusive  180           No            5.60%         35            -5            False         True          True          59.06         117.24        0.797         11.03         0.00003     
    VINEUSDT      Buy           41            Fail          26            No            9.67%         35            10            False         False         True          68.35         147.28        0.926         30.62         0.00008     
    AIOTUSDT      Buy           41            Fail          24            No            7.41%         35            -5            False         False         True          55.25         152.02        0.856         18.22         0.00096     
    PROMPTUSDT    Buy           47            Success       1             No            11.20%        35            45            False         True          True          68.83         202.18        1.001         27.98         0.00187     
    ZORAUSDT      Buy           41            Success       4             No            7.85%         35            -5            False         False         True          57.29         104.57        0.864         16.44         0.00009     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   

