===== BACKTEST REPORT FOR: signals_2025-08-24_20-50-31_STRONG.json =====
Signal Generation Time (UTC): 2025-08-24 15:20:31

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    SOLUSDT       Buy           43            Fail          28            Yes           5.60%         25            20            False         True          True          69.24         158.02        0.963         27.71         0.30187     
    BIOUSDT       Buy           41            Fail          1             No            11.20%        35            25            False         False         True          25.32         -112.11       0.185         53.11         -0.00101    
    MEMEUSDT      Buy           55            Fail          17            Yes           11.20%        55            25            False         True          True          37.07         -194.96       -0.005        27.30         -0.00003    
    ENAUSDT       Buy           43            Fail          21            Yes           6.04%         25            20            False         True          True          62.40         129.09        0.919         16.30         0.00067     
    WIFUSDT       Buy           43            Fail          19            Yes           5.85%         25            20            False         True          True          69.23         164.38        0.972         22.48         0.00142     
    PUMPUSDT      Buy           43            Success       23            No            6.17%         25            20            False         True          True          67.08         141.27        0.991         21.50         0.00000     
    CRVUSDT       Buy           43            Fail          34            Yes           7.17%         25            20            False         True          True          67.72         166.37        0.969         22.68         0.00139     
    LDOUSDT       Buy           43            Success       141           No            5.77%         25            20            False         True          True          69.24         192.16        0.972         42.96         0.00143     
    HAEDALUSDT    Buy           68            Success       25            No            14.00%        70            25            True          False         True          25.30         -188.44       -0.029        24.47         -0.00046    
    1000SHIBUSDT  Buy           43            Success       139           No            5.60%         25            20            False         True          True          67.25         122.46        0.871         26.63         0.00001     
    API3USDT      Buy           43            Fail          34            No            5.60%         25            5             False         True          True          57.53         121.27        0.882         11.07         0.00047     
    TIAUSDT       Buy           43            Fail          31            Yes           5.60%         25            20            False         True          True          67.00         149.83        0.940         26.94         0.00201     
    WCTUSDT       Buy           43            Fail          59            Yes           5.60%         25            20            False         True          True          64.75         143.23        0.961         19.24         0.00031     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ETHUSDT       Sell          41            Fail          113           No            8.40%         25            35            False         False         True          72.96         147.97        0.986         29.25         3.11942     
    WLFIUSDT      Sell          43            Success       1             No            11.20%        20            25            False         True          True          37.67         -122.87       0.054         26.82         -0.00039    
    XRPUSDT       Sell          49            Fail          142           No            5.60%         25            55            False         False         True          69.70         190.61        1.009         15.52         0.00203     
    DOGEUSDT      Sell          41            Success       72            No            8.40%         25            35            False         False         True          73.83         147.42        0.957         28.55         0.00030     
    BNBUSDT       Sell          41            Inconclusive  180           No            8.40%         25            35            False         False         True          78.86         155.18        0.986         37.65         0.73525     
    ADAUSDT       Sell          68            Fail          138           No            8.40%         25            70            True          False         True          72.48         161.09        1.002         23.19         0.00115     
    1000PEPEUSDT  Sell          41            Success       28            No            8.40%         25            35            False         False         True          71.36         151.65        0.965         24.23         0.00002     
    AVAXUSDT      Sell          41            Fail          5             Yes           5.60%         25            35            False         False         True          79.08         141.58        0.941         37.55         0.04842     
    SUIUSDT       Sell          68            Fail          142           No            8.40%         25            70            True          False         True          72.71         180.37        1.035         27.64         0.00442     
    ARBUSDT       Sell          41            Success       33            No            8.40%         25            35            False         False         True          72.00         166.41        0.955         28.37         0.00155     
    PENGUUSDT     Sell          68            Success       19            No            8.40%         25            70            True          False         True          70.05         186.85        1.056         21.78         0.00007     
    FARTCOINUSDT  Sell          68            Success       28            No            8.40%         25            70            True          False         True          76.58         177.91        1.030         22.31         0.00188     
    DOLOUSDT      Sell          43            Fail          12            Yes           11.20%        5             25            False         True          True          42.24         -109.33       0.219         14.70         -0.00009    
    LTCUSDT       Sell          41            Fail          143           No            8.40%         25            35            False         False         True          72.12         161.12        0.973         22.50         0.09608     
    DOTUSDT       Sell          68            Success       72            No            8.40%         25            70            True          False         True          75.30         190.88        1.023         23.33         0.00557     
    UNIUSDT       Sell          41            Success       27            No            5.60%         25            35            False         False         True          73.00         142.01        0.918         33.31         0.01476     
    ETCUSDT       Strong Sell   75            Fail          139           No            8.40%         25            70            True          True          True          74.04         188.73        1.012         24.91         0.02409     
    OPUSDT        Sell          68            Success       66            No            8.40%         25            70            True          False         True          75.86         191.76        1.043         23.88         0.00144     
    WLDUSDT       Sell          68            Success       67            No            8.40%         25            70            True          False         True          76.41         171.19        1.005         25.94         0.00156     
