===== BACKTEST REPORT FOR: signals_2025-08-24_15-50-50.json =====
Signal Generation Time (UTC): 2025-08-24 10:20:50

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ETHUSDT       Buy           49            Inconclusive  180           No            5.60%         55            25            False         False         True          34.76         -201.96       -0.132        14.81         -1.99808    
    SOLUSDT       Buy           49            Fail          17            No            5.60%         55            25            False         False         True          31.63         -265.73       -0.262        17.08         -0.16545    
    XRPUSDT       Buy           68            Inconclusive  180           No            8.40%         70            25            True          False         True          27.18         -172.31       -0.042        22.69         -0.00150    
    DOGEUSDT      Buy           68            Inconclusive  180           No            8.40%         70            25            True          False         True          27.10         -269.28       -0.206        29.49         -0.00013    
    AAVEUSDT      Buy           49            Success       178           No            5.60%         55            25            False         False         True          31.01         -320.13       -0.328        19.67         -0.36292    
    LINKUSDT      Buy           41            Success       75            No            5.60%         35            25            False         False         True          28.55         -126.21       0.070         33.69         -0.01143    
    AVAXUSDT      Buy           68            Fail          17            No            5.60%         70            25            True          False         True          27.93         -276.66       -0.199        19.12         -0.01776    
    BNBUSDT       Buy           68            Inconclusive  180           No            8.40%         70            25            True          False         True          23.01         -332.39       -0.241        31.37         -0.38758    
    ADAUSDT       Buy           68            Inconclusive  180           No            8.40%         70            25            True          False         True          22.44         -208.01       -0.080        26.10         -0.00079    
    ENAUSDT       Buy           68            Inconclusive  180           No            8.40%         70            25            True          False         True          26.77         -221.16       -0.054        33.39         -0.00074    
    1000PEPEUSDT  Buy           68            Fail          58            No            8.40%         70            25            True          False         True          27.52         -201.88       -0.072        36.23         -0.00001    
    SUIUSDT       Buy           68            Fail          18            No            5.60%         70            25            True          False         True          27.23         -259.13       -0.145        18.16         -0.00311    
    ARBUSDT       Buy           68            Success       114           No            8.40%         70            25            True          False         True          24.55         -251.13       -0.085        35.12         -0.00101    
    PENGUUSDT     Buy           41            Fail          18            No            5.60%         35            25            False         False         True          15.57         -156.76       0.060         62.56         -0.00006    
    FARTCOINUSDT  Buy           68            Fail          29            No            8.40%         70            25            True          False         True          23.21         -219.30       -0.060        22.64         -0.00142    
    WIFUSDT       Buy           68            Inconclusive  180           No            8.40%         70            25            True          False         True          27.09         -220.15       -0.050        24.86         -0.00090    
    UNIUSDT       Buy           68            Inconclusive  180           No            8.40%         70            25            True          False         True          26.91         -236.78       -0.090        26.08         -0.01101    
    BRUSDT        Buy           43            Fail          51            No            11.20%        25            20            False         True          True          60.81         202.70        0.985         17.83         0.00038     
    LTCUSDT       Buy           49            Fail          83            No            5.60%         55            25            False         False         True          35.18         -187.55       -0.040        17.41         -0.02211    
    DOTUSDT       Buy           41            Inconclusive  180           No            8.40%         35            25            False         False         True          23.30         -170.56       0.029         23.95         -0.00403    
    HYPEUSDT      Buy           49            Fail          21            No            5.60%         55            25            False         False         True          36.54         -190.67       -0.010        16.32         -0.03888    
