===== BACKTEST REPORT FOR: signals_2025-08-16_01-23-26.json =====
Signal Generation Time (UTC): 2025-08-15 19:53:26

--- SELL SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK  MACD_Conflict_OK  Profit_Ceiling_OK Downgrade_Reason
      OGUSDT   Sell   60              False         Fail           71.0       15.296000         15.746000               No        -10          15          False          False            True             True             False               True              N/A
    ZORAUSDT   Sell   89              False         Fail          165.0        0.094710          0.099040               No          5          40           True          False            True             True              True               True              N/A
    BERAUSDT   Sell   82              False         Fail           17.0        2.120000          2.232000               No        -10          45           True           True           False             True             False               True              N/A
     TONUSDT   Sell   60              False         Fail           38.0        3.362400          3.460000               No        -10          15          False          False            True             True              True               True              N/A
    AEROUSDT   Sell   89              False         Fail           21.0        1.341500          1.406000               No          5          40           True          False            True             True              True               True              N/A
    GALAUSDT   Sell   60              False         Fail           20.0        0.016150          0.016610               No        -10          15          False          False            True             True             False               True              N/A
 VIRTUALUSDT   Sell   60              False         Fail           34.0        1.162100          1.208900               No        -10          15          False          False           False             True             False               True              N/A
    PNUTUSDT   Sell   60              False         Fail           38.0        0.220790          0.227600               No        -10          15          False          False           False             True             False               True              N/A
     AIOUSDT   Sell   89              False      Success           33.0        0.072160          0.077100               No          5          40           True          False            True             True             False              False              N/A
      INUSDT   Sell   67              False         Fail           39.0        0.079170          0.081940               No         20          40           True          False            True             True              True               True              N/A
   EIGENUSDT   Sell   89              False         Fail           17.0        1.338400          1.371900               No          5          40           True          False            True             True              True               True              N/A
     SPXUSDT   Sell   60              False         Fail           29.0        1.432800          1.507500               No        -10          15          False          False            True             True             False               True              N/A

