===== BACKTEST REPORT FOR: signals_2025-08-26_01-27-45.json =====
Signal Generation Time (UTC): 2025-08-25 19:57:45

--- BUY SIGNALS ---
  (none)

--- SELL SIGNALS ---
        Coin Signal  Confidence  Deserving_Strong Outcome  Duration(min)  Estimated_Profit(%)            TP            SL       RSI        %B  Num_Conf  Vol_Profile_OK  Overshoot_OK  Min_Profit_OK Did_TP_Hit_Later
 VIRTUALUSDT   Sell          47             False Success           10.0                  5.0      1.125999      1.142201 27.280564  0.011491       1.0            True         False           True              N/A
     INJUSDT   Sell          47             False Success           12.0                  5.0     12.955793     13.142207 27.926504  0.033908       1.0            True         False           True              N/A
    ZORAUSDT   Sell          47             False    Fail            3.0                  5.0      0.103962      0.105458 21.341328  0.111516       1.0            True         False           True              Yes
     SEIUSDT   Sell          47             False Success           12.0                  5.0      0.284354      0.288446 23.337544 -0.007787       1.0            True         False           True              N/A
  PENDLEUSDT   Sell          47             False Success           13.0                  5.0      5.178445      5.252955 26.448203  0.044777       1.0            True         False           True              N/A
    ALGOUSDT   Sell          47             False Success           12.0                  5.0      0.246427      0.249973 27.137445  0.007011       1.0            True         False           True              N/A
     CFXUSDT   Sell          47             False Success            2.0                  5.0      0.172539      0.175021 23.187578 -0.058361       1.0            True         False           True              N/A
    GALAUSDT   Sell          47             False Success           12.0                  5.0      0.016144      0.016376 28.753294  0.002162       1.0            True         False           True              N/A
     MAVUSDT   Sell          47             False    Fail            3.0                  5.0      0.063731      0.064648 44.841108  0.172408       1.0            True         False           True              Yes

Summary:
  Total: 66  Success: 51  Fail: 5  Inconclusive: 10
