===== BACKTEST REPORT FOR: signals_2025-08-24_14-14-48.json =====
Signal Generation Time (UTC): 2025-08-24 08:44:48

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BNBUSDT       Buy           49            Fail          135           No            5.60%         55            25            False         False         True          32.15         -173.64       -0.040        33.80         -0.13230    
    XNYUSDT       Buy           43            Success       18            No            11.20%        25            5             False         True          True          59.92         135.08        0.913         23.95         0.00002     
    BOMEUSDT      Buy           41            Success       0             No            9.56%         35            25            False         False         True          29.05         -119.12       0.125         48.18         -0.00000    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BTCUSDT       Sell          43            Inconclusive  180           No            5.60%         5             25            False         True          True          40.13         -124.68       0.120         14.96         -10.60636   
    FHEUSDT       Sell          55            Success       11            No            11.20%        25            55            False         True          True          60.01         190.11        1.143         24.55         0.00030     
    BIOUSDT       Sell          41            Fail          11            No            14.00%        25            35            False         False         True          77.76         155.93        0.986         33.80         0.00392     
    1000PEPEUSDT  Sell          45            Success       33            No            5.60%         15            30            False         True          True          38.84         -106.11       0.167         43.95         0.00000     
    PENGUUSDT     Sell          43            Success       26            No            5.60%         20            25            False         True          True          38.91         -150.50       0.085         33.81         -0.00001    
    BRUSDT        Sell          43            Success       35            No            11.20%        5             25            False         True          True          45.77         -122.40       0.176         20.69         -0.00038    
    LDOUSDT       Sell          45            Success       93            No            5.60%         15            30            False         True          True          36.31         -111.48       0.210         48.27         0.00042     
    FILUSDT       Sell          45            Success       88            No            5.60%         15            30            False         True          True          38.86         -113.01       0.142         41.95         0.00070     
    ONDOUSDT      Sell          45            Success       89            No            5.60%         15            30            False         True          True          39.88         -105.57       0.166         29.17         0.00017     
    MYXUSDT       Sell          43            Success       37            No            6.51%         20            25            False         True          True          39.00         -113.71       0.154         17.86         -0.00075    
    1000SHIBUSDT  Sell          45            Success       93            No            5.60%         15            30            False         True          True          38.47         -100.50       0.178         42.24         0.00000     

