===== BACKTEST REPORT FOR: signals_2025-08-20_00-03-59_STRONG.json =====
Signal Generation Time (UTC): 2025-08-19 18:33:59

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
(None)

--- STRONG SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  UMAUSDT          Strong Sell      93               94               Success          28               1.3350           1.3970           Yes              -5               75               True             3                True             True             True             True             Bearish          -7               0.0043           51.0677          73.7749          156.8833         0.9757           True             False            True             True             Sell             True             base_ok,vol_ok,profit_window  N/A            

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  ETHUSDT          Sell             59               80               Success          16               4112.360000      4172.590000      Yes              -10              40               True             2                True             True             False            True             Bearish          -7               1.5476           51.0677          45.4111          1.4972           0.5104           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  BTCUSDT          Sell             59               67               Success          17               112714.400000    113490.300000    Yes              20               40               True             2                True             True             False            True             Bearish          -7               8.7387           51.0677          37.2335          -139.1424        0.1066           False            False            False            True             Sell             True             base_ok,vol_ok   N/A            
  SOLUSDT          Sell             52               89               Success          10               175.5700         179.2800         Yes              -5               40               True             2                True             False            False            True             Bearish          -7               0.0995           51.0677          53.3562          70.8137          0.7138           False            False            False            False            Sell             True             base_ok          N/A            
  XRPUSDT          Sell             59               80               Success          15               2.8700           2.9242           Yes              -10              40               True             2                True             True             False            True             Bearish          -7               0.0010           51.0677          46.1064          -16.7483         0.5086           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  DOGEUSDT         Sell             59               100              Success          16               0.2103           0.2142           Yes              0                40               True             2                True             True             False            True             Bearish          -7               0.0001           51.0677          50.7098          52.0599          0.7118           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  LINKUSDT         Sell             59               80               Success          12               23.4320          24.0520          Yes              -10              40               True             2                True             True             False            True             Bearish          -7               0.0027           51.0677          44.1441          -55.8540         0.4172           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
