===== BACKTEST REPORT FOR: signals_2025-08-24_10-06-22.json =====
Signal Generation Time (UTC): 2025-08-24 04:36:22

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BNBUSDT       Buy           43            Fail          100           No            5.60%         25            20            False         True          True          64.23         108.10        0.862         24.88         0.62728     
    SUIUSDT       Buy           43            Fail          100           No            5.60%         25            20            False         True          True          62.53         145.27        0.954         13.69         0.00268     
    XPLUSDT       Buy           41            Success       31            No            11.20%        35            25            False         False         True          28.46         -115.64       0.116         22.70         -0.00248    
    LTCUSDT       Buy           43            Fail          117           No            5.60%         25            20            False         True          True          61.53         131.07        0.925         18.67         0.08537     
    BRUSDT        Buy           41            Success       31            No            11.20%        35            25            False         False         True          28.81         -140.12       0.094         37.59         -0.00020    
    BANDUSDT      Buy           41            Fail          23            No            6.86%         35            25            False         False         True          25.93         -164.87       0.022         19.43         -0.00089    
    MYXUSDT       Buy           49            Fail          12            No            7.46%         55            25            False         False         True          36.02         -216.32       -0.019        18.41         -0.00108    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    WLFIUSDT      Sell          43            Fail          22            Yes           11.20%        20            25            False         True          True          37.52         -136.43       0.093         20.67         -0.00037    
    FHEUSDT       Sell          43            Success       8             No            11.20%        20            25            False         True          True          39.09         -110.78       0.188         19.62         -0.00027    
    AVAXUSDT      Sell          45            Success       61            No            5.60%         15            30            False         True          True          39.40         -136.71       0.169         18.19         0.00062     
    XNYUSDT       Sell          53            Success       14            No            11.20%        15            50            False         True          True          57.29         219.28        1.038         25.18         0.00003     
    LDOUSDT       Sell          45            Success       97            No            5.60%         15            30            False         True          True          35.60         -111.92       0.203         42.58         0.00066     
    UMAUSDT       Sell          45            Success       27            No            5.60%         15            30            False         True          True          36.50         -106.72       0.254         34.56         0.00006     
    WLDUSDT       Sell          45            Success       55            No            5.60%         15            30            False         True          True          33.58         -132.79       0.141         29.98         0.00012     

