===== BACKTEST REPORT FOR: signals_2025-08-20_01-08-51.json =====
Signal Generation Time (UTC): 2025-08-19 19:38:51

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
(None)

--- STRONG SELL SIGNALS ---
(None)

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  TRXUSDT          Sell             52               89               Fail             74               0.3480           0.3511           No               -5               40               True             2                True             False            False            True             Bearish          -7               0.0001           52.1613          47.7706          11.4689          0.4203           False            False            False            False            Sell             True             base_ok          N/A            
  AAVEUSDT         Sell             59               89               Success          31               277.3100         281.4200         Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.3028           52.1613          58.2158          73.9659          0.7589           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  1000BONKUSDT     Sell             59               89               Success          32               0.0214           0.0218           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0000           52.1613          57.6770          73.1565          0.6951           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  CRVUSDT          Sell             59               89               Success          31               0.8240           0.8400           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0012           52.1613          51.4086          18.5848          0.6005           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  DOTUSDT          Sell             59               89               Success          20               3.7200           3.7820           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0019           52.1613          50.8460          8.5470           0.5245           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  PROVEUSDT        Sell             67               92               Success          36               1.1578           1.2022           Yes              -5               60               True             2                True             True             False            True             Bearish          -7               0.0034           52.1613          62.6865          139.9243         0.9556           False            False            False            True             Sell             True             base_ok,vol_ok   N/A            
  DAMUSDT          Sell             66               100              Success          70               0.0720           0.0765           Yes              0                40               True             2                True             True             True             True             Bearish          -7               0.0001           52.1613          45.5045          -20.3492         0.4598           False            False            False            False            Sell             True             base_ok,vol_ok,profit_window  N/A            
  OPUSDT           Sell             59               89               Success          34               0.6892           0.6992           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0011           52.1613          56.8206          88.5616          0.7878           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  LDOUSDT          Sell             52               89               Inconclusive     0                1.2785           1.2973           No               -5               40               True             2                True             False            False            True             Bearish          -7               0.0007           52.1613          56.0225          45.5879          0.6346           False            False            False            False            Sell             True             base_ok          N/A            
  NEARUSDT         Sell             59               89               Success          31               2.4360           2.4670           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0026           52.1613          53.8099          55.1955          0.6744           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  WLDUSDT          Sell             59               89               Success          31               0.8999           0.9130           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0012           52.1613          53.0463          45.3202          0.6498           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  SEIUSDT          Sell             59               89               Success          20               0.3025           0.3067           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0004           52.1613          56.2741          87.8058          0.7936           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  XLMUSDT          Sell             59               89               Success          19               0.3933           0.3980           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0004           52.1613          55.9503          52.4050          0.6736           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  APTUSDT          Sell             59               89               Success          31               4.3163           4.3620           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0042           52.1613          58.1356          89.2282          0.8080           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  INJUSDT          Sell             59               80               Success          31               13.2230          13.4560          Yes              -10              40               True             2                True             True             False            True             Bearish          -7               0.0097           52.1613          45.2912          -18.5459         0.4417           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  HBARUSDT         Sell             59               89               Success          15               0.2323           0.2356           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0002           52.1613          55.4854          44.5315          0.6569           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  FILUSDT          Sell             59               89               Success          31               2.3570           2.3920           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0022           52.1613          54.6997          51.9774          0.6880           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  ETCUSDT          Sell             59               89               Success          34               20.6570          20.9220          Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0219           52.1613          55.1143          56.0984          0.6863           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  1000SHIBUSDT     Sell             59               89               Inconclusive     0                0.0121           0.0123           No               -5               40               True             2                True             True             False            True             Bearish          -7               0.0000           52.1613          54.2106          47.3311          0.5217           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  ONDOUSDT         Sell             59               89               Success          31               0.9094           0.9234           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0011           52.1613          54.9082          55.5667          0.6994           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  TIAUSDT          Sell             59               89               Success          31               1.6473           1.6741           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0020           52.1613          52.5263          33.3779          0.6213           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  PLUMEUSDT        Sell             59               89               Success          32               0.0807           0.0850           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0001           52.1613          52.1551          55.6559          0.6722           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  BCHUSDT          Sell             67               92               Success          32               551.8800         557.1600         Yes              -5               60               True             2                True             True             False            True             Bearish          -7               0.6019           52.1613          63.1713          119.6678         0.8893           False            False            False            True             Sell             True             base_ok,vol_ok   N/A            
  MEMEUSDT         Sell             52               89               Fail             74               0.0020           0.0021           No               -5               40               True             2                True             False            False            True             Bearish          -7               0.0000           52.1613          55.1494          48.7867          -0.4793          False            False            False            False            Sell             True             base_ok          N/A            
  ETHFIUSDT        Sell             52               89               Success          34               1.0553           1.0732           Yes              -5               40               True             2                True             False            False            True             Bearish          -7               0.0014           52.1613          55.0035          66.8097          0.7210           False            False            False            False            Sell             True             base_ok          N/A            
  VIRTUALUSDT      Sell             59               100              Fail             71               1.1550           1.1886           No               0                40               True             2                True             True             False            True             Bearish          -7               0.0014           52.1613          49.4302          13.3528          0.5451           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  TAOUSDT          Sell             59               100              Success          31               340.6200         347.4200         Yes              0                40               True             2                True             True             False            True             Bearish          -7               0.1489           52.1613          49.0023          -9.3345          0.4775           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  POLUSDT          Sell             59               80               Inconclusive     0                0.2336           0.2371           No               -10              40               True             2                True             True             False            True             Bearish          -7               0.0001           52.1613          40.5218          -30.9613         0.3909           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  ZORAUSDT         Sell             59               80               Success          32               0.0945           0.0985           Yes              -10              40               True             2                True             True             False            True             Bearish          -7               0.0001           52.1613          41.4150          -28.4227         0.4352           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  VINEUSDT         Sell             31               80               Fail             142              0.0701           0.0742           No               5                20               False            1                False            False            True             True             Bearish          -7               -0.0001          52.1613          51.1273          -29.8033         0.3930           False            False            False            False            Sell             True             profit_window    N/A            
  XCNUSDT          Sell             59               80               Success          31               0.0124           0.0129           Yes              -10              40               True             2                True             True             False            True             Bearish          -7               0.0000           52.1613          43.3565          -57.8058         0.2600           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  SKLUSDT          Sell             67               92               Success          13               0.0311           0.0320           Yes              -5               60               True             2                True             True             False            True             Bearish          -7               0.0001           52.1613          62.2191          158.4841         0.9014           False            False            False            True             Sell             True             base_ok,vol_ok   N/A            
  UMAUSDT          Sell             31               80               Success          25               1.3350           1.4000           Yes              5                20               False            1                False            False            True             True             Bearish          -7               -0.0011          52.1613          53.3389          22.6337          0.4430           False            False            False            False            Sell             True             profit_window    N/A            
  TONUSDT          Sell             60               92               Fail             168              3.2200           3.2673           No               -5               60               True             2                True             False            False            True             Bearish          -7               0.0036           52.1613          63.4684          164.5246         0.9539           False            False            False            True             Sell             True             base_ok          N/A            
  BROCCOLIF3BUSDT  Sell             66               89               Fail             31               0.0115           0.0123           No               5                40               True             2                True             True             True             True             Bearish          -7               0.0000           52.1613          34.9749          -40.2090         0.3834           False            False            False            False            Sell             True             base_ok,vol_ok,profit_window  N/A            
  TOWNSUSDT        Sell             59               80               Fail             121              0.0270           0.0280           No               -10              40               True             2                True             True             False            True             Bearish          -7               0.0000           52.1613          42.9756          -34.0131         0.4015           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  CFXUSDT          Sell             59               89               Inconclusive     0                0.1677           0.1695           No               -5               40               True             2                True             True             False            True             Bearish          -7               0.0002           52.1613          53.7403          52.0964          0.6655           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            

