===== BACKTEST REPORT FOR: signals_2025-08-20_04-07-52.json =====
Signal Generation Time (UTC): 2025-08-19 22:37:52

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
(None)

--- STRONG SELL SIGNALS ---
(None)

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  ETHUSDT          Sell             59               89               Success          33               4064.960000      4143.580000      Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.1869           42.0684          50.0455          10.9159          0.5067           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  BTCUSDT          Sell             31               67               Success          26               112666.600000    113353.900000    Yes              10               20               False            1                False            True             False            True             Bearish          -7               -23.1109         42.0684          44.0374          -79.0539         0.2193           False            False            False            False            Sell             True             vol_ok           N/A            
  SOLUSDT          Sell             24               80               Success          47               175.7600         179.4400         Yes              5                20               False            1                False            False            False            True             Bearish          -7               -0.0275          42.0684          56.4306          66.2824          0.6641           False            False            False            False            Sell             True                              N/A            
  XRPUSDT          Sell             59               89               Success          40               2.8474           2.8997           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0010           42.0684          52.7639          85.1229          0.7274           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  DOGEUSDT         Sell             31               80               Success          26               0.2086           0.2127           Yes              5                20               False            1                False            True             False            True             Bearish          -7               -0.0001          42.0684          48.7345          -39.9604         0.3373           False            False            False            False            Sell             True             vol_ok           N/A            
  ADAUSDT          Sell             31               80               Success          38               0.8433           0.8591           Yes              5                20               False            1                False            True             False            True             Bearish          -7               -0.0002          42.0684          50.4564          -20.3768         0.4431           False            False            False            False            Sell             True             vol_ok           N/A            
  LINKUSDT         Sell             59               89               Success          34               23.3620          24.0460          Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0044           42.0684          53.8856          94.7473          0.7160           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  API3USDT         Sell             66               89               Fail             17               1.3053           1.3806           Yes              -5               40               True             2                True             True             True             True             Bearish          -7               0.0010           42.0684          55.0823          70.5748          0.7012           False            False            False            False            Sell             True             base_ok,vol_ok,profit_window  N/A            
  AIOTUSDT         Sell             31               80               Success          69               1.4767           1.7941           Yes              5                20               False            1                False            False            True             True             Bearish          -7               -0.0002          42.0684          44.1748          -30.5867         0.4365           False            False            False            False            Sell             True             profit_window    N/A            
  SUIUSDT          Sell             59               89               Success          30               3.4130           3.4688           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0001           42.0684          52.9954          38.2047          0.5698           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  1000PEPEUSDT     Sell             63               91               Success          28               0.0102           0.0104           Yes              -5               50               True             2                True             True             False            True             Bearish          -7               0.0000           42.0684          54.7393          106.6455         1.1355           False            False            False            True             Sell             True             base_ok,vol_ok   N/A            
  ENAUSDT          Sell             31               80               Success          26               0.6341           0.6485           Yes              5                20               False            1                False            True             False            True             Bearish          -7               -0.0003          42.0684          56.7963          61.9551          0.6190           False            False            False            False            Sell             True             vol_ok           N/A            
  BNBUSDT          Sell             31               80               Success          34               819.6100         836.0500         Yes              5                20               False            1                False            True             False            True             Bearish          -7               -0.3108          42.0684          50.9898          -69.0262         0.3170           False            False            False            False            Sell             True             vol_ok           N/A            
  FARTCOINUSDT     Sell             59               89               Success          28               0.8499           0.8764           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0003           42.0684          54.7404          99.9613          0.7602           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  AVAXUSDT         Sell             31               80               Success          29               22.2880          22.6460          Yes              5                20               False            1                False            True             False            True             Bearish          -7               -0.0008          42.0684          53.3493          52.9473          0.6162           False            False            False            False            Sell             True             vol_ok           N/A            
  PENGUUSDT        Sell             31               80               Success          27               0.0292           0.0305           Yes              5                20               False            1                False            True             False            True             Bearish          -7               -0.0000          42.0684          48.2914          -13.7587         0.5099           False            False            False            False            Sell             True             vol_ok           N/A            
  HYPEUSDT         Sell             31               100              Success          18               40.9390          42.3020          Yes              0                20               False            1                False            True             False            True             Bearish          -7               -0.0156          42.0684          40.7854          -62.6737         0.2821           False            False            False            False            Sell             True             vol_ok           N/A            
  ARBUSDT          Sell             63               91               Success          34               0.4716           0.4835           Yes              -5               50               True             2                True             True             False            True             Bearish          -7               0.0003           42.0684          55.6107          169.6591         0.8739           False            False            False            True             Sell             True             base_ok,vol_ok   N/A            
  LTCUSDT          Sell             24               80               Success          42               112.2800         114.1700         Yes              5                20               False            1                False            False            False            True             Bearish          -7               -0.1174          42.0684          46.4485          -93.0784         0.2075           False            False            False            False            Sell             True                              N/A            
