===== BACKTEST REPORT FOR: signals_2025-08-24_11-13-39.json =====
Signal Generation Time (UTC): 2025-08-24 05:43:39

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    XPLUSDT       Buy           43            Success       18            No            11.20%        25            5             False         True          True          56.07         135.89        0.883         20.40         0.00190     
    UNIUSDT       Buy           43            Fail          32            No            5.60%         25            5             False         True          True          56.06         123.71        0.914         13.80         0.00303     
    PENDLEUSDT    Buy           41            Fail          121           No            5.60%         35            25            False         False         True          29.61         -131.89       0.062         37.02         -0.00206    
    BANDUSDT      Buy           41            Success       17            No            6.06%         35            10            False         False         True          26.44         -95.97        0.212         40.56         -0.00022    
    UMAUSDT       Buy           41            Fail          43            No            5.60%         35            25            False         False         True          26.80         -109.13       0.152         37.78         -0.00012    
    WLDUSDT       Buy           41            Fail          31            No            5.60%         35            25            False         False         True          26.43         -140.22       0.071         37.11         -0.00042    
    ETHFIUSDT     Buy           68            Fail          37            No            8.40%         70            25            True          False         True          29.50         -204.90       -0.052        38.50         -0.00045    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BTCUSDT       Sell          43            Inconclusive  180           No            5.60%         5             25            False         True          True          40.17         -168.01       0.130         15.24         -15.32900   
    1000PEPEUSDT  Sell          43            Success       20            No            5.60%         5             25            False         True          True          40.85         -175.93       0.126         14.07         -0.00000    
    ARBUSDT       Sell          43            Success       20            No            5.60%         20            25            False         True          True          37.53         -165.13       0.140         31.04         -0.00007    
    FARTCOINUSDT  Sell          43            Success       22            No            5.60%         5             25            False         True          True          44.72         -136.62       0.198         10.75         -0.00041    
    HYPEUSDT      Sell          43            Success       50            No            5.60%         20            25            False         True          True          38.69         -101.27       0.193         23.30         -0.00888    
    TRUMPUSDT     Sell          43            Success       35            No            5.60%         5             25            False         True          True          40.18         -152.66       0.157         30.75         -0.00036    
    DOTUSDT       Sell          43            Success       35            No            5.60%         20            25            False         True          True          39.98         -107.93       0.190         27.35         -0.00045    
    1000BONKUSDT  Sell          43            Success       7             No            5.60%         5             25            False         True          True          43.93         -111.56       0.212         13.02         -0.00001    
    OPUSDT        Sell          43            Success       32            No            5.60%         20            25            False         True          True          39.03         -148.55       0.117         27.62         -0.00029    
    DOGSUSDT      Sell          43            Success       0             No            7.24%         20            25            False         True          True          38.51         -110.98       0.199         20.40         -0.00000    
    ONDOUSDT      Sell          43            Success       32            No            5.60%         5             25            False         True          True          44.06         -114.91       0.202         10.73         -0.00025    
    WCTUSDT       Sell          45            Success       35            No            5.60%         15            30            False         True          True          39.70         -120.12       0.110         22.19         0.00004     
    FILUSDT       Sell          43            Success       34            No            5.60%         20            25            False         True          True          38.37         -133.77       0.095         20.23         -0.00024    
    1000SHIBUSDT  Sell          43            Success       47            No            5.60%         20            25            False         True          True          35.04         -125.06       0.119         27.97         -0.00000    
    NEARUSDT      Sell          43            Success       34            No            5.60%         20            25            False         True          True          39.54         -101.20       0.108         22.55         -0.00041    

