===== BACKTEST REPORT FOR: signals_2025-08-23_16-11-34_STRONG.json =====
Signal Generation Time (UTC): 2025-08-23 10:41:34

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    MEMEUSDT      Strong Buy    79            Success       2             No            14.00%        80            15            True          True          True          28.82         -313.13       -0.210        20.29         -0.00004    
    SAPIENUSDT    Buy           49            Success       57            No            11.20%        40            -10           False         True          True          58.25         101.71        0.717         41.65         -0.00001    
    API3USDT      Buy           41            Success       5             No            5.60%         35            -5            False         False         True          55.77         201.41        0.991         16.87         0.00090     
    BANDUSDT      Buy           47            Fail          2             Yes           11.20%        35            25            False         True          True          70.53         205.31        0.988         42.74         0.00322     
    XNYUSDT       Buy           45            Fail          7             No            11.20%        45            15            False         False         True          16.22         -113.15       0.132         59.07         -0.00005    
    VINEUSDT      Buy           52            Success       89            No            9.21%         40            20            False         False         True          28.85         -161.15       0.042         31.65         0.00001     
    CUDISUSDT     Buy           45            Fail          28            No            11.20%        45            15            False         False         True          28.93         -103.15       0.170         52.01         -0.00011    
    AEROUSDT      Buy           47            Inconclusive  180           No            5.60%         35            -5            False         True          True          58.19         105.37        0.789         11.84         0.00038     
    PNUTUSDT      Buy           45            Success       95            No            8.40%         45            15            False         False         True          29.54         -170.44       0.012         26.14         -0.00027    
    NEIROUSDT     Buy           72            Success       0             No            8.32%         80            15            True          False         True          28.35         -177.92       -0.047        16.44         -0.00000    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   

