===== BACKTEST REPORT FOR: signals_2025-08-24_07-18-12.json =====
Signal Generation Time (UTC): 2025-08-24 01:48:12

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BTCUSDT       Buy           47            Inconclusive  180           No            5.60%         35            10            False         True          True          60.24         123.17        0.789         14.56         4.56433     
    SOLUSDT       Buy           47            Success       6             No            5.60%         35            10            False         True          True          62.38         165.96        0.847         36.96         0.05363     
    XRPUSDT       Buy           47            Success       6             No            5.60%         35            10            False         True          True          62.29         154.16        0.886         29.81         0.00046     
    MEMEUSDT      Buy           53            Success       23            No            9.91%         65            15            False         False         True          38.08         -167.51       -0.001        18.40         -0.00001    
    PROMPTUSDT    Buy           47            Fail          4             Yes           11.20%        35            25            False         True          True          74.52         121.98        0.872         40.71         0.00318     
    BRUSDT        Buy           47            Fail          4             No            11.20%        35            10            False         True          True          63.60         138.18        0.929         42.85         0.00017     
    BCHUSDT       Buy           47            Inconclusive  180           No            5.60%         35            25            False         True          True          74.56         151.05        0.912         43.58         0.05421     
    DOLOUSDT      Buy           47            Fail          6             No            11.20%        35            -5            False         True          True          58.76         107.64        0.873         16.26         0.00030     
    PENDLEUSDT    Buy           47            Fail          30            No            5.89%         35            -5            False         True          True          59.85         158.21        0.943         14.40         0.00286     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   

