===== BACKTEST REPORT FOR: signals_2025-08-17_13-02-31.json =====
Signal Generation Time (UTC): 2025-08-17 07:32:31

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK Downgrade_Reason
     ETHUSDT    Buy   60              False Success             63     4557.660000       4453.000000               No         15         -10          False          False            True             True             None               True              N/A
     BTCUSDT    Buy   60              False Success             65   118435.000000     117838.600000               No         15         -10          False          False           False             True             None               True              N/A
     SOLUSDT    Buy   67              False Success             65      193.570000        191.220000               No         30          15           True          False            True             True             None               True              N/A
    DOGEUSDT    Buy   60              False    Fail             20        0.235510          0.232250              Yes         15         -10          False          False           False             True             None               True              N/A
     ADAUSDT    Buy   60              False Success             17        0.987200          0.941700               No         15         -10          False          False           False             True             None               True              N/A
     XRPUSDT    Buy   67              False Success             64        3.140600          3.110000               No         30          15           True          False           False             True             None               True              N/A
    CTSIUSDT    Buy   75              False    Fail             18        0.113400          0.104100               No         15           5          False          False            True             True             None              False              N/A
    LINKUSDT    Buy   60              False Success             77       24.830000         24.172000               No         15         -10          False          False           False             True             None               True              N/A
     ENAUSDT    Buy   75              False    Fail             37        0.739800          0.716800              Yes         30         -10           True          False           False             True             None               True              N/A
     XNYUSDT    Buy   75              False    Fail             19        0.020738          0.018293              Yes         45          15           True           True           False             True             None              False              N/A
1000PEPEUSDT    Buy   60              False Success             78        0.011340          0.011167               No         15         -10          False          False            True             True             None               True              N/A
     SUIUSDT    Buy   60              False Success             78        3.834900          3.788700               No         15         -10          False          False           False             True             None               True              N/A
  ALPINEUSDT    Buy   60              False    Fail              3        2.272200          2.078600              Yes         15         -10          False          False           False             True             None               True              N/A
     BNBUSDT    Buy   89              False Success             15      864.480000        851.650000               No         40           5           True          False            True             True             None               True              N/A
     MYXUSDT    Buy   60              False    Fail             89        1.998000          1.850000              Yes         15         -10          False          False            True             True             None              False              N/A
FARTCOINUSDT    Buy   60              False Success             78        0.973500          0.939800               No         15         -10          False          False           False             True             None               True              N/A
    AVAXUSDT    Buy   60              False Success             78       24.861000         24.440000               No         15         -10          False          False           False             True             None               True              N/A
     UNIUSDT    Buy   60              False    Fail             46       11.214000         11.028000              Yes         15         -10          False          False            True             True             None               True              N/A
   PROVEUSDT    Buy   60              False    Fail             37        1.338400          1.310100               No         15         -10          False          False           False             True             None               True              N/A
     LTCUSDT    Buy   75              False Success              3      123.140000        121.550000               No         15           5          False          False            True             True             None               True              N/A
    HYPEUSDT    Buy   60              False Success             35       47.786000         46.991000               No         15         -10          False          False           False             True             None               True              N/A
 USELESSUSDT    Buy   75              False    Fail             29        0.350700          0.318700               No         30         -10           True          False           False             True             None              False              N/A
    EPICUSDT    Buy   60              False Success             15        2.958000          2.594100               No         15         -10          False          False            True             True             None              False              N/A
   PENGUUSDT    Buy   60              False Success             77        0.033643          0.033133               No         15         -10          False          False           False             True             None               True              N/A
     WIFUSDT    Buy   60              False Success             78        0.903700          0.887800               No         15         -10          False          False            True             True             None               True              N/A
     TRXUSDT    Buy   60              False    Fail             39        0.351990          0.349530              Yes         15         -10          False          False           False             True             None               True              N/A
   TRUMPUSDT    Buy   60              False Success             69        9.245000          9.155000               No         15         -10          False          False            True             True             None               True              N/A
     BIDUSDT    Buy   75              False    Fail             30        0.079450          0.069310              Yes         30         -10           True          False           False             True             None              False              N/A
      LAUSDT    Buy   75              False    Fail             43        0.388100          0.379200               No         30         -10           True          False           False             True             None               True              N/A
    PUMPUSDT    Buy   60              False Success              0        0.003585          0.003467               No         15         -10          False          False           False             True             None               True              N/A
    AAVEUSDT    Buy   60              False Success             30      307.860000        300.060000               No         15         -10          False          False            True             True             None               True              N/A
     LDOUSDT    Buy   67              False Success             58        1.436100          1.388100               No         30          15           True          False           False             True             None               True              N/A
    API3USDT    Buy   60              False    Fail             33        0.777900          0.765300              Yes         15         -10          False          False            True             True             None               True              N/A
1000BONKUSDT    Buy   60              False Success             77        0.024551          0.024219               No         15         -10          False          False           False             True             None               True              N/A
      INUSDT    Buy   60              False Success             83        0.098740          0.093120               No         15         -10          False          False            True             True             None              False              N/A
     BCHUSDT    Buy   60              False Success             78      592.130000        587.460000               No         15         -10          False          False            True             True             None               True              N/A
     TSTUSDT    Buy   67              False Success             95        0.031460          0.030220               No         30          15           True          False           False             True             None              False              N/A
     TIAUSDT    Buy   60              False Success             78        1.872000          1.846800               No         15         -10          False          False            True             True             None               True              N/A
     DOTUSDT    Buy   60              False Success             27        4.069000          4.003000               No         15         -10          False          False           False             True             None               True              N/A
     CRVUSDT    Buy   60              False Success             63        0.882000          0.862000               No         15         -10          False          False            True             True             None               True              N/A
     WLDUSDT    Buy   60              False Success             61        1.016500          1.000900               No         15         -10          False          False            True             True             None               True              N/A
    NEARUSDT    Buy   60              False Success             32        2.778000          2.737000               No         15         -10          False          False            True             True             None               True              N/A
      OGUSDT    Buy   75              False Success             19       16.299000         15.164000               No         30         -10           True          False           False             True             None              False              N/A
     XLMUSDT    Buy   60              False Success             49        0.433360          0.428050               No         15         -10          False          False            True             True             None               True              N/A
     AIOUSDT    Buy   75              False    Fail             12        0.072860          0.065230               No         30         -10           True          False           False             True             None              False              N/A
    BERAUSDT    Buy   60              False    Fail             21        2.416000          2.363000               No         15         -10          False          False            True             True             None               True              N/A
     OGNUSDT    Buy   60              False    Fail             48        0.065400          0.064000               No         15         -10          False          False           False             True             None               True              N/A
     ETCUSDT    Buy   60              False Success             78       22.696000         22.439000               No         15         -10          False          False           False             True             None               True              N/A
     CHRUSDT    Buy   60              False Success            152        0.105600          0.102800               No         15         -10          False          False            True             True             None               True              N/A
     APTUSDT    Buy   60              False Success             58        4.846000          4.768000               No         15         -10          False          False           False             True             None               True              N/A
1000SHIBUSDT    Buy   60              False Success              0        0.013195          0.013084               No         15         -10          False          False            True             True             None               True              N/A
    YALAUSDT    Buy   80              False    Fail             37        0.203700          0.195500              Yes         40         -10           True          False            True             True             None               True              N/A
     FILUSDT    Buy   60              False    Fail             34        2.584000          2.543000              Yes         15         -10          False          False            True             True             None               True              N/A
    HBARUSDT    Buy   60              False Success             26        0.257140          0.253120               No         15         -10          False          False           False             True             None               True              N/A
     LPTUSDT    Buy   75              False Success             61        7.092000          6.961000               No         30         -10           True          False           False             True             None               True              N/A
    ONDOUSDT    Buy   60              False Success             32        1.022900          1.008600               No         15         -10          False          False           False             True             None               True              N/A
     LRCUSDT    Buy   60              False    Fail             35        0.094420          0.093100               No         15         -10          False          False           False             True             None               True              N/A

--- SELL SIGNALS ---
    Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK Downgrade_Reason
 ARBUSDT   Sell   58              False    Fail              9         0.52040           0.53190               No         40          55           True           True           False            False            False               True              N/A
SOONUSDT   Sell   58              False Success              7         0.28614           0.31315               No         40          55           True           True           False            False            False              False              N/A

