===== BACKTEST REPORT FOR: signals_2025-08-24_16-46-52.json =====
Signal Generation Time (UTC): 2025-08-24 11:16:52

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    PROMPTUSDT    Buy           43            Success       0             No            11.20%        25            20            False         True          True          64.31         161.06        0.995         11.26         0.00130     
    PENGUUSDT     Buy           41            Success       32            No            6.14%         35            25            False         False         True          28.00         -107.84       0.203         61.56         -0.00000    
    SAPIENUSDT    Buy           43            Fail          2             Yes           11.20%        25            20            False         True          True          64.18         154.27        0.984         20.88         0.00039     
    ONDOUSDT      Buy           41            Success       119           No            5.60%         35            10            False         False         True          29.35         -99.71        0.190         43.47         -0.00044    
    XLMUSDT       Buy           41            Success       86            No            5.60%         35            25            False         False         True          29.89         -111.53       0.165         43.18         -0.00019    
    ETHFIUSDT     Buy           41            Success       8             No            5.68%         35            10            False         False         True          27.73         -90.57        0.218         41.18         -0.00092    
    BERAUSDT      Buy           41            Success       74            No            6.31%         35            25            False         False         True          28.47         -104.25       0.181         29.16         -0.00383    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    XRPUSDT       Sell          43            Inconclusive  180           No            5.60%         20            25            False         True          True          37.27         -101.87       0.218         31.42         -0.00038    
    DOGEUSDT      Sell          43            Fail          123           No            5.60%         20            25            False         True          True          34.74         -102.10       0.189         38.90         -0.00007    
    BIOUSDT       Sell          68            Success       18            No            14.00%        25            70            True          False         True          72.73         212.48        1.085         52.85         0.00038     
    DOTUSDT       Sell          43            Fail          123           No            5.60%         20            25            False         True          True          33.44         -120.37       0.177         33.84         -0.00091    
    CRVUSDT       Sell          43            Fail          133           No            7.68%         5             25            False         True          True          40.15         -104.02       0.192         29.98         -0.00138    
    TRXUSDT       Sell          43            Inconclusive  180           No            5.60%         20            25            False         True          True          37.51         -101.42       0.186         26.37         -0.00008    
    DOGSUSDT      Sell          43            Inconclusive  180           No            6.70%         20            25            False         True          True          37.72         -104.06       0.208         24.79         -0.00000    
    QTUMUSDT      Sell          41            Success       2             No            14.00%        25            35            False         False         True          79.35         148.37        0.957         83.90         0.00464     
    HBARUSDT      Sell          43            Fail          102           No            5.60%         20            25            False         True          True          30.03         -126.19       0.099         34.24         -0.00016    

