===== BACKTEST REPORT FOR: signals_2025-08-23_02-52-06.json =====
Signal Generation Time (UTC): 2025-08-22 21:22:06

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ETHUSDT       Buy           47            Fail          48            No            7.10%         35            10            False         True          True          61.90         131.40        0.834         39.77         0.97484     
    SOLUSDT       Buy           47            Fail          39            No            6.39%         35            10            False         True          True          66.16         156.95        0.904         41.58         0.15647     
    DOGEUSDT      Buy           49            Success       20            No            5.60%         40            -10           False         True          True          56.83         142.83        0.749         30.70         -0.00003    
    1000PEPEUSDT  Buy           47            Success       140           No            6.78%         35            -5            False         True          True          59.60         163.07        0.892         35.80         0.00000     
    SUIUSDT       Buy           47            Inconclusive  180           No            5.60%         35            10            False         True          True          62.54         164.47        0.931         26.55         0.00081     
    BNBUSDT       Buy           47            Inconclusive  180           No            5.60%         35            10            False         True          True          61.13         130.97        0.826         30.13         0.27590     
    AVAXUSDT      Buy           47            Fail          71            No            5.60%         35            10            False         True          True          61.80         125.41        0.824         31.16         0.00693     
    FARTCOINUSDT  Buy           47            Success       19            No            8.65%         35            -5            False         True          True          58.82         116.68        0.768         34.79         0.00008     
    AAVEUSDT      Buy           47            Success       180           No            9.03%         35            10            False         True          True          64.06         119.57        0.809         47.40         0.34233     
    LTCUSDT       Buy           47            Fail          76            No            5.60%         35            10            False         True          True          63.16         115.72        0.806         38.88         0.01414     
    XPLUSDT       Buy           47            Success       6             No            11.20%        35            -5            False         True          True          57.89         114.36        0.844         14.45         0.00152     
    ETCUSDT       Buy           41            Fail          46            No            7.30%         35            10            False         False         True          61.33         141.38        0.928         17.00         0.01398     
    DOTUSDT       Buy           47            Success       22            No            5.60%         35            25            False         True          True          79.03         154.48        0.951         41.46         0.00346     
    1000BONKUSDT  Buy           47            Fail          76            Yes           6.24%         35            10            False         True          True          64.17         169.49        0.996         31.79         0.00002     
    NEARUSDT      Buy           47            Fail          77            No            5.60%         35            10            False         True          True          68.42         162.85        0.959         32.54         0.00061     
    TRXUSDT       Buy           47            Inconclusive  180           No            5.60%         35            10            False         True          True          65.96         145.77        0.958         34.26         0.00001     
    XLMUSDT       Buy           49            Inconclusive  180           No            5.60%         40            25            False         True          True          57.27         117.16        1.002         24.24         -0.00003    
    ONDOUSDT      Buy           47            Inconclusive  180           No            5.66%         35            10            False         True          True          62.65         132.73        0.964         19.87         0.00011     
    1000SHIBUSDT  Buy           47            Fail          50            No            5.60%         35            45            False         True          True          67.54         195.05        1.003         45.86         0.00000     
    FILUSDT       Buy           47            Fail          51            No            5.60%         35            10            False         True          True          68.75         145.75        0.935         45.99         0.00097     
    CRVUSDT       Buy           47            Fail          71            No            7.79%         35            45            False         True          True          62.71         210.53        1.083         28.93         0.00006     
    SEIUSDT       Buy           49            Fail          64            No            7.07%         40            -10           False         True          True          58.78         131.24        0.871         21.59         -0.00003    
    MEMEUSDT      Buy           47            Success       1             No            11.20%        35            25            False         True          True          87.55         125.74        0.922         58.37         0.00002     
    HBARUSDT      Buy           47            Fail          94            No            5.60%         35            45            False         True          True          64.22         198.29        1.053         21.93         0.00013     
    BANDUSDT      Buy           53            Success       10            No            11.20%        65            15            False         False         True          33.51         -177.87       -0.029        15.21         -0.00309    
    TIAUSDT       Buy           47            Inconclusive  180           No            6.35%         35            25            False         True          True          76.80         161.00        0.951         54.49         0.00152     
    APTUSDT       Buy           47            Success       122           No            5.60%         35            45            False         True          True          63.13         213.04        1.045         33.01         0.00009     
    PENDLEUSDT    Buy           47            Fail          46            No            7.64%         35            10            False         True          True          66.35         161.73        0.934         31.88         0.00044     
    TAOUSDT       Buy           49            Fail          76            No            5.83%         40            5             False         True          True          65.21         126.34        0.932         34.21         -0.00655    
    FETUSDT       Buy           47            Fail          50            No            5.60%         35            -5            False         True          True          56.04         128.55        0.893         11.27         0.00016     
    GALAUSDT      Buy           47            Success       45            No            7.26%         35            60            False         True          True          72.40         201.37        1.078         29.56         0.00001     
    VINEUSDT      Buy           47            Fail          36            Yes           11.20%        35            10            False         True          True          63.17         106.59        0.802         21.40         0.00024     
    TONUSDT       Buy           47            Success       22            No            5.60%         35            60            False         True          True          72.96         183.47        1.015         34.93         0.00158     
    ENSUSDT       Buy           47            Fail          46            No            7.06%         35            -5            False         True          True          58.81         101.64        0.805         23.11         0.00575     
    1000FLOKIUSDT  Buy           47            Fail          51            No            6.67%         35            60            False         True          True          72.66         276.21        1.245         28.13         0.00015     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   

