===== BACKTEST REPORT FOR: signals_2025-08-24_15-10-24.json =====
Signal Generation Time (UTC): 2025-08-24 09:40:24

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    SOLUSDT       Buy           43            Fail          39            No            5.60%         25            5             False         True          True          56.85         117.45        0.763         17.99         0.10331     
    PENGUUSDT     Buy           41            Fail          21            No            5.60%         35            25            False         False         True          28.80         -120.52       0.093         48.59         -0.00003    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BTCUSDT       Sell          49            Inconclusive  180           No            5.60%         25            40            False         True          True          58.24         247.05        1.047         13.88         22.86248    
    BIOUSDT       Sell          41            Success       1             No            11.20%        25            35            False         False         True          78.86         134.44        0.895         52.76         0.00125     
    MEMEUSDT      Sell          49            Fail          1             Yes           11.20%        25            55            False         False         True          64.78         174.32        1.029         20.94         0.00002     
    BOMEUSDT      Sell          45            Fail          1             Yes           8.87%         15            30            False         True          True          34.48         -107.10       0.232         41.13         0.00000     
    DOLOUSDT      Sell          43            Success       19            No            11.20%        5             25            False         True          True          41.17         -166.02       0.160         13.65         -0.00079    
    UMAUSDT       Sell          43            Success       20            No            5.60%         20            25            False         True          True          39.81         -127.69       0.176         20.67         -0.00116    
    MYXUSDT       Sell          43            Success       18            No            6.07%         20            25            False         True          True          34.21         -121.92       0.178         28.23         -0.00076    
    NEARUSDT      Sell          43            Success       37            No            5.60%         20            25            False         True          True          39.25         -128.05       0.130         18.13         -0.00051    

