===== BACKTEST REPORT FOR: signals_2025-08-20_03-01-09.json =====
Signal Generation Time (UTC): 2025-08-19 21:31:09

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
(None)

--- STRONG SELL SIGNALS ---
(None)

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  ETHUSDT          Sell             59               89               Success          49               4064.960000      4153.260000      Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.842891         44.390138        50.194315        6.292332         0.602800         False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  BTCUSDT          Sell             59               89               Success          34               112666.600000    113511.500000    Yes              -5               40               True             2                True             True             False            True             Bearish          -7               15.113940        44.390138        56.860373        61.690926        0.707600         False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  SOLUSDT          Sell             56               91               Success          113              175.760000       179.440000       Yes              -5               50               True             2                True             False            False            True             Bearish          -7               0.109123         44.390138        60.261737        92.758975        0.779800         False            False            False            False            Sell             True             base_ok          N/A            
  XRPUSDT          Sell             59               100              Success          113              2.847400         2.899700         Yes              0                40               True             2                True             True             False            True             Bearish          -7               0.000156         44.390138        47.083965        10.651575        0.544500         False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  DOGEUSDT         Sell             59               89               Success          35               0.208600         0.213810         Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.000098         44.390138        56.630878        76.852783        0.727200         False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  LINKUSDT         Sell             63               91               Success          34               23.362000        23.987000        Yes              -5               50               True             2                True             True             False            True             Bearish          -7               0.004823         44.390138        55.625716        117.243091       0.779700         False            False            False            True             Sell             True             base_ok,vol_ok   N/A            
  ADAUSDT          Sell             59               89               Success          35               0.843300         0.863000         Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.000593         44.390138        54.478698        88.618177        0.762300         False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  API3USDT         Sell             38               67               Fail             15               1.281700         1.387000         Yes              10               20               False            1                False            True             True             True             Bearish          -7               -0.000591        44.390138        47.117502        -35.807172       0.401200         False            False            False            False            Sell             True             vol_ok,profit_window  N/A            
  AIOTUSDT         Sell             31               67               Success          136              1.570000         1.827270         Yes              10               20               False            1                False            False            True             True             Bearish          -7               -0.028010        44.390138        40.262927        -87.004426       0.217300         False            False            False            False            Sell             True             profit_window    N/A            
  SUIUSDT          Sell             59               89               Success          47               3.413000         3.474700         Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.001550         44.390138        54.559664        70.699527        0.702800         False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
