===== BACKTEST REPORT FOR: signals_2025-08-23_20-08-07.json =====
Signal Generation Time (UTC): 2025-08-23 14:38:07

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ETHUSDT       Buy           47            Inconclusive  180           No            5.60%         35            -5            False         True          True          55.25         103.43        0.693         20.15         2.53263     
    ENAUSDT       Buy           53            Success       178           No            6.63%         65            15            False         False         True          33.49         -153.31       -0.001        16.47         -0.00052    
    AAVEUSDT      Buy           47            Fail          1             No            11.20%        35            10            False         True          True          63.78         107.26        0.762         40.79         0.83544     
    ARBUSDT       Buy           47            Inconclusive  180           No            7.88%         35            -5            False         True          True          56.63         111.15        0.773         17.61         0.00062     
    XPLUSDT       Buy           41            Fail          17            No            11.20%        35            10            False         False         True          60.00         171.35        0.934         16.62         0.00222     
    HYPEUSDT      Buy           47            Success       156           No            5.60%         35            -5            False         True          True          58.52         115.36        0.784         20.13         0.03855     
    LDOUSDT       Buy           47            Fail          2             Yes           7.26%         35            10            False         True          True          62.66         148.37        0.853         45.12         0.00272     
    ETHFIUSDT     Buy           47            Success       64            No            7.11%         35            -5            False         True          True          56.95         101.53        0.727         30.20         0.00155     
    OPUSDT        Buy           47            Inconclusive  180           No            6.06%         35            -5            False         True          True          57.49         108.61        0.728         23.86         0.00064     
    APTUSDT       Buy           47            Fail          125           No            5.60%         35            -5            False         True          True          59.28         129.31        0.788         31.45         0.00351     
    PENDLEUSDT    Buy           47            Fail          1             No            11.10%        35            25            False         True          True          74.97         144.51        0.886         43.67         0.02904     
    BERAUSDT      Buy           72            Inconclusive  180           No            11.09%        80            15            True          False         True          27.32         -284.36       -0.217        16.65         -0.00401    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   

