===== BACKTEST REPORT FOR: signals_2025-08-20_03-14-26_STRONG.json =====
Signal Generation Time (UTC): 2025-08-19 21:44:26

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
(None)

--- STRONG SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  MYXUSDT          Strong Sell      100              94               Success          17               1.0900           1.1589           Yes              -5               85               True             3                True             True             True             True             Bearish          -7               0.0013           43.0650          57.7491          154.3627         1.0790           True             True             False            True             Sell             True             base_ok,vol_ok,profit_window  N/A            

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  ETHUSDT          Sell             59               89               Success          35               4064.960000      4153.260000      Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.2687           43.0650          50.7680          29.4874          0.6085           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  BTCUSDT          Sell             59               89               Success          18               112666.600000    113451.600000    Yes              -5               40               True             2                True             True             False            True             Bearish          -7               6.1861           43.0650          57.2558          58.7991          0.6634           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  SOLUSDT          Sell             56               91               Success          35               175.7600         179.4400         Yes              -5               50               True             2                True             False            False            True             Bearish          -7               0.0944           43.0650          61.9443          92.8736          0.7696           False            False            False            False            Sell             True             base_ok          N/A            
  XRPUSDT          Sell             59               100              Success          95               2.8474           2.8997           Yes              0                40               True             2                True             True             False            True             Bearish          -7               0.0005           43.0650          50.2740          18.3051          0.6120           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  DOGEUSDT         Sell             59               89               Success          22               0.2086           0.2137           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0000           43.0650          54.7197          52.1723          0.6698           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  LINKUSDT         Sell             31               80               Success          91               23.3620          23.9870          Yes              5                20               False            1                False            True             False            True             Bearish          -7               -0.0055          43.0650          49.5207          -50.7246         0.4251           False            False            False            False            Sell             True             vol_ok           N/A            
