===== BACKTEST REPORT FOR: signals_2025-08-16_11-11-25.json =====
Signal Generation Time (UTC): 2025-08-16 05:41:25

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK      Downgrade_Reason
  PENDLEUSDT    Buy   60              False    Fail             15        5.374500          5.319700               No         15         -10          False          False           False             True             None               True                   N/A
    ZORAUSDT    Buy   60              False    Fail             19        0.102150          0.097370              Yes         15         -10          False          False            True             True             None               True                   N/A
     TONUSDT    Buy   81              False    Fail              6        3.472200          3.421300              Yes         65          15           True           True           False             True             None               True                   N/A
    AEROUSDT    Buy   60              False    Fail             79        1.355700          1.333300               No         15         -10          False          False           False             True             None               True                   N/A
      LAUSDT    Buy   80              False Success             41        0.466900          0.394200               No         40         -10           True          False            True             True             None              False                   N/A
    BERAUSDT    Buy   60              False    Fail            144        2.218000          2.161000               No         15         -10          False          False            True             True             None               True                   N/A
 VIRTUALUSDT    Buy   75              False Success             92        1.211000          1.190400               No         30         -10           True          False           False             True             None               True                   N/A
      INUSDT    Buy   75              False    Fail             68        0.082180          0.079120              Yes         30         -10           True          False           False             True             None               True                   N/A
    GALAUSDT    Buy   60              False Success             92        0.016940          0.016680               No         15         -10          False          False           False             True             None               True                   N/A
    PNUTUSDT    Buy   60              False    Fail             25        0.228840          0.226630               No         15         -10          False          False           False             True             None               True                   N/A

--- SELL SIGNALS ---
   Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK Downgrade_Reason
AIOUSDT   Sell   57              False Success             55         0.08488           0.10739               No         15          20           True           True           False            False            False              False              N/A

