===== BACKTEST REPORT FOR: signals_2025-08-23_05-02-56.json =====
Signal Generation Time (UTC): 2025-08-22 23:32:56

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    SOLUSDT       Buy           47            Fail          88            No            5.60%         35            -5            False         True          True          54.73         112.44        0.763         15.76         0.01564     
    ENAUSDT       Buy           47            Success       12            No            6.40%         35            10            False         True          True          61.42         186.80        0.933         17.46         0.00067     
    1000PEPEUSDT  Buy           47            Success       9             No            5.60%         35            45            False         True          True          64.83         220.20        1.047         22.78         0.00000     
    BNBUSDT       Buy           47            Fail          66            No            5.60%         35            45            False         True          True          66.15         179.66        1.025         24.57         0.38531     
    AVAXUSDT      Buy           41            Fail          91            No            5.60%         35            -5            False         False         True          54.85         109.65        0.723         12.66         0.00690     
    ARBUSDT       Buy           41            Fail          39            No            8.79%         35            -5            False         False         True          52.37         135.98        0.818         20.86         0.00081     
    PENGUUSDT     Buy           47            Success       4             No            11.20%        35            10            False         True          True          67.07         133.89        0.867         52.36         0.00010     
    AAVEUSDT      Buy           49            Success       49            No            7.47%         40            -10           False         True          True          55.47         139.33        0.686         38.72         -0.05640    
    WIFUSDT       Buy           47            Success       9             No            5.60%         35            -5            False         True          True          59.35         178.53        0.883         20.33         0.00031     
    TRUMPUSDT     Buy           47            Fail          101           No            5.60%         35            10            False         True          True          60.34         143.44        0.879         17.54         0.00456     
    HYPEUSDT      Buy           47            Fail          37            No            5.60%         35            60            False         True          True          74.67         179.89        1.032         36.18         0.04763     
    MEMEUSDT      Buy           47            Success       2             No            11.20%        35            60            False         True          True          85.11         238.65        1.107         73.10         0.00002     
    PUMPUSDT      Buy           47            Fail          37            No            8.73%         35            10            False         True          True          65.22         119.40        0.867         17.56         0.00000     
    LDOUSDT       Buy           47            Success       60            No            8.27%         35            10            False         True          True          67.20         177.22        0.956         39.95         0.00215     
    DOTUSDT       Buy           49            Fail          41            No            5.60%         40            5             False         True          True          61.62         136.36        0.815         32.59         -0.00154    
    1000BONKUSDT  Buy           47            Fail          84            No            5.70%         35            10            False         True          True          61.99         136.58        0.904         22.67         0.00001     
    AEROUSDT      Buy           41            Fail          28            No            8.35%         35            -5            False         False         True          58.89         145.08        0.939         20.34         0.00360     
    ETHFIUSDT     Buy           41            Fail          21            No            6.83%         35            -5            False         False         True          56.14         116.04        0.842         14.06         0.00128     
    TRXUSDT       Buy           47            Fail          174           No            5.60%         35            -5            False         True          True          58.78         159.62        0.916         18.15         0.00005     
    CRVUSDT       Buy           47            Fail          87            No            6.54%         35            45            False         True          True          65.03         183.80        1.048         15.67         0.00060     
    TIAUSDT       Buy           49            Fail          39            No            5.60%         40            40            False         True          True          64.71         232.33        1.161         37.23         -0.00006    
    APTUSDT       Buy           47            Fail          39            No            5.60%         35            10            False         True          True          66.73         120.50        0.898         34.49         0.00070     
    AIOTUSDT      Buy           47            Fail          35            No            10.45%        35            -5            False         True          True          59.74         118.98        0.921         22.98         0.00034     
    GALAUSDT      Buy           47            Fail          41            No            8.15%         35            10            False         True          True          66.54         179.17        0.946         42.86         0.00001     
    1000FLOKIUSDT  Buy           47            Fail          70            No            6.16%         35            -5            False         True          True          58.88         108.84        0.831         19.33         0.00000     
    ZORAUSDT      Buy           47            Fail          93            No            11.20%        35            10            False         True          True          64.39         123.49        0.905         32.22         0.00024     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   

