===== BACKTEST REPORT FOR: signals_2025-08-24_21-10-16.json =====
Signal Generation Time (UTC): 2025-08-24 15:40:16

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BIOUSDT       Buy           41            Fail          2             Yes           11.20%        35            25            False         False         True          22.18         -127.09       0.100         57.58         -0.00052    
    LINKUSDT      Buy           43            Success       35            No            5.60%         40            25            False         False         True          41.15         -136.76       -0.028        15.93         -0.00873    
    SPELLUSDT     Buy           43            Success       1             No            6.88%         25            5             False         True          True          57.66         137.10        0.902         17.06         0.00000     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    AVAXUSDT      Sell          41            Success       12            No            5.60%         10            35            False         False         True          73.89         97.89         0.800         45.12         0.03693     
    XNYUSDT       Sell          43            Success       6             No            11.20%        20            25            False         True          True          36.00         -169.00       0.067         32.47         -0.00008    
    PUMPUSDT      Sell          41            Success       1             No            8.40%         25            35            False         False         True          70.23         149.94        0.968         29.00         0.00001     
    SAPIENUSDT    Sell          43            Success       29            No            11.20%        20            25            False         True          True          33.02         -135.37       0.034         27.01         -0.00042    
    QTUMUSDT      Sell          49            Fail          95            No            11.20%        25            55            False         False         True          65.54         247.68        1.148         21.23         0.00995     
    BIDUSDT       Sell          41            Success       10            No            14.00%        25            35            False         False         True          72.75         176.66        0.984         43.41         0.00042     
    NEOUSDT       Sell          49            Success       48            No            7.47%         25            55            False         False         True          67.31         211.41        1.060         15.34         0.01266     

