===== BACKTEST REPORT FOR: signals_2025-08-24_16-13-51.json =====
Signal Generation Time (UTC): 2025-08-24 10:43:51

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    AVAXUSDT      Buy           68            Inconclusive  180           No            8.40%         70            25            True          False         True          24.70         -195.25       -0.024        31.09         -0.04066    
    BNBUSDT       Buy           41            Inconclusive  180           No            5.60%         35            25            False         False         True          26.82         -125.59       0.115         39.41         -0.47801    
    1000PEPEUSDT  Buy           41            Fail          35            No            5.60%         35            25            False         False         True          28.88         -148.30       0.082         42.01         -0.00001    
    SUIUSDT       Buy           41            Inconclusive  180           No            5.60%         35            25            False         False         True          25.65         -157.17       0.053         27.21         -0.00520    
    PENGUUSDT     Buy           41            Success       68            No            5.60%         35            25            False         False         True          15.75         -122.67       0.100         66.72         -0.00005    
    FARTCOINUSDT  Buy           41            Success       94            No            6.11%         35            25            False         False         True          21.27         -142.89       0.065         34.00         -0.00195    
    BOMEUSDT      Buy           68            Fail          0             Yes           8.40%         70            25            True          False         True          25.41         -229.73       -0.069        39.68         -0.00000    
    XPLUSDT       Buy           43            Fail          5             Yes           11.20%        25            5             False         True          True          54.04         125.78        0.769         11.53         0.00074     
    WIFUSDT       Buy           41            Success       133           No            5.60%         35            25            False         False         True          24.94         -150.77       0.064         35.73         -0.00143    
    SAPIENUSDT    Buy           43            Success       109           No            11.20%        25            5             False         True          True          55.10         161.65        0.856         15.55         0.00013     
    PUMPUSDT      Buy           41            Inconclusive  180           No            6.53%         35            25            False         False         True          27.60         -145.30       0.078         29.87         -0.00000    
    UNIUSDT       Buy           41            Success       154           No            5.60%         35            25            False         False         True          27.77         -143.57       0.077         35.08         -0.01449    
    DOTUSDT       Buy           41            Inconclusive  180           No            5.60%         35            25            False         False         True          27.86         -126.09       0.130         31.05         -0.00374    
    HYPEUSDT      Buy           41            Success       171           No            8.40%         35            25            False         False         True          25.15         -162.77       0.024         27.34         -0.07266    
    TRUMPUSDT     Buy           41            Inconclusive  180           No            5.60%         35            25            False         False         True          28.01         -151.36       0.065         38.00         -0.00802    
    ETCUSDT       Buy           41            Inconclusive  180           No            5.60%         35            25            False         False         True          25.50         -145.74       0.067         27.14         -0.02758    
    1000BONKUSDT  Buy           41            Inconclusive  180           No            8.40%         35            25            False         False         True          25.28         -157.68       0.037         26.11         -0.00004    
    OPUSDT        Buy           41            Success       51            No            5.60%         35            25            False         False         True          27.50         -140.15       0.090         35.39         -0.00094    
    PENDLEUSDT    Buy           41            Success       172           No            5.60%         35            25            False         False         True          27.64         -124.19       0.137         39.01         -0.01172    
    FILUSDT       Buy           41            Inconclusive  180           No            5.60%         35            25            False         False         True          26.96         -134.10       0.100         43.68         -0.00304    
    WLDUSDT       Buy           41            Success       139           No            5.60%         35            25            False         False         True          27.17         -133.08       0.096         32.95         -0.00142    
    UMAUSDT       Buy           41            Success       131           No            5.75%         35            25            False         False         True          24.43         -109.37       0.140         35.66         -0.00127    
    ONDOUSDT      Buy           41            Fail          33            No            5.60%         35            25            False         False         True          27.26         -143.13       0.087         38.24         -0.00105    
    1000SHIBUSDT  Buy           41            Success       22            No            5.60%         35            25            False         False         True          22.78         -144.28       0.060         41.75         -0.00001    
    NEARUSDT      Buy           41            Success       154           No            5.60%         35            25            False         False         True          23.33         -151.63       0.063         38.32         -0.00381    
    APTUSDT       Buy           41            Inconclusive  180           No            5.60%         35            25            False         False         True          26.83         -134.80       0.099         35.05         -0.00509    
    WCTUSDT       Buy           41            Success       139           No            8.40%         35            25            False         False         True          26.88         -134.93       0.048         38.06         -0.00023    
    SEIUSDT       Buy           41            Success       154           No            5.66%         35            25            False         False         True          22.09         -142.32       0.098         40.61         -0.00072    
    ETHFIUSDT     Buy           41            Fail          35            Yes           5.60%         35            25            False         False         True          25.79         -136.99       0.086         34.30         -0.00216    
    TIAUSDT       Buy           41            Success       90            No            5.60%         35            25            False         False         True          29.90         -121.94       0.128         36.10         -0.00241    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ETHUSDT       Sell          43            Inconclusive  180           No            5.60%         20            25            False         True          True          35.00         -145.61       0.144         25.70         -3.84659    
