===== BACKTEST REPORT FOR: signals_2025-08-24_18-58-05_STRONG.json =====
Signal Generation Time (UTC): 2025-08-24 13:28:05

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ETHUSDT       Buy           43            Success       98            No            5.60%         25            20            False         True          True          67.65         156.83        0.986         21.94         3.39501     
    ENAUSDT       Buy           43            Fail          38            Yes           5.60%         25            20            False         True          True          60.09         156.30        0.993         16.36         0.00058     
    SAPIENUSDT    Buy           43            Fail          3             No            11.20%        25            5             False         True          True          59.54         152.19        0.900         13.99         0.00055     
    DOTUSDT       Buy           43            Fail          35            Yes           5.60%         25            5             False         True          True          59.57         118.39        0.925         15.25         0.00220     
    CRVUSDT       Buy           43            Fail          39            Yes           5.98%         25            5             False         True          True          59.79         161.53        0.913         16.94         0.00077     
    LDOUSDT       Buy           43            Success       49            No            5.60%         25            20            False         True          True          65.20         125.09        0.863         37.44         0.00269     
    WLDUSDT       Buy           43            Fail          34            Yes           5.60%         25            20            False         True          True          66.42         155.17        0.981         20.42         0.00102     
    1000SHIBUSDT  Buy           43            Fail          34            No            5.60%         25            20            False         True          True          69.27         154.99        0.995         27.50         0.00001     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BIOUSDT       Sell          43            Fail          6             Yes           11.20%        20            25            False         True          True          35.21         -142.72       0.067         29.69         -0.00238    
    PROMPTUSDT    Sell          49            Success       2             No            11.20%        25            55            False         False         True          68.46         172.70        1.010         30.96         0.00135     
    DOGEUSDT      Sell          49            Success       38            No            5.60%         25            55            False         False         True          63.07         176.38        1.027         20.09         0.00019     
    LINKUSDT      Sell          41            Success       76            No            5.60%         25            35            False         False         True          72.95         134.30        0.908         36.23         0.02511     
    MEMEUSDT      Sell          41            Success       4             No            11.20%        25            35            False         False         True          76.36         140.98        0.918         48.50         0.00004     
    1000PEPEUSDT  Sell          49            Fail          98            No            5.60%         25            55            False         False         True          60.82         174.91        1.003         20.50         0.00001     
    ARBUSDT       Sell          55            Success       38            No            5.60%         25            55            False         True          True          63.92         188.14        1.021         14.91         0.00049     
    WIFUSDT       Sell          55            Success       32            No            5.60%         25            55            False         True          True          66.09         172.79        1.006         19.65         0.00107     
    PUMPUSDT      Sell          49            Fail          136           No            5.60%         25            55            False         False         True          62.87         183.92        1.031         24.14         0.00000     
    BCHUSDT       Sell          43            Inconclusive  180           No            5.60%         5             25            False         True          True          41.92         -157.20       0.035         14.46         -0.24113    
    DOGSUSDT      Sell          41            Success       1             No            11.20%        25            35            False         False         True          70.67         129.82        0.883         36.42         0.00000     
    API3USDT      Sell          43            Success       147           No            5.60%         25            40            False         False         True          58.77         179.01        1.027         17.05         0.00112     
    ETHFIUSDT     Strong Sell   75            Fail          6             No            8.40%         25            70            True          True          True          70.80         164.77        1.002         24.61         0.00188     
    TIAUSDT       Sell          55            Success       38            No            5.60%         25            55            False         True          True          65.82         203.92        1.071         20.38         0.00174     
    MYXUSDT       Sell          49            Fail          82            No            7.82%         25            55            False         False         True          69.49         154.03        1.029         17.19         0.00145     
    WCTUSDT       Sell          68            Success       27            No            8.40%         25            70            True          False         True          76.35         166.32        1.000         29.71         0.00061     
    INJUSDT       Sell          55            Fail          97            No            5.60%         25            55            False         True          True          64.18         199.45        1.063         15.37         0.01307     

