===== BACKTEST REPORT FOR: signals_2025-08-23_15-05-36.json =====
Signal Generation Time (UTC): 2025-08-23 09:35:36

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ETHUSDT       Buy           41            Inconclusive  180           No            5.60%         35            -5            False         False         True          54.19         107.69        0.891         13.54         1.82724     
    AVAXUSDT      Buy           47            Success       2             No            5.60%         35            45            False         True          True          64.12         178.69        1.122         11.37         0.01296     
    ARBUSDT       Buy           47            Success       7             No            6.00%         35            45            False         True          True          60.20         161.08        1.095         15.50         0.00050     
    AAVEUSDT      Buy           47            Success       86            No            6.98%         35            45            False         True          True          65.15         298.35        1.237         29.50         0.75579     
    UNIUSDT       Buy           41            Fail          148           No            5.60%         35            -5            False         False         True          57.05         124.17        0.937         14.57         0.00600     
    NEARUSDT      Buy           41            Inconclusive  180           No            5.60%         35            -5            False         False         True          53.69         142.54        0.849         15.31         0.00155     
    OPUSDT        Buy           41            Success       14            No            5.60%         35            -5            False         False         True          56.23         220.67        0.993         12.78         0.00043     
    BANDUSDT      Buy           47            Success       54            No            11.20%        35            10            False         True          True          69.84         122.50        0.868         34.49         0.00404     
    SKLUSDT       Buy           41            Fail          59            No            7.41%         35            60            False         False         True          74.19         210.91        1.058         29.27         0.00010     
    APTUSDT       Buy           47            Success       155           No            5.60%         35            30            False         True          True          57.77         208.73        1.001         21.44         0.00359     
    AIOTUSDT      Buy           47            Fail          145           No            11.20%        35            -5            False         True          True          56.67         130.14        0.954         18.56         0.00086     
    XNYUSDT       Buy           49            Fail          20            No            11.20%        40            20            False         False         True          29.44         -117.34       0.120         46.42         0.00002     
    PENDLEUSDT    Buy           41            Fail          45            Yes           5.65%         35            -5            False         False         True          56.74         164.48        0.900         15.87         0.00512     
    GALAUSDT      Buy           47            Success       163           No            5.85%         35            -5            False         True          True          58.23         157.55        0.913         13.24         0.00001     
    FETUSDT       Buy           41            Fail          141           No            5.60%         35            45            False         False         True          62.09         323.06        1.193         12.12         0.00038     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   

