===== BACKTEST REPORT FOR: signals_2025-08-24_10-51-26.json =====
Signal Generation Time (UTC): 2025-08-24 05:21:26

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BANDUSDT      Buy           41            Fail          65            No            6.23%         35            10            False         False         True          27.89         -90.45        0.217         37.70         -0.00078    
    MYXUSDT       Buy           41            Success       12            No            7.63%         35            25            False         False         True          26.29         -134.87       0.072         38.82         -0.00178    
    UMAUSDT       Buy           41            Fail          57            No            5.60%         35            25            False         False         True          26.76         -104.76       0.164         39.07         -0.00044    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    LINKUSDT      Sell          43            Success       60            No            5.60%         5             25            False         True          True          43.12         -117.02       0.182         22.07         -0.00336    
    AVAXUSDT      Sell          43            Success       60            No            5.60%         20            25            False         True          True          32.86         -173.91       0.021         22.44         -0.01005    
    PROMPTUSDT    Sell          41            Success       1             No            14.00%        25            35            False         False         True          70.09         177.78        0.998         32.74         0.00162     
    ARBUSDT       Sell          45            Success       28            No            5.60%         15            30            False         True          True          35.90         -123.72       0.177         30.50         0.00025     
    PENGUUSDT     Sell          43            Success       55            No            5.60%         5             25            False         True          True          40.82         -169.58       0.045         17.28         -0.00001    
    FARTCOINUSDT  Sell          43            Success       45            No            5.60%         5             25            False         True          True          43.72         -116.76       0.071         9.39          -0.00019    
    PUMPUSDT      Sell          43            Fail          1             Yes           6.15%         20            25            False         True          True          35.92         -162.50       0.036         32.14         -0.00000    
    1000BONKUSDT  Sell          43            Success       30            No            5.60%         5             25            False         True          True          43.35         -117.29       0.073         9.45          -0.00000    
    API3USDT      Sell          43            Success       63            No            5.60%         20            25            False         True          True          38.32         -123.22       0.130         27.11         -0.00025    
    DOGSUSDT      Sell          43            Success       1             No            6.86%         20            25            False         True          True          37.19         -117.50       0.161         15.81         -0.00000    
    PENDLEUSDT    Sell          43            Success       52            No            5.60%         20            25            False         True          True          33.35         -135.04       0.132         33.55         -0.00076    
    WCTUSDT       Sell          45            Fail          5             Yes           5.60%         15            30            False         True          True          36.03         -117.54       0.105         28.24         0.00003     
    1000SHIBUSDT  Sell          43            Success       30            No            5.60%         20            25            False         True          True          37.59         -103.34       0.146         25.54         -0.00000    
    WLDUSDT       Sell          43            Success       29            No            5.60%         20            25            False         True          True          32.61         -103.01       0.143         33.35         -0.00008    
    NEARUSDT      Sell          45            Success       56            No            5.60%         0             30            False         True          True          43.13         -102.38       0.163         21.80         0.00010     

