===== BACKTEST REPORT FOR: signals_2025-08-24_12-21-50_STRONG.json =====
Signal Generation Time (UTC): 2025-08-24 06:51:50

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    DOGEUSDT      Buy           41            Inconclusive  180           No            5.60%         35            10            False         False         True          27.04         -99.60        0.178         39.24         -0.00017    
    AAVEUSDT      Buy           49            Success       81            No            5.60%         55            25            False         False         True          35.23         -194.85       -0.012        22.44         -0.30138    
    BNBUSDT       Buy           41            Inconclusive  180           No            5.60%         35            25            False         False         True          28.09         -113.40       0.141         33.46         -0.46032    
    ENAUSDT       Buy           41            Success       34            No            5.60%         35            10            False         False         True          29.16         -97.95        0.184         44.67         -0.00021    
    1000PEPEUSDT  Buy           41            Fail          146           No            5.60%         35            10            False         False         True          29.48         -95.38        0.205         42.68         -0.00001    
    PENGUUSDT     Buy           41            Success       19            No            5.60%         35            25            False         False         True          26.22         -101.98       0.157         45.64         -0.00003    
    FARTCOINUSDT  Buy           41            Success       38            No            5.60%         35            25            False         False         True          26.55         -115.56       0.123         35.01         -0.00085    
    WIFUSDT       Buy           41            Success       38            No            5.60%         35            25            False         False         True          21.75         -113.57       0.140         38.50         -0.00065    
    UNIUSDT       Buy           41            Success       34            No            5.60%         35            25            False         False         True          25.25         -137.10       0.072         32.34         -0.01250    
    DOTUSDT       Buy           41            Inconclusive  180           No            5.60%         35            25            False         False         True          25.35         -122.70       0.119         50.04         -0.00291    
    1000BONKUSDT  Buy           41            Success       34            No            5.60%         35            25            False         False         True          21.76         -117.85       0.112         43.28         -0.00003    
    LDOUSDT       Buy           41            Fail          70            No            5.60%         35            25            False         False         True          20.90         -103.59       0.174         51.90         -0.00185    
    API3USDT      Buy           68            Inconclusive  180           No            8.40%         70            25            True          False         True          16.33         -167.84       -0.021        38.61         -0.00280    
    CRVUSDT       Buy           68            Success       14            No            8.40%         70            25            True          False         True          21.04         -169.35       -0.007        38.49         -0.00146    
