===== BACKTEST REPORT FOR: signals_2025-08-24_19-49-01.json =====
Signal Generation Time (UTC): 2025-08-24 14:19:01

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ETHUSDT       Buy           43            Success       52            No            5.60%         25            20            False         True          True          64.16         134.49        0.953         19.54         0.42520     
    HYPEUSDT      Buy           43            Success       52            No            5.60%         25            20            False         True          True          61.58         105.48        0.891         23.88         0.01178     
    MYXUSDT       Buy           43            Fail          21            Yes           7.59%         25            20            False         True          True          68.12         114.31        0.901         29.91         0.00073     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BTCUSDT       Sell          43            Inconclusive  180           No            5.60%         5             25            False         True          True          42.29         -134.07       0.225         16.12         -24.69019   
    BIOUSDT       Sell          43            Success       11            No            11.20%        20            25            False         True          True          32.48         -135.58       0.112         33.85         -0.00158    
    AAVEUSDT      Sell          68            Inconclusive  180           No            8.40%         25            70            True          False         True          72.89         262.22        1.226         23.71         0.27420     
    FHEUSDT       Sell          43            Fail          9             Yes           11.20%        20            25            False         True          True          39.15         -116.19       0.184         18.90         -0.00012    
    DOLOUSDT      Sell          43            Success       18            No            11.20%        5             25            False         True          True          44.76         -104.97       0.256         14.10         -0.00042    
    SAPIENUSDT    Sell          43            Success       11            No            11.20%        20            25            False         True          True          39.04         -167.92       0.054         20.37         -0.00070    
    BRUSDT        Sell          43            Success       41            No            11.20%        20            25            False         True          True          32.44         -137.17       0.075         21.38         -0.00014    
    LDOUSDT       Sell          41            Fail          52            No            8.40%         25            35            False         False         True          70.16         125.31        0.974         35.91         0.00085     
    PENDLEUSDT    Sell          49            Fail          36            No            5.60%         25            55            False         False         True          68.79         192.84        1.173         20.77         0.00493     
    ETHFIUSDT     Sell          68            Fail          52            No            8.40%         25            70            True          False         True          70.04         128.44        1.013         34.74         0.00077     
    INJUSDT       Sell          55            Success       17            No            5.60%         25            55            False         True          True          63.96         132.70        1.032         14.51         0.00233     

