===== BACKTEST REPORT FOR: signals_2025-08-23_03-14-16.json =====
Signal Generation Time (UTC): 2025-08-22 21:44:16

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    XRPUSDT       Buy           47            Fail          28            No            5.60%         35            -5            False         True          True          59.74         116.96        0.923         23.34         0.00061     
    DOGEUSDT      Buy           47            Fail          54            No            5.60%         35            45            False         True          True          67.87         205.48        1.131         35.40         0.00012     
    1000PEPEUSDT  Buy           47            Success       118           No            6.88%         35            45            False         True          True          69.06         182.91        1.031         41.31         0.00001     
    SUIUSDT       Buy           47            Fail          72            No            5.60%         35            10            False         True          True          64.23         135.43        0.942         29.27         0.00159     
    BNBUSDT       Buy           47            Fail          175           No            5.60%         35            25            False         True          True          70.14         115.60        0.907         36.48         0.28920     
    FARTCOINUSDT  Buy           47            Fail          28            No            9.75%         35            60            False         True          True          74.15         233.43        1.217         41.76         0.00117     
    PENGUUSDT     Buy           47            Success       17            No            8.86%         35            45            False         True          True          67.80         170.07        1.066         47.56         0.00002     
    WIFUSDT       Buy           47            Fail          28            No            6.86%         35            45            False         True          True          65.26         180.55        1.064         29.25         0.00058     
    ETCUSDT       Buy           41            Fail          24            No            7.62%         35            -5            False         False         True          56.65         107.89        0.794         16.18         0.01307     
    DOTUSDT       Buy           47            Fail          150           No            5.60%         35            25            False         True          True          83.59         133.30        0.955         49.78         0.00426     
    1000BONKUSDT  Buy           47            Fail          28            No            6.69%         35            10            False         True          True          67.06         141.77        0.961         38.47         0.00002     
    AEROUSDT      Buy           53            Fail          19            No            8.98%         65            15            False         False         True          38.47         -203.14       -0.009        9.93          -0.00081    
    MEMEUSDT      Buy           47            Fail          7             Yes           11.20%        35            25            False         True          True          85.35         137.54        0.895         65.57         0.00004     
    NEARUSDT      Buy           47            Fail          54            No            5.60%         35            10            False         True          True          67.98         135.24        0.910         39.74         0.00073     
    ONDOUSDT      Buy           47            Fail          44            No            5.60%         35            45            False         True          True          65.78         153.91        1.016         24.51         0.00038     
    XLMUSDT       Buy           47            Fail          137           No            5.60%         35            45            False         True          True          63.21         243.82        1.193         26.63         0.00015     
    TRXUSDT       Buy           49            Inconclusive  180           No            5.60%         40            5             False         True          True          61.46         100.76        0.781         35.71         -0.00000    
    1000SHIBUSDT  Buy           47            Fail          28            No            5.60%         35            10            False         True          True          68.26         130.16        0.926         48.79         0.00000     
    WLDUSDT       Buy           47            Fail          54            No            5.71%         35            -5            False         True          True          58.57         147.22        0.935         25.17         0.00008     
    CRVUSDT       Buy           47            Fail          24            No            7.74%         35            45            False         True          True          67.71         179.14        1.040         32.13         0.00036     
    SEIUSDT       Buy           47            Fail          17            No            7.39%         35            45            False         True          True          62.49         190.02        1.116         22.34         0.00006     
    CUDISUSDT     Buy           47            Fail          79            No            11.20%        35            -5            False         True          True          52.97         113.76        0.859         14.18         0.00027     
    HBARUSDT      Buy           47            Fail          29            No            5.60%         35            45            False         True          True          66.79         171.52        1.054         28.53         0.00017     
    XNYUSDT       Buy           47            Fail          24            No            11.20%        35            10            False         True          True          60.57         195.92        0.988         15.71         0.00001     
    APTUSDT       Buy           47            Success       116           No            5.60%         35            45            False         True          True          65.30         161.96        1.035         33.89         0.00121     
    AIOTUSDT      Buy           47            Fail          7             No            11.20%        35            45            False         True          True          66.44         289.54        1.177         16.87         0.00322     
    PENDLEUSDT    Buy           49            Fail          24            No            7.41%         40            5             False         True          True          61.27         110.54        0.792         35.78         -0.00149    
    TAOUSDT       Buy           47            Fail          49            No            5.60%         35            10            False         True          True          65.29         130.83        0.907         35.66         0.01728     
    GALAUSDT      Buy           47            Success       25            No            7.40%         35            10            False         True          True          69.46         136.24        0.956         32.67         0.00001     
    VINEUSDT      Buy           47            Fail          7             Yes           11.20%        35            10            False         True          True          63.07         122.34        0.850         21.98         0.00029     
    TONUSDT       Buy           47            Inconclusive  180           No            5.60%         35            60            False         True          True          84.93         191.50        1.071         44.34         0.00372     
    FHEUSDT       Buy           49            Fail          2             Yes           11.20%        40            20            False         True          True          75.45         115.54        0.830         76.07         -0.00011    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   

