===== BACKTEST REPORT FOR: signals_2025-08-24_13-55-24_STRONG.json =====
Signal Generation Time (UTC): 2025-08-24 08:25:24

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    MEMEUSDT      Buy           68            Success       19            No            11.20%        70            25            True          False         True          25.55         -185.76       -0.150        16.62         -0.00001    
    BOMEUSDT      Buy           68            Fail          118           No            10.35%        70            25            True          False         True          26.86         -190.39       -0.033        45.46         -0.00000    
    XPLUSDT       Buy           49            Fail          10            Yes           11.20%        40            25            False         True          True          43.87         -188.17       -0.051        24.86         -0.00338    
    MYXUSDT       Buy           49            Fail          57            No            6.26%         55            25            False         False         True          34.60         -230.33       -0.078        17.42         -0.00072    
    ZORAUSDT      Buy           49            Fail          111           No            11.20%        55            25            False         False         True          39.54         -230.57       -0.073        13.37         -0.00006    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    BTCUSDT       Sell          43            Inconclusive  180           No            5.60%         5             25            False         True          True          42.07         -148.00       0.151         17.26         -9.30072    
    AVAXUSDT      Sell          45            Success       125           No            5.60%         0             30            False         True          True          41.78         -105.33       0.257         33.45         0.00602     
    BIOUSDT       Sell          68            Fail          3             No            14.00%        25            70            True          False         True          84.21         332.34        1.267         20.12         0.00289     
    SAPIENUSDT    Sell          68            Success       2             No            14.00%        25            70            True          False         True          71.85         205.47        1.064         35.47         0.00043     
    ETCUSDT       Sell          45            Success       117           No            5.60%         0             30            False         True          True          41.44         -110.57       0.150         22.67         0.00296     
    BANDUSDT      Strong Sell   75            Fail          3             Yes           8.40%         25            70            True          True          True          70.19         241.85        1.090         20.85         0.00309     
    HAEDALUSDT    Sell          43            Success       19            No            11.20%        20            25            False         True          True          33.08         -118.95       0.133         30.03         -0.00100    
    1000SHIBUSDT  Sell          45            Success       113           No            5.60%         15            30            False         True          True          37.88         -123.38       0.146         43.11         0.00000     

