===== BACKTEST REPORT FOR: signals_2025-08-20_00-56-29.json =====
Signal Generation Time (UTC): 2025-08-19 19:26:29

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
(None)

--- STRONG SELL SIGNALS ---
(None)

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  ETHUSDT          Sell             31               67               Success          46               4114.180000      4167.180000      Yes              10               20               False            1                False            True             False            True             Bearish          -7               -0.4368          54.4845          50.3920          -22.2080         0.5002           False            False            False            False            Sell             True             vol_ok           N/A            
  BTCUSDT          Sell             59               100              Inconclusive     0                112858.800000    113524.500000    No               0                40               True             2                True             True             False            True             Bearish          -7               16.8416          54.4845          51.0306          -2.0587          0.5886           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  SOLUSDT          Sell             31               80               Success          47               175.8400         179.2800         Yes              5                20               False            1                False            True             False            True             Bearish          -7               -0.0377          54.4845          51.5527          -11.2777         0.5354           False            False            False            False            Sell             True             vol_ok           N/A            
  XRPUSDT          Sell             31               67               Success          30               2.8700           2.9173           Yes              10               20               False            1                False            True             False            True             Bearish          -7               -0.0011          54.4845          47.9948          -44.9873         0.4403           False            False            False            False            Sell             True             vol_ok           N/A            
  DOGEUSDT         Sell             31               80               Inconclusive     0                0.2110           0.2142           No               5                20               False            1                False            True             False            True             Bearish          -7               -0.0000          54.4845          52.2233          -3.1666          0.5795           False            False            False            False            Sell             True             vol_ok           N/A            
  LINKUSDT         Sell             59               89               Inconclusive     0                23.7330          24.0520          No               -5               40               True             2                True             True             False            True             Bearish          -7               0.0130           54.4845          52.5578          7.9622           0.5881           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  ADAUSDT          Sell             59               80               Inconclusive     0                0.8521           0.8636           No               -10              40               True             2                True             True             False            True             Bearish          -7               0.0009           54.4845          45.7237          -9.7407          0.5602           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  API3USDT         Sell             38               80               Success          98               1.2919           1.3870           Yes              5                20               False            1                False            True             True             True             Bearish          -7               -0.0000          54.4845          52.5032          14.9774          0.6248           False            False            False            False            Sell             True             vol_ok,profit_window  N/A            
  SUIUSDT          Sell             31               67               Success          47               3.4230           3.4800           Yes              10               20               False            1                False            True             False            True             Bearish          -7               -0.0006          54.4845          49.7803          -25.1380         0.4990           False            False            False            False            Sell             True             vol_ok           N/A            
  AIOTUSDT         Sell             31               80               Fail             33               1.6960           2.1320           Yes              5                20               False            1                False            False            True             True             Bearish          -7               -0.0026          54.4845          48.5634          -49.7062         0.3759           False            False            False            False            Sell             True             profit_window    N/A            
  ENAUSDT          Sell             59               89               Success          26               0.6335           0.6474           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0005           54.4845          59.0290          97.5082          0.7937           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  1000PEPEUSDT     Sell             59               100              Inconclusive     0                0.0102           0.0104           No               0                40               True             2                True             True             False            True             Bearish          -7               0.0000           54.4845          49.9061          2.9685           0.4533           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  BNBUSDT          Sell             59               89               Fail             19               829.7400         837.6100         No               -5               40               True             2                True             True             False            True             Bearish          -7               0.1770           54.4845          54.7401          28.8292          0.6039           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  FARTCOINUSDT     Sell             31               67               Success          44               0.8561           0.8814           Yes              10               20               False            1                False            True             False            True             Bearish          -7               -0.0004          54.4845          48.7253          -18.9265         0.4431           False            False            False            False            Sell             True             vol_ok           N/A            
  AVAXUSDT         Sell             59               89               Success          43               22.3950          22.7360          Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0119           54.4845          52.4773          25.0956          0.5884           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  MYXUSDT          Sell             31               80               Success          168              1.1144           1.1744           Yes              5                20               False            1                False            False            True             True             Bearish          -7               -0.0021          54.4845          48.9050          -73.9754         0.2603           False            False            False            False            Sell             True             profit_window    N/A            
  BIOUSDT          Sell             59               100              Success          11               0.1257           0.1301           Yes              0                40               True             2                True             True             False            True             Bearish          -7               0.0001           54.4845          51.3808          66.6290          0.7507           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  ARBUSDT          Sell             59               89               Success          40               0.4767           0.4854           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0004           54.4845          54.1243          36.7346          0.6353           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  PENGUUSDT        Sell             59               89               Success          175              0.0301           0.0308           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0001           54.4845          56.0525          66.0052          0.7512           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  HYPEUSDT         Sell             60               92               Success          40               42.0310          43.7960          Yes              -5               60               True             2                True             False            False            True             Bearish          -7               0.0191           54.4845          64.6824          134.9759         0.9201           False            False            False            True             Sell             True             base_ok          N/A            
  LTCUSDT          Sell             59               89               Fail             86               112.6900         115.4700         No               -5               40               True             2                True             True             False            True             Bearish          -7               0.0369           54.4845          52.6201          23.4214          0.5822           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  WIFUSDT          Sell             59               89               Inconclusive     0                0.8201           0.8371           No               -5               40               True             2                True             True             False            True             Bearish          -7               0.0006           54.4845          52.4944          35.2814          0.6051           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  PUMPUSDT         Sell             100              95               Success          37               0.0028           0.0029           Yes              -5               100              True             3                True             True             False            True             Bearish          -7               0.0000           54.4845          67.2060          247.9871         1.5027           True             True             False            True             Sell             True             base_ok,vol_ok   N/A            
  TRUMPUSDT        Sell             52               89               Success          47               8.6300           8.7400           Yes              -5               40               True             2                True             False            False            True             Bearish          -7               0.0035           54.4845          53.5569          37.7059          0.6397           False            False            False            False            Sell             True             base_ok          N/A            
  UNIUSDT          Sell             59               89               Success          43               9.9610           10.1140          Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0092           54.4845          54.5063          42.1759          0.6554           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  TRXUSDT          Sell             52               89               Success          27               0.3480           0.3505           Yes              -5               40               True             2                True             False            False            True             Bearish          -7               0.0000           54.4845          57.1151          51.7383          0.6867           False            False            False            False            Sell             True             base_ok          N/A            
  AAVEUSDT         Sell             59               89               Fail             108              277.3100         281.3500         No               -5               40               True             2                True             True             False            True             Bearish          -7               0.1247           54.4845          54.6133          41.3392          0.6436           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  1000BONKUSDT     Sell             59               89               Success          44               0.0214           0.0218           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0000           54.4845          55.8315          57.8168          0.6989           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  CRVUSDT          Sell             59               100              Success          46               0.8240           0.8410           Yes              0                40               True             2                True             True             False            True             Bearish          -7               0.0003           54.4845          47.1724          -10.1892         0.4706           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  XNYUSDT          Sell             66               89               Success          13               0.0113           0.0120           Yes              -5               40               True             2                True             True             True             True             Bearish          -7               0.0000           54.4845          57.1256          97.7183          0.8292           False            False            False            False            Sell             True             base_ok,vol_ok,profit_window  N/A            
  DOTUSDT          Sell             31               80               Success          32               3.7200           3.7820           Yes              5                20               False            1                False            True             False            True             Bearish          -7               -0.0001          54.4845          51.1269          -1.7867          0.5079           False            False            False            False            Sell             True             vol_ok           N/A            
  PROVEUSDT        Sell             63               91               Success          49               1.1578           1.2075           Yes              -5               50               True             2                True             True             False            True             Bearish          -7               0.0016           54.4845          62.6136          99.7464          0.9320           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  DAMUSDT          Sell             38               67               Success          82               0.0720           0.0767           Yes              10               20               False            1                False            True             True             True             Bearish          -7               -0.0000          54.4845          44.7284          -24.1108         0.4034           False            False            False            False            Sell             True             vol_ok,profit_window  N/A            
  OPUSDT           Sell             59               89               Success          46               0.6892           0.6992           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0008           54.4845          57.0282          83.3844          0.7994           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  LDOUSDT          Sell             52               89               Inconclusive     0                1.2785           1.2991           No               -5               40               True             2                True             False            False            True             Bearish          -7               0.0002           54.4845          56.2609          25.2273          0.6014           False            False            False            False            Sell             True             base_ok          N/A            
  NEARUSDT         Sell             59               89               Success          43               2.4360           2.4710           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0019           54.4845          55.9330          63.0349          0.7168           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  WLDUSDT          Sell             59               89               Success          44               0.8999           0.9125           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0007           54.4845          53.3302          35.8494          0.6348           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  SEIUSDT          Sell             59               89               Success          43               0.3025           0.3073           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0003           54.4845          56.2335          90.6333          0.7964           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  XLMUSDT          Sell             59               89               Success          32               0.3933           0.3980           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0002           54.4845          54.3480          37.5403          0.6232           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  APTUSDT          Sell             59               89               Inconclusive     0                4.3163           4.3627           No               -5               40               True             2                True             True             False            True             Bearish          -7               0.0021           54.4845          55.0818          58.2743          0.6999           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
