===== BACKTEST REPORT FOR: signals_2025-08-19_09-03-48_STRONG.json =====
Signal Generation Time (UTC): 2025-08-19 03:33:48

--- STRONG BUY SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  MarketTrend      MACD_Hist        RSI              CCI              %B               BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Downgrade_Reason
  1000SHIBUSDT     Buy              51               60               Fail             6                0.012560         0.012500         No               45               30               True             2                True             False            False            True             -10.000000       -0.000006        32.739796        -156.843430      -0.315100        True             False            True             Buy              N/A            
  TAOUSDT          Buy              51               60               Fail             9                351.780000       347.000000       No               45               30               True             2                True             False            False            True             -10.000000       -0.192032        32.973468        -177.333759      -0.047800        True             False            True             Buy              N/A            
  APTUSDT          Buy              47               64               Fail             9                4.501500         4.421300         No               35               20               True             2                True             False            False            True             -10.000000       0.000123         35.029213        -138.081814      -0.004900        True             False            True             Buy              N/A            
  ETCUSDT          Buy              51               60               Fail             9                21.314000        21.059000        No               45               30               True             2                True             False            False            True             -10.000000       -0.008720        33.154029        -179.686728      -0.104300        True             False            True             Buy              N/A            
  ETHFIUSDT        Buy              51               60               Fail             9                1.109600         1.091400         No               45               30               True             2                True             False            False            True             -10.000000       -0.001160        31.933502        -171.484711      -0.046200        True             False            True             Buy              N/A            
  TONUSDT          Buy              47               64               Fail             1                3.246100         3.212400         No               35               20               True             2                True             False            False            True             -10.000000       0.000590         31.042092        -169.325725      -0.006700        True             False            True             Buy              N/A            

--- STRONG SELL SIGNALS ---
(None)

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  MarketTrend      MACD_Hist        RSI              CCI              %B               BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Downgrade_Reason
  BIOUSDT          Sell             69               100              Success          29               0.128920         0.135050         No               0                55               True             2                True             True             True             True             -10.000000       0.000497         67.016453        235.871791       1.090300         True             False            True             Sell             N/A            
  XNYUSDT          Sell             52               55               Success          0                0.013497         0.013800         No               25               30               True             2                True             True             False            True             -10.000000       -0.000011        29.262755        -147.880769      0.087800         False            True             True             Sell             N/A            
  PLUMEUSDT        Sell             52               55               Fail             35               0.087400         0.089000         Yes              25               30               True             2                True             True             False            True             -10.000000       -0.000216        28.341732        -128.844112      0.129200         False            True             True             Sell             N/A            
  POLUSDT          Sell             52               55               Success          35               0.248540         0.252160         No               25               30               True             2                True             True             False            True             -10.000000       -0.000550        27.945500        -157.382991      0.057400         False            True             True             Sell             N/A            
  PENDLEUSDT       Sell             52               55               Success          9                5.216100         5.264300         No               25               30               True             2                True             True             False            True             -10.000000       -0.004593        28.998615        -159.029023      0.025200         False            True             True             Sell             N/A            

