===== BACKTEST REPORT FOR: signals_2025-08-20_21-10-32.json =====
Signal Generation Time (UTC): 2025-08-20 15:40:32

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  OGNUSDT          Sell             24               80               Success          79               0.080300         0.085500         Yes              -5               20               False            1                False            False            True             True             Neutral          -1               0.000090         15.862804        54.832894        68.581688        0.652700         False            False            False            False            Sell             False            profit_window    N/A            
  MYXUSDT          Sell             79               95               Success          12               0.986800         1.148100         Yes              -5               90               True             3                True             False            True             True             Neutral          -1               0.008669         15.862804        73.570782        249.560412       1.050200         True             True             True             True             Sell             False            base_ok,profit_window  N/A            
  PUMPUSDT         Sell             36               89               Inconclusive     0                0.003010         0.003096         No               -5               40               True             1                False            False            True             True             Neutral          -1               0.000011         15.862804        65.992028        105.643233       0.816100         False            False            False            True             Sell             False            base_ok,profit_window  N/A            
  TRUMPUSDT        Sell             27               86               Success          13               8.790000         8.912000         Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.010902         15.862804        63.920038        92.698343        0.753900         False            False            False            False            Sell             False            base_ok          N/A            
  MEMEUSDT         Sell             49               90               Fail             20               0.002582         0.002990         No               -5               45               True             2                True             False            True             True             Neutral          -1               0.000003         15.862804        70.162133        90.722096        0.675300         False            False            True             False            Sell             False            base_ok,profit_window  N/A            
  TRXUSDT          Sell             18               80               Fail             46               0.347790         0.351290         No               -5               20               False            1                False            False            False            True             Neutral          -1               0.000131         15.862804        49.731220        68.890274        0.658300         False            False            False            False            Sell             False                             N/A            
  UNIUSDT          Sell             27               86               Success          13               10.306000        10.558000        Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.021501         15.862804        69.405793        97.244793        0.784500         False            False            False            False            Sell             False            base_ok          N/A            
  AAVEUSDT         Sell             27               86               Success          13               289.390000       296.070000       Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.500614         15.862804        67.089752        95.096938        0.767000         False            False            False            False            Sell             False            base_ok          N/A            
  UMAUSDT          Sell             53               92               Success          6                1.412000         1.456000         Yes              -5               55               True             2                True             True             False            True             Neutral          -1               0.003811         15.862804        76.759190        155.508173       0.943800         True             False            True             True             Sell             False            base_ok,vol_ok   N/A            
  1000BONKUSDT     Sell             27               86               Success          13               0.021594         0.022163         Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.000048         15.862804        63.810675        92.033401        0.743400         False            False            False            False            Sell             False            base_ok          N/A            
