===== BACKTEST REPORT FOR: signals_2025-08-24_03-49-08_STRONG.json =====
Signal Generation Time (UTC): 2025-08-23 22:19:08

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    XRPUSDT       Buy           43            Success       141           No            5.60%         25            20            False         True          True          62.30         177.41        0.866         19.79         0.00086     
    AVAXUSDT      Buy           43            Success       30            No            5.60%         25            5             False         True          True          58.92         130.47        0.827         19.61         0.01512     
    BIOUSDT       Buy           43            Success       30            No            10.84%        25            20            False         True          True          60.41         178.83        0.941         18.06         0.00064     
    PENGUUSDT     Buy           43            Success       43            No            5.60%         25            20            False         True          True          66.55         144.12        0.953         27.62         0.00002     
    WIFUSDT       Buy           43            Success       40            No            5.60%         25            5             False         True          True          53.56         103.01        0.726         14.78         0.00026     
    HYPEUSDT      Buy           55            Success       90            No            5.60%         55            25            False         True          True          38.12         -220.88       -0.113        13.67         -0.03393    
    TRXUSDT       Buy           43            Inconclusive  180           No            5.60%         25            20            False         True          True          60.74         105.34        0.873         20.25         0.00007     
    HBARUSDT      Buy           43            Inconclusive  180           No            5.60%         25            5             False         True          True          57.14         103.96        0.699         21.61         0.00000     
    QTUMUSDT      Buy           43            Fail          21            Yes           6.30%         25            5             False         True          True          57.93         114.14        0.806         27.10         0.00199     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ETHUSDT       Sell          49            Fail          133           No            5.60%         25            55            False         False         True          64.59         197.62        1.036         16.69         2.05908     
    WLFIUSDT      Sell          45            Fail          3             Yes           11.20%        15            30            False         True          True          37.40         -119.42       0.228         28.27         0.00113     
    ARBUSDT       Sell          49            Fail          37            No            5.60%         25            55            False         False         True          66.73         191.16        1.028         23.11         0.00091     
    XPLUSDT       Strong Sell   75            Success       2             No            11.20%        25            70            True          True          True          70.19         209.90        1.049         19.35         0.00363     
    XNYUSDT       Sell          43            Fail          30            No            11.20%        20            25            False         True          True          38.25         -113.75       0.129         19.74         -0.00002    

