===== BACKTEST REPORT FOR: signals_2025-08-24_09-32-32.json =====
Signal Generation Time (UTC): 2025-08-24 04:02:32

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ETHUSDT       Buy           43            Inconclusive  180           No            5.60%         25            20            False         True          True          60.18         117.29        0.890         21.05         2.94853     
    DOLOUSDT      Buy           43            Fail          12            No            11.20%        25            5             False         True          True          57.11         118.62        0.823         12.47         0.00096     

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    FHEUSDT       Sell          43            Fail          3             Yes           11.20%        5             25            False         True          True          41.39         -117.20       0.155         15.73         -0.00030    
    MEMEUSDT      Sell          68            Fail          0             Yes           14.00%        25            70            True          False         True          76.69         209.99        1.119         45.43         0.00002     
    BIOUSDT       Sell          49            Fail          7             Yes           11.20%        25            55            False         False         True          61.00         193.97        1.074         18.31         0.00068     
    TRXUSDT       Sell          49            Inconclusive  180           No            5.60%         25            55            False         False         True          69.92         179.77        1.026         20.30         0.00016     
    BCHUSDT       Sell          49            Success       148           No            5.60%         25            55            False         False         True          63.01         189.04        1.083         16.06         0.10454     
    DOGSUSDT      Sell          49            Success       0             No            8.11%         25            55            False         False         True          64.80         265.77        1.080         16.74         0.00000     
    BANDUSDT      Sell          45            Success       27            No            7.37%         15            30            False         True          True          37.97         -101.91       0.248         12.92         0.00036     

