===== BACKTEST REPORT FOR: signals_2025-08-20_02-04-21_STRONG.json =====
Signal Generation Time (UTC): 2025-08-19 20:34:21

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
(None)

--- STRONG SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  AIOTUSDT         Strong Sell      100              96               Success          36               1.6630           2.0340           Yes              -5               115              True             4                True             True             True             True             Bearish          -7               0.0173           49.3187          79.0290          268.1702         1.1562           True             True             True             True             Sell             True             base_ok,vol_ok,profit_window  N/A            
  BROCCOLIF3BUSDT  Strong Sell      100              96               Success          31               0.0119           0.0123           Yes              -5               110              True             4                True             True             True             True             Bearish          -7               0.0001           49.3187          74.9802          202.0904         1.0681           True             True             True             True             Sell             True             base_ok,vol_ok,profit_window  N/A            
  USELESSUSDT      Strong Sell      93               94               Fail             80               0.2630           0.2810           No               -5               75               True             3                True             True             True             True             Bearish          -7               0.0030           49.3187          72.7745          155.2612         0.9835           True             False            True             True             Sell             True             base_ok,vol_ok,profit_window  N/A            

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  ETHUSDT          Sell             59               89               Success          156              4100.000000      4164.030000      Yes              -5               40               True             2                True             True             False            True             Bearish          -7               1.1677           49.3187          50.8290          38.4975          0.6390           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  BTCUSDT          Sell             59               89               Success          149              112755.000000    113524.500000    Yes              -5               40               True             2                True             True             False            True             Bearish          -7               25.0917          49.3187          55.0774          83.4305          0.7423           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  SOLUSDT          Sell             59               89               Fail             38               177.2500         179.4400         No               -5               40               True             2                True             True             False            True             Bearish          -7               0.0619           49.3187          53.5299          63.2662          0.7255           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  XRPUSDT          Sell             59               100              Success          170              2.8603           2.9050           Yes              0                40               True             2                True             True             False            True             Bearish          -7               0.0007           49.3187          48.0602          3.7718           0.5329           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
