===== BACKTEST REPORT FOR: signals_2025-08-23_13-01-12_STRONG.json =====
Signal Generation Time (UTC): 2025-08-23 07:31:12

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    ENAUSDT       Strong Buy    79            Fail          14            No            8.40%         80            15            True          True          True          28.69         -173.78       -0.000        20.48         -0.00145    
    AAVEUSDT      Buy           45            Fail          43            No            8.40%         45            15            False         False         True          28.01         -158.36       0.032         24.92         -0.65713    
    XPLUSDT       Buy           47            Fail          1             Yes           11.20%        35            10            False         True          True          62.72         126.03        0.846         17.48         0.00049     
    NEARUSDT      Buy           47            Fail          57            No            5.60%         50            15            False         False         True          40.24         -183.48       -0.007        25.00         -0.00396    
    SKLUSDT       Buy           72            Success       110           No            8.40%         80            15            True          False         True          29.47         -198.72       -0.017        38.26         -0.00004    
    ONDOUSDT      Buy           53            Fail          60            No            5.60%         65            15            False         False         True          39.50         -210.54       -0.039        26.47         -0.00183    
    BBUSDT        Buy           45            Success       54            No            10.23%        45            0             False         False         True          29.18         -99.94        0.191         32.68         -0.00011    
    PNUTUSDT      Buy           47            Fail          15            No            8.69%         35            25            False         True          True          72.24         116.82        0.799         53.02         0.00006     
    ZORAUSDT      Buy           53            Fail          17            No            11.20%        50            15            False         True          True          41.17         -206.99       -0.022        17.74         -0.00027    

--- SELL SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   

