Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,would_be_strong_if,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,note,IND__rsi5m,IND__macd5m_histogram,IND__boll5m_upper,IND__boll5m_middle,IND__boll5m_lower,IND__boll5m_percent_b,IND__cci5m,IND__marketTrend,IND__volProfile_bullish_score,IND__volProfile_bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m_trend,IND__cvd5m_value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__estimated_profit_margin_pct,CONFLUENCE_FLAGS,WBS_missing_points,WBS_top_missing_1,WBS_top_missing_2,WBS_top_missing_3
ETHUSDT,Buy,42,4300.58,4331.544176,4266.17536,Bullish,2025-09-07T04:52:42.827849+00:00,2025-09-07T10:22:42.827849+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.67}]}",Inconclusive,300,,,5.04%,,60.53710145057922,0.05254164453968402,4301.633249460695,4295.598499999999,4289.563750539303,0.9127346157819118,100.3360537686147,5.0,3.0,0.0,4291.737013243886,3.8372451323830763,4293.09875,,4.069729322437761,,rising,6.869999999999891,8.0,9.328621035521202,15.0,5.0,0.0,5.0,0.9127346157819118,60.53710145057922,100.3360537686147,0.05254164453968402,3.8372451323830763,4293.09875,,4.069729322437761,,3.0,0.0,,5.040000000000066,,23,base_score,confluence_bonus,momentum_score
BTCUSDT,Buy,41,110508.4,111304.06048,109624.3328,Bullish,2025-09-07T04:52:44.001107+00:00,2025-09-07T10:22:44.001107+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",Success,218,218.0,,5.04%,,49.61770877178265,-15.322960267433022,110684.67769021851,110551.225,110417.7723097815,0.3395498811979956,-66.14511794568037,5.0,3.0,0.0,110465.51716577604,40.76228056488646,110453.33125,,-2.86050899389938,,falling,-33.30000000000291,6.0,5.0,15.0,10.0,0.0,5.0,0.3395498811979956,49.61770877178265,-66.14511794568037,-15.322960267433022,40.76228056488646,110453.33125,,-2.86050899389938,,3.0,0.0,,5.040000000000037,,24,base_score,confluence_bonus,momentum_score
SOMIUSDT,Buy,41,1.0014,1.0174224,0.981372,Bullish,2025-09-07T04:52:48.585127+00:00,2025-09-07T10:22:48.585127+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",Success,8,8.0,,11.20%,,33.671744105264565,-0.006121050002794266,1.1079630645861152,1.05376,0.999556935413885,0.01700147953061661,-129.58120004420027,5.0,3.0,0.0,1.0419519419394245,0.019546714207651972,1.0135140625,,-15.913793362596135,,falling,-0.06959999999999988,18.0,0.0,8.0,10.0,0.0,5.0,0.01700147953061661,33.671744105264565,-129.58120004420027,-0.006121050002794266,0.019546714207651972,1.0135140625,,-15.913793362596135,,3.0,0.0,,11.199999999999994,,24,confluence_bonus,base_score,momentum_score
ENAUSDT,Buy,41,0.7404,0.74573088,0.7344768,Bullish,2025-09-07T04:52:52.040494+00:00,2025-09-07T10:22:52.040494+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",Success,27,27.0,,5.04%,,46.63715792869888,-0.0005807629361632804,0.7495603709815363,0.742855,0.7361496290184638,0.31693779458585264,-69.75916975289537,5.0,3.0,0.0,0.740080108366107,0.0020097769956698257,0.7381906249999999,,-4.671331899878798,,falling,-0.0040000000000000036,6.0,5.0,15.0,10.0,0.0,5.0,0.31693779458585264,46.63715792869888,-69.75916975289537,-0.0005807629361632804,0.0020097769956698257,0.7381906249999999,,-4.671331899878798,,3.0,0.0,,5.0400000000000365,,24,base_score,confluence_bonus,momentum_score
DOGEUSDT,Buy,49,0.21727,0.21883434,0.21553184,Bullish,2025-09-07T04:52:53.175280+00:00,2025-09-07T10:22:53.175280+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",Inconclusive,300,,,5.04%,,63.86989382607639,7.935325687438318e-05,0.2173833877281831,0.21671050000000003,0.21603761227181695,0.9157454331279863,129.3920335429707,5.0,3.0,0.0,0.21659194139400886,0.00026930631503459295,0.21671765625000003,,6.716985924827245,,rising,0.0005199999999999927,8.0,16.071791705814853,15.0,5.0,0.0,5.0,0.9157454331279863,63.86989382607639,129.3920335429707,7.935325687438318e-05,0.00026930631503459295,0.21671765625000003,,6.716985924827245,,3.0,0.0,,5.039999999999986,,16,base_score,confluence_bonus,volume_score
PUMPUSDT,Buy,40,0.004723,0.00477409,0.00467191,Bullish,2025-09-07T04:52:58.933124+00:00,2025-09-07T10:22:58.933124+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",Fail,48,,48.0,7.57%,,51.825234393567655,-6.22599517534956e-06,0.004782999756229071,0.00473685,0.004690700243770929,0.3499450362071947,-41.847611527833564,5.0,3.0,0.0,0.004682298273848269,2.838549051667768e-05,0.0047349687500000005,,10.967955995507042,,falling,-1.5000000000000256e-05,6.0,4.0,15.0,10.0,0.0,5.0,0.3499450362071947,51.825234393567655,-41.847611527833564,-6.22599517534956e-06,2.838549051667768e-05,0.0047349687500000005,,10.967955995507042,,3.0,0.0,,7.572669500532321,,25,base_score,confluence_bonus,momentum_score
LINKUSDT,Buy,42,22.448,22.6096256,22.268416,Bullish,2025-09-07T04:53:05.841682+00:00,2025-09-07T10:23:05.841682+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.8}]}",Fail,130,,130.0,5.04%,,65.49455238415364,0.0002446316180370958,22.45075565103265,22.4072,22.363644348967348,0.9683663202441314,176.37012886194032,5.0,3.0,0.0,22.35001625580509,0.029312493334481046,22.421359375,,20.011717619011204,,rising,0.12199999999999989,8.0,9.200295442830306,15.0,5.0,0.0,5.0,0.9683663202441314,65.49455238415364,176.37012886194032,0.0002446316180370958,0.029312493334481046,22.421359375,,20.011717619011204,,3.0,0.0,,5.040000000000021,,23,base_score,confluence_bonus,momentum_score
SUIUSDT,Buy,41,3.3672,3.39144384,3.3402624,Bullish,2025-09-07T04:53:06.976758+00:00,2025-09-07T10:23:06.976758+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",Success,206,206.0,,5.04%,,49.31974557664739,-0.0008342739109199844,3.3800819972956218,3.3698550000000003,3.359628002704379,0.37019650424973766,-61.17051856961917,5.0,3.0,0.0,3.3634928475535,0.004166240802911857,3.3646578125,,-2.158876423673051,,falling,-0.00550000000000006,6.0,5.0,15.0,10.0,0.0,5.0,0.37019650424973766,49.31974557664739,-61.17051856961917,-0.0008342739109199844,0.004166240802911857,3.3646578125,,-2.158876423673051,,3.0,0.0,,5.040000000000004,,24,base_score,confluence_bonus,momentum_score
1000PEPEUSDT,Buy,47,0.009748,0.00981819,0.00967002,Bullish,2025-09-07T04:53:08.137227+00:00,2025-09-07T10:23:08.137227+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.85}]}",Success,65,65.0,,5.04%,,61.318142041332045,2.7238624965511836e-06,0.00975526018477345,0.009724439999999999,0.009693619815226548,0.8822170466073205,120.003702675183,5.0,3.0,0.0,0.009714635268854584,1.2693508992603165e-05,0.009742970312499998,,12.104880116600219,,rising,3.129999999999973e-05,8.0,14.150088912003982,15.0,5.0,0.0,5.0,0.8822170466073205,61.318142041332045,120.003702675183,2.7238624965511836e-06,1.2693508992603165e-05,0.009742970312499998,,12.104880116600219,,3.0,0.0,,5.0399999999999805,,18,base_score,confluence_bonus,momentum_score
ADAUSDT,Buy,40,0.8267,0.83265224,0.8200864,Bullish,2025-09-07T04:53:09.294650+00:00,2025-09-07T10:23:09.294650+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",Inconclusive,300,,,5.04%,,54.17490588133903,-0.0003123108096415607,0.8289681125415891,0.8271900000000001,0.8254118874584111,0.36221344584797277,-66.06741573033817,5.0,3.0,0.0,0.824855842398499,0.0010524175512731456,0.8258359375,,9.68448266905794,,rising,0.0022999999999999687,6.0,9.0,15.0,5.0,0.0,5.0,0.36221344584797277,54.17490588133903,-66.06741573033817,-0.0003123108096415607,0.0010524175512731456,0.8258359375,,9.68448266905794,,3.0,0.0,,5.0400000000000444,,25,base_score,confluence_bonus,momentum_score
