Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct
1000PEPEUSDT,Sell,43,0.0106471,0.01057044,0.01096651,Bearish,2025-09-12T07:47:06.314407+00:00,2025-09-12T13:17:06.314407+05:30,Success,30,30.0,,5.04%,43.35331615435287,-6.335506796245269e-06,-1.701041963263358e-07,-6.165402599918933e-06,0.010723199638783947,0.01067602,0.010628840361216052,0.19351185442055618,-114.0132149370624,-10.0,0.0,3.0,0.010667431717825403,2.3499240770364573e-05,0.010667153125000002,-6.051562499999677e-06,-0.05673081120225952,,-6.237839276355597,,falling,-547346409.0,8.0,10.296784812923075,15.0,5.0,0.0,5.0,0.19351185442055618,43.35331615435287,-114.0132149370624,-6.165402599918933e-06,2.3499240770364573e-05,0.010667153125000002,,-6.237839276355597,,0.0,3.0,falling,-547346409.0,-6.051562499999677e-06,-0.05673081120225952,5.039999999999953,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.7}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,
PTBUSDT,Sell,40,0.05753,0.05711578,0.0592559,Bearish,2025-09-12T07:47:08.975920+00:00,2025-09-12T13:17:08.975920+05:30,Success,1,1.0,,5.04%,50.48108820892699,-0.0012387648104710339,-0.0022820981943572705,0.0010433333838862366,0.061516066736365865,0.054959499999999994,0.048402933263634124,0.6960248483205985,66.49400371600723,-10.0,0.0,3.0,0.059824428939375306,0.002145094720052305,0.05558875,0.0017464062499999988,3.141654111668276,,-16.32211935641065,,falling,-199057574.0,6.0,9.0,15.0,5.0,0.0,5.0,0.6960248483205985,50.48108820892699,66.49400371600723,0.0010433333838862366,0.002145094720052305,0.05558875,,-16.32211935641065,,0.0,3.0,falling,-199057574.0,0.0017464062499999988,3.141654111668276,5.040000000000024,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,
LTCUSDT,Sell,41,115.76,114.926528,119.2328,Bearish,2025-09-12T07:47:10.784864+00:00,2025-09-12T13:17:10.784864+05:30,Success,261,261.0,,5.04%,43.279202768986984,-0.022933478450923417,0.0383126740871314,-0.061246152538054814,116.43623381336769,116.04249999999999,115.64876618663229,0.1412550936587183,-134.529147982063,-10.0,3.0,0.0,115.86691153133306,0.16357203907307413,115.886875,-0.03953125000001023,-0.0341119302768413,,-2.9048962396162876,,falling,-11805.728000000003,8.0,12.986301505091891,15.0,0.0,0.0,5.0,0.1412550936587183,43.279202768986984,-134.529147982063,-0.061246152538054814,0.16357203907307413,115.886875,,-2.9048962396162876,,3.0,0.0,falling,-11805.728000000003,-0.03953125000001023,-0.0341119302768413,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,
ONDOUSDT,Sell,42,1.0956,1.08771168,1.128468,Bearish,2025-09-12T07:47:14.541117+00:00,2025-09-12T13:17:14.541117+05:30,Success,31,31.0,,5.04%,56.46986314953033,-0.001184612140804342,-0.002301277476469089,0.001116665335664747,1.095424210471811,1.089705,1.0839857895281888,1.0153683387816637,126.0853152132828,-10.0,0.0,3.0,1.0943360362688193,0.004076960690210055,1.0901484375,0.0007890624999999929,0.0723811980879891,,-8.181046865320214,,falling,-4487907.6,20.0,4.0,8.0,5.0,0.0,5.0,1.0153683387816637,56.46986314953033,126.0853152132828,0.001116665335664747,0.004076960690210055,1.0901484375,,-8.181046865320214,,0.0,3.0,falling,-4487907.6,0.0007890624999999929,0.0723811980879891,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,
ARIAUSDT,Sell,43,0.17162,0.17038434,0.1767686,Bearish,2025-09-12T07:47:16.305884+00:00,2025-09-12T13:17:16.305884+05:30,Success,1,1.0,,5.04%,62.363639487561905,6.683930749457057e-05,-0.0014281418719073076,0.0014949811794018782,0.1704781389613219,0.1621745,0.1538708610386781,1.0687566646380482,184.1561868423842,-10.0,3.0,0.0,0.16384543807009888,0.005066639161721708,0.16319078125,0.0017684374999999974,1.0836626226397195,,-0.2192047012925711,,rising,66046907.0,26.0,4.0,8.0,0.0,0.0,5.0,1.0687566646380482,62.363639487561905,184.1561868423842,0.0014949811794018782,0.005066639161721708,0.16319078125,,-0.2192047012925711,,3.0,0.0,rising,66046907.0,0.0017684374999999974,1.0836626226397195,5.039999999999989,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,
OPENUSDT,Sell,41,0.8966,0.89014448,0.923498,Bearish,2025-09-12T07:47:19.886993+00:00,2025-09-12T13:17:19.886993+05:30,Success,48,48.0,,5.04%,54.843193462212426,-0.0019351632071574754,-0.003582149057512768,0.0016469858503552928,0.8971985623964795,0.8897600000000001,0.8823214376035207,0.9597662582784218,127.05308486719,-10.0,0.0,3.0,0.8976501470422911,0.004752234796617091,0.89013125,0.0019156249999999764,0.21520702705359196,,-11.601849254622516,,rising,5129724.0,12.0,4.0,15.0,5.0,0.0,5.0,0.9597662582784218,54.843193462212426,127.05308486719,0.0016469858503552928,0.004752234796617091,0.89013125,,-11.601849254622516,,0.0,3.0,rising,5129724.0,0.0019156249999999764,0.21520702705359196,5.040000000000037,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,
AAVEUSDT,Sell,42,312.23,309.981944,321.5969,Bearish,2025-09-12T07:47:24.341652+00:00,2025-09-12T13:17:24.341652+05:30,Success,95,95.0,,5.04%,42.49324429614018,-0.019814994490843674,0.25920134394259514,-0.2790163384334388,314.7462528913006,313.3645,311.9827471086994,0.0894707341874537,-145.78129759365774,-10.0,3.0,0.0,312.3239859628825,0.655976414863082,312.92218750000006,-0.2467187499999568,-0.0788434824551892,,-0.2974258781640265,,falling,-11010.699999999999,8.0,14.20828183860883,15.0,0.0,0.0,5.0,0.0894707341874537,42.49324429614018,-145.78129759365774,-0.2790163384334388,0.655976414863082,312.92218750000006,,-0.2974258781640265,,3.0,0.0,falling,-11010.699999999999,-0.2467187499999568,-0.0788434824551892,5.040000000000044,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,
ARBUSDT,Sell,44,0.5305,0.5266804,0.546415,Bearish,2025-09-12T07:47:26.112726+00:00,2025-09-12T13:17:26.112726+05:30,Success,30,30.0,,5.04%,40.90958466615406,-0.0006848063547997274,-0.0002107133378827899,-0.0004740930169169375,0.5371118034053851,0.533175,0.5292381965946148,0.16025735545482828,-121.11292962356771,-10.0,5.0,5.0,0.5323017167450896,0.0015202239351551161,0.53119375,-0.0003187500000000343,-0.06000635361391851,,-10.847113690499105,,falling,-5206604.8999999985,8.0,11.484576543550817,15.0,5.0,0.0,5.0,0.16025735545482828,40.90958466615406,-121.11292962356771,-0.0004740930169169375,0.0015202239351551161,0.53119375,,-10.847113690499105,,5.0,5.0,falling,-5206604.8999999985,-0.0003187500000000343,-0.06000635361391851,5.040000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.52}]}",False,not_in_gap_or_already_strong,44.0,Sell,44,,,,,
BCHUSDT,Sell,46,594.55,590.26924,612.3865,Bearish,2025-09-12T07:47:27.008072+00:00,2025-09-12T13:17:27.008072+05:30,Success,76,76.0,,5.04%,37.48900042324425,-0.18178165065125995,0.0783596312195832,-0.2601412818708432,597.621953064919,596.167,594.712046935081,-0.05568802835922307,-201.95554382378546,-10.0,0.0,3.0,595.7057421123493,0.718395158961254,595.5723437500001,-0.2898437500000455,-0.04866642197907556,,-5.742080709841885,,falling,-1659.6249999999995,8.0,12.690747267740104,15.0,5.0,0.0,5.0,-0.05568802835922307,37.48900042324425,-201.95554382378546,-0.2601412818708432,0.718395158961254,595.5723437500001,,-5.742080709841885,,0.0,3.0,falling,-1659.6249999999995,-0.2898437500000455,-0.04866642197907556,5.039999999999985,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.31}]}",False,not_in_gap_or_already_strong,46.0,Sell,46,,,,,
WIFUSDT,Sell,46,0.9189,0.91228392,0.946467,Bearish,2025-09-12T07:47:30.539887+00:00,2025-09-12T13:17:30.539887+05:30,Success,28,28.0,,5.04%,38.138521282938626,-0.0016493674615277731,-0.0006069663349333018,-0.0010424011265944713,0.9323780843047849,0.9247650000000001,0.9171519156952153,0.11480789091525795,-132.58636788047855,-10.0,0.0,3.0,0.9230804942403674,0.0026591739503547232,0.9200109374999998,-0.0015375000000000805,-0.167117578425537,,-13.808413330271192,,falling,-3653937.0000000005,8.0,13.40804456772377,15.0,5.0,0.0,5.0,0.11480789091525795,38.138521282938626,-132.58636788047855,-0.0010424011265944713,0.0026591739503547232,0.9200109374999998,,-13.808413330271192,,0.0,3.0,falling,-3653937.0000000005,-0.0015375000000000805,-0.167117578425537,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.59}]}",False,not_in_gap_or_already_strong,46.0,Sell,46,,,,,
