Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__hma_slope,CONFL_FLAG__RSI<=30_and_CVD_falling
LTCUSDT,Buy,41,113.58,114.397776,110.1726,Bullish,2025-09-09T10:57:09.926812+00:00,2025-09-09T16:27:09.926812+05:30,Inconclusive,300,,,5.04%,37.32074913441009,-0.12428918596226879,-0.05948943474555854,-0.06479975121671025,114.5725553989692,114.00250000000001,113.43244460103082,0.12942198182491918,-123.75539695127439,5.0,3.0,0.0,113.8568005530911,0.24356993693384868,113.6303125,-0.08249999999999602,,-16.407896573890362,,falling,-71750.87700000001,18.0,0.0,8.0,10.0,0.0,5.0,0.12942198182491918,37.32074913441009,-123.75539695127439,-0.06479975121671025,0.24356993693384868,113.6303125,,-16.407896573890362,,3.0,0.0,falling,-71750.87700000001,5.039999999999969,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,
WIFUSDT,Buy,43,0.8934,0.89983248,0.866598,Bullish,2025-09-09T10:57:10.788422+00:00,2025-09-09T16:27:10.788422+05:30,Success,27,27.0,,5.04%,40.276172850163384,-9.730216795633684e-05,0.000514951527190898,-0.0006122536951472348,0.9012265564337253,0.89746,0.8936934435662748,-0.03895382578730983,-234.19540229885018,5.0,3.0,0.0,0.8948413685450445,0.003461645165234928,0.8986624999999999,-0.0005265625000000496,,-0.8843491455300692,,falling,-2296068.2,20.0,0.0,8.0,10.0,0.0,5.0,-0.03895382578730983,40.276172850163384,-234.19540229885018,-0.0006122536951472348,0.003461645165234928,0.8986624999999999,,-0.8843491455300692,,3.0,0.0,falling,-2296068.2,5.039999999999971,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,
ARBUSDT,Buy,46,0.5331,0.53693832,0.517107,Bullish,2025-09-09T10:57:12.524566+00:00,2025-09-09T16:27:12.524566+05:30,Success,84,84.0,,5.04%,45.47322789700913,0.00037554170025022593,0.0009855431506625345,-0.0006100014504123086,0.5386129182622835,0.5355749999999999,0.5325370817377163,0.09264868467207718,-157.91193911378912,5.0,3.0,0.0,0.5318465476202878,0.001981629285726317,0.534190625,-0.0007453124999998728,,5.681409581249652,,falling,-2102305.0,12.0,4.0,15.0,10.0,0.0,5.0,0.09264868467207718,45.47322789700913,-157.91193911378912,-0.0006100014504123086,0.001981629285726317,0.534190625,,5.681409581249652,,3.0,0.0,falling,-2102305.0,5.039999999999935,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,
OPUSDT,Buy,46,0.7815,0.7871268,0.758055,Bullish,2025-09-09T10:57:16.877137+00:00,2025-09-09T16:27:16.877137+05:30,Success,27,27.0,,5.04%,45.0192775062928,0.00040700746797550647,0.0012682212636820971,-0.0008612137957065907,0.7894569693811062,0.785335,0.7812130306188938,0.03480974196721944,-221.23756218904657,5.0,3.0,0.0,0.7801534786303985,0.003074721440633977,0.7834843750000001,-0.0007249999999999757,,4.517240074072467,,falling,-1275693.0,12.0,4.0,15.0,10.0,0.0,5.0,0.03480974196721944,45.0192775062928,-221.23756218904657,-0.0008612137957065907,0.003074721440633977,0.7834843750000001,,4.517240074072467,,3.0,0.0,falling,-1275693.0,5.040000000000039,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,
PTBUSDT,Buy,45,0.06277,0.06322194,0.0608869,Bullish,2025-09-09T10:57:20.365308+00:00,2025-09-09T16:27:20.365308+05:30,Fail,30,,30.0,5.04%,48.573908507542406,6.507490494869761e-06,0.00014676288926293186,-0.0001402553987680621,0.06395997343785659,0.06310400000000001,0.06224802656214342,0.30490048801259745,-130.7670534956114,5.0,3.0,0.0,0.06265586020536489,0.0008781493020065057,0.0631759375,-0.000100468749999999,,0.4983270682920318,,falling,-10884639.0,6.0,9.0,15.0,10.0,0.0,5.0,0.30490048801259745,48.573908507542406,-130.7670534956114,-0.0001402553987680621,0.0008781493020065057,0.0631759375,,0.4983270682920318,,3.0,0.0,falling,-10884639.0,5.039999999999953,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,
OGUSDT,Buy,41,22.341,22.5018552,21.67077,Bullish,2025-09-09T10:57:21.239980+00:00,2025-09-09T16:27:21.239980+05:30,Success,1,1.0,,5.04%,57.765335017464885,-0.06615532279802494,-0.26112632736322217,0.19497100456519723,22.73036158805356,21.33325,19.936138411946438,0.8606547997372156,137.904026179556,5.0,3.0,0.0,21.681429228702658,0.5864704528325119,21.101578125,0.3524687499999999,,-3.45100933124406,,rising,4088.1000000000167,8.0,7.978755088111967,15.0,5.0,0.0,5.0,0.8606547997372156,57.765335017464885,137.904026179556,0.19497100456519723,0.5864704528325119,21.101578125,,-3.45100933124406,,3.0,0.0,rising,4088.1000000000167,5.04000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.02}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,
TRUMPUSDT,Buy,46,8.79,8.853288,8.5263,Bullish,2025-09-09T10:57:24.694592+00:00,2025-09-09T16:27:24.694592+05:30,Success,78,78.0,,5.04%,42.62824305857602,0.003193514819320953,0.00978359553334721,-0.006590080714026256,8.852576082053305,8.8176,8.782623917946696,0.1054446584677794,-148.0984340044788,5.0,3.0,0.0,8.788144830449937,0.019733574490331127,8.83146875,-0.005359374999999389,,5.53236715407705,,falling,-227834.46999999997,12.0,4.0,15.0,10.0,0.0,5.0,0.1054446584677794,42.62824305857602,-148.0984340044788,-0.006590080714026256,0.019733574490331127,8.83146875,,5.53236715407705,,3.0,0.0,falling,-227834.46999999997,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,
NEARUSDT,Buy,40,2.748,2.7677856,2.66556,Bullish,2025-09-09T10:57:25.565455+00:00,2025-09-09T16:27:25.565455+05:30,Success,13,13.0,,5.04%,50.17619555989461,0.013626957430057374,0.017082645992968555,-0.0034556885629111814,2.793347368324572,2.75745,2.721552631675428,0.36837475223035865,-46.88172043010522,5.0,3.0,0.0,2.7262584591587418,0.013733839856623678,2.78415625,-0.0021249999999999325,,29.67031843655345,,falling,-982073.0,6.0,4.0,15.0,10.0,0.0,5.0,0.36837475223035865,50.17619555989461,-46.88172043010522,-0.0034556885629111814,0.013733839856623678,2.78415625,,29.67031843655345,,3.0,0.0,falling,-982073.0,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,
VIRTUALUSDT,Buy,44,1.3065,1.3159068,1.267305,Bullish,2025-09-09T10:57:27.343458+00:00,2025-09-09T16:27:27.343458+05:30,Fail,217,,217.0,5.04%,37.55153418348475,-0.0009024442836718105,0.00148804298862618,-0.0023904872722979907,1.3338129816157467,1.3201699999999998,1.306527018384253,-0.0009901935300500304,-176.84439871694164,5.0,0.0,3.0,1.315130666121963,0.008370381916461984,1.3217578125,-0.003968749999999854,,-3.3278269786018626,,falling,-2001172.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.0009901935300500304,37.55153418348475,-176.84439871694164,-0.0023904872722979907,0.008370381916461984,1.3217578125,,-3.3278269786018626,,0.0,3.0,falling,-2001172.0,5.040000000000026,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,
SEIUSDT,Buy,42,0.3164,0.31867808,0.306908,Bullish,2025-09-09T10:57:29.961439+00:00,2025-09-09T16:27:29.961439+05:30,Fail,218,,218.0,5.04%,40.68489200185104,9.309787122546709e-06,0.0003369084993239362,-0.0003275987122013895,0.32022293362229926,0.318385,0.3165470663777007,-0.040008620528062214,-204.3519394512834,5.0,0.0,3.0,0.3168955331031662,0.0011980579127086116,0.317696875,-0.00042343750000001235,,0.5713501827665266,,falling,-2935431.0,20.0,4.0,8.0,5.0,0.0,5.0,-0.040008620528062214,40.68489200185104,-204.3519394512834,-0.0003275987122013895,0.0011980579127086116,0.317696875,,0.5713501827665266,,0.0,3.0,falling,-2935431.0,5.040000000000035,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,
