coin,signal,confidence,outcome,duration_min,did_tp_hit_later,estimated_profit,analysis_log
ETHUSDT,Neutral,16,Inconclusive,300,False,5.47%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
BTCUSDT,Neutral,22,Inconclusive,300,False,3.52%,"{'buy_score': 5, 'sell_score': 0, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
SOLUSDT,Neutral,22,Inconclusive,300,False,5.80%,"{'buy_score': 5, 'sell_score': 0, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
WLFIUSDT,Buy,55,Success,31,True,20.59%,"{'buy_score': 45, 'sell_score': 10, 'initial_signal': 'Buy', 'num_confluence_met': 2, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 55, 'bb_touch': False, 'rsi_extreme': True, 'cci_extreme': True}"
XRPUSDT,Neutral,22,Inconclusive,300,False,4.67%,"{'buy_score': 5, 'sell_score': 0, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
DOGEUSDT,Neutral,12,Inconclusive,300,False,5.73%,"{'buy_score': 5, 'sell_score': -15, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 12, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
ENAUSDT,Neutral,22,Inconclusive,300,False,11.32%,"{'buy_score': 5, 'sell_score': -15, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
1000PEPEUSDT,Neutral,26,Inconclusive,300,False,6.36%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 26, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
TAUSDT,Strong Sell,70,Fail,1,False,64.74%,"{'buy_score': 20, 'sell_score': 50, 'initial_signal': 'Sell', 'num_confluence_met': 3, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 70, 'bb_touch': True, 'rsi_extreme': True, 'cci_extreme': True}"
LINKUSDT,Neutral,16,Inconclusive,300,False,6.46%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
MUSDT,Neutral,26,Inconclusive,300,False,18.31%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 26, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
ADAUSDT,Neutral,16,Inconclusive,300,False,6.00%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
SUIUSDT,Neutral,16,Inconclusive,300,False,5.93%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
AVAXUSDT,Neutral,16,Inconclusive,300,False,5.32%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
BNBUSDT,Neutral,12,Inconclusive,300,False,2.43%,"{'buy_score': 5, 'sell_score': -15, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 12, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
FARTCOINUSDT,Neutral,16,Inconclusive,300,False,10.16%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
PUMPUSDT,Neutral,16,Inconclusive,300,False,14.80%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
TRUMPUSDT,Neutral,16,Inconclusive,300,False,4.71%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
XPLUSDT,Neutral,29,Inconclusive,300,False,22.71%,"{'buy_score': 15, 'sell_score': 10, 'initial_signal': 'Buy', 'num_confluence_met': 1, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 29, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': True}"
HEMIUSDT,Neutral,22,Inconclusive,300,False,20.82%,"{'buy_score': 5, 'sell_score': 0, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
WIFUSDT,Neutral,22,Inconclusive,300,False,8.49%,"{'buy_score': 5, 'sell_score': 0, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
LTCUSDT,Neutral,26,Inconclusive,300,False,4.63%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 26, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
HYPEUSDT,Neutral,26,Inconclusive,300,False,5.88%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 26, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
BCHUSDT,Neutral,22,Inconclusive,300,False,6.00%,"{'buy_score': 5, 'sell_score': 0, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
DOLOUSDT,Neutral,35,Inconclusive,300,False,15.20%,"{'buy_score': 30, 'sell_score': 10, 'initial_signal': 'Buy', 'num_confluence_met': 1, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 35, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': True}"
ARBUSDT,Neutral,26,Inconclusive,300,False,7.68%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 26, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
AAVEUSDT,Neutral,12,Inconclusive,300,False,6.39%,"{'buy_score': 5, 'sell_score': -15, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 12, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
1000BONKUSDT,Neutral,16,Inconclusive,300,False,8.36%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
PYTHUSDT,Neutral,16,Inconclusive,300,False,8.36%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
LINEAUSDT,Neutral,35,Inconclusive,300,False,27.32%,"{'buy_score': 30, 'sell_score': 10, 'initial_signal': 'Buy', 'num_confluence_met': 1, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 35, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': True}"
JELLYJELLYUSDT,Buy,55,Success,2,True,23.81%,"{'buy_score': 20, 'sell_score': 15, 'initial_signal': 'Buy', 'num_confluence_met': 2, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 55, 'bb_touch': False, 'rsi_extreme': True, 'cci_extreme': True}"
PENGUUSDT,Neutral,22,Inconclusive,300,False,8.98%,"{'buy_score': 5, 'sell_score': 0, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
UNIUSDT,Neutral,26,Inconclusive,300,False,6.45%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 26, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
FILUSDT,Neutral,16,Inconclusive,300,False,5.87%,"{'buy_score': 15, 'sell_score': -5, 'initial_signal': 'Buy', 'num_confluence_met': 0, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 16, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
