Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
ADAUSDT,Strong Sell,72,0.9138,0.90722064,0.941214,Bearish,2025-09-14T04:12:11.890727+00:00,2025-09-14T09:42:11.890727+05:30,Success,434,434.0,,5.04%,28.096241892915486,-0.0021985293617906576,-0.001133638174015602,-0.0010648911877750556,0.92971177198312,0.9221350000000001,0.9145582280168802,-0.050036349158291915,-200.9007892235808,-10.0,0.0,3.0,0.9230473149882251,0.002498167164010872,0.9180484375,-0.0012562499999999588,-0.13683918502393386,,-24.696763101837696,,falling,-10307765.0,8.0,19.23045570159856,15.0,5.0,12.0,5.0,-0.050036349158291915,28.096241892915486,-200.9007892235808,-0.0010648911877750556,0.002498167164010872,0.9180484375,,-24.696763101837696,,0.0,3.0,falling,-10307765.0,-0.0012562499999999588,-0.13683918502393386,5.040000000000027,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,64.0,72.0,-0.0012562499999999588,-0.13683918502393386,Sell,72,,,,,,,
ENAUSDT,Strong Sell,69,0.7405,0.7351684,0.762715,Bearish,2025-09-14T04:12:15.446978+00:00,2025-09-14T09:42:15.446978+05:30,Success,9,9.0,,5.04%,23.825209889633427,-0.00306178182104766,-0.002317133554316876,-0.0007446482667307838,0.7560834862129914,0.7490349999999999,0.7419865137870084,-0.10544915192346474,-192.39146524562108,-10.0,0.0,3.0,0.752645084498685,0.002587282880133932,0.7448984375000001,-0.0012046875000000234,-0.16172506738544787,,-38.080884735082996,,falling,-38987935.0,8.0,15.907462086485758,15.0,5.0,12.0,5.0,-0.10544915192346474,23.825209889633427,-192.39146524562108,-0.0007446482667307838,0.002587282880133932,0.7448984375000001,,-38.080884735082996,,0.0,3.0,falling,-38987935.0,-0.0012046875000000234,-0.16172506738544787,5.039999999999992,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,61.0,69.0,-0.0012046875000000234,-0.16172506738544787,Sell,69,,,,,,,
LINKUSDT,Strong Sell,69,24.583,24.4060024,25.32049,Bearish,2025-09-14T04:12:16.637499+00:00,2025-09-14T09:42:16.637499+05:30,Success,440,440.0,,5.04%,22.897398173656242,-0.058226826379407015,-0.026700776942244195,-0.03152604943716282,25.008289556818003,24.8032,24.598110443181998,-0.03683864604429515,-192.8585442417132,-10.0,0.0,3.0,24.806844581251987,0.05703330584519221,24.688203125,-0.03831249999999997,-0.15518545357885363,,-30.174885031144992,,falling,-524706.3,8.0,16.0,15.0,5.0,12.0,5.0,-0.03683864604429515,22.897398173656242,-192.8585442417132,-0.03152604943716282,0.05703330584519221,24.688203125,,-30.174885031144992,,0.0,3.0,falling,-524706.3,-0.03831249999999997,-0.15518545357885363,5.04,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,61.0,69.0,-0.03831249999999997,-0.15518545357885363,Sell,69,,,,,,,
MOODENGUSDT,Sell,45,0.20838,0.20687966,0.2146314,Bearish,2025-09-14T04:12:17.806770+00:00,2025-09-14T09:42:17.806770+05:30,Success,30,30.0,,5.04%,31.489791936020865,-0.0021052306004196997,-0.0013888646813978065,-0.0007163659190218931,0.22168767888178204,0.21462250000000002,0.207557321118218,0.058220668970132415,-150.76923076923043,-10.0,0.0,3.0,0.21571708794609074,0.002261801650484236,0.20952859375,-0.0005667187500000004,-0.27047322747566543,,-25.4187738634432,,falling,-72118055.0,8.0,11.60136595215791,15.0,5.0,0.0,5.0,0.058220668970132415,31.489791936020865,-150.76923076923043,-0.0007163659190218931,0.002261801650484236,0.20952859375,,-25.4187738634432,,0.0,3.0,falling,-72118055.0,-0.0005667187500000004,-0.27047322747566543,5.03999999999997,,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.4}]}",False,,,,,Sell,45,not_in_gap_or_already_strong,45.0,,,,,
LTCUSDT,Sell,62,116.24,115.403072,119.7272,Bearish,2025-09-14T04:12:21.332287+00:00,2025-09-14T09:42:21.332287+05:30,Success,466,466.0,,5.04%,27.27262386228928,-0.4873208305179446,-0.4142902310812758,-0.07303059943666884,118.28266848345615,117.1605,116.03833151654385,0.08985659748482251,-117.93579198726275,-10.0,0.0,3.0,117.79052873238803,0.34800467510051464,116.31625,-0.16640624999999432,-0.1430636304041734,,-41.27308563128297,,falling,-160815.932,8.0,9.036525402923992,15.0,5.0,12.0,5.0,0.08985659748482251,27.27262386228928,-117.93579198726275,-0.07303059943666884,0.34800467510051464,116.31625,,-41.27308563128297,,0.0,3.0,falling,-160815.932,-0.16640624999999432,-0.1430636304041734,5.040000000000002,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 10.96}]}",True,54.0,62.0,-0.16640624999999432,-0.1430636304041734,Sell,62,,,False,0.41971045024366593,-0.1430636304041734,False,conditions_not_met
HYPEUSDT,Sell,40,53.817,53.4295176,55.43151,Bearish,2025-09-14T04:12:22.524532+00:00,2025-09-14T09:42:22.524532+05:30,Inconclusive,600,,,5.04%,30.337511025985904,-0.23311830405642553,-0.20503794596472455,-0.02808035809170098,54.91878678027058,54.27795,53.637113219729414,0.14035303981353217,-127.01751177357754,-10.0,0.0,3.0,54.53470208310925,0.2063255075692287,54.05943750000001,0.003359375000009379,0.006214224852060991,,-30.364537780843083,,falling,-325384.35000000003,8.0,7.266336780849548,15.0,5.0,0.0,5.0,0.14035303981353217,30.337511025985904,-127.01751177357754,-0.02808035809170098,0.2063255075692287,54.05943750000001,,-30.364537780843083,,0.0,3.0,falling,-325384.35000000003,0.003359375000009379,0.006214224852060991,5.040000000000042,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.73}]}",False,,,,,Sell,40,not_in_gap_or_already_strong,40.0,,,,,
FARTCOINUSDT,Strong Sell,65,0.9128,0.90622784,0.940184,Bearish,2025-09-14T04:12:23.714403+00:00,2025-09-14T09:42:23.714403+05:30,Success,4,4.0,,5.04%,22.363144233512003,-0.005653319317423411,-0.0029238588794933368,-0.002729460437930074,0.9523317595728662,0.9331799999999999,0.9140282404271336,-0.032065994314010485,-187.9833526084311,-10.0,0.0,3.0,0.9347464306858957,0.004785547997526059,0.9224578125,-0.0035343749999999785,-0.38314760329486375,,-31.81317917886336,,falling,-13906070.4,8.0,20.0,15.0,5.0,12.0,5.0,-0.032065994314010485,22.363144233512003,-187.9833526084311,-0.002729460437930074,0.004785547997526059,0.9224578125,,-31.81317917886336,,0.0,3.0,falling,-13906070.4,-0.0035343749999999785,-0.38314760329486375,5.040000000000038,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",False,,,,,Sell,65,not_in_gap_or_already_strong,65.0,,,,,
HUSDT,Sell,45,0.05889,0.05846599,0.0606567,Bearish,2025-09-14T04:12:24.878442+00:00,2025-09-14T09:42:24.878442+05:30,Fail,14,,14.0,5.04%,10.266890172615675,-0.005654328824910286,-0.0057948916356332075,0.0001405628107229214,0.07709203180407888,0.064961,0.05282996819592113,0.24977396407621624,-83.38105986591664,-10.0,0.0,3.0,0.07363510844143364,0.002040644622890802,0.05836875,9.203124999999923e-05,0.15767212763679064,,-75.71017412548517,,falling,-471573925.0,4.0,4.0,15.0,5.0,12.0,5.0,0.24977396407621624,10.266890172615675,-83.38105986591664,0.0001405628107229214,0.002040644622890802,0.05836875,,-75.71017412548517,,0.0,3.0,falling,-471573925.0,9.203124999999923e-05,0.15767212763679064,5.039999999999959,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,,,,,Sell,45,not_in_gap_or_already_strong,45.0,,,,,
TRUMPUSDT,Strong Sell,69,8.965,8.900452,9.23395,Bearish,2025-09-14T04:12:27.231554+00:00,2025-09-14T09:42:27.231554+05:30,Success,148,148.0,,5.04%,13.8416467951252,-0.04228241974216118,-0.02850107639023154,-0.01378134335192964,9.20534693311187,9.0867,8.968053066888132,-0.012866185446417093,-176.366080860467,-10.0,0.0,3.0,9.118923489260414,0.023118202828385552,9.0129375,-0.018578125000001222,-0.2061273031128999,,-52.68557400746579,,falling,-1245892.8900000001,8.0,16.0,15.0,5.0,12.0,5.0,-0.012866185446417093,13.8416467951252,-176.366080860467,-0.01378134335192964,0.023118202828385552,9.0129375,,-52.68557400746579,,0.0,3.0,falling,-1245892.8900000001,-0.018578125000001222,-0.2061273031128999,5.0400000000000205,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,61.0,69.0,-0.018578125000001222,-0.2061273031128999,Sell,69,,,,,,,
PENGUUSDT,Sell,64,0.035304,0.03504981,0.03636312,Bearish,2025-09-14T04:12:28.427419+00:00,2025-09-14T09:42:28.427419+05:30,Success,440,440.0,,5.04%,24.8163401769215,-0.0001548587558870551,-0.00011208718493821389,-4.2771570948841226e-05,0.03615779137293626,0.03574585,0.035333908627063745,-0.036302043238045055,-180.69933042831522,-10.0,0.0,3.0,0.03591419888799175,0.00014796960984619708,0.03549428125,-4.86718749999962e-05,-0.13712596307326608,,-32.66599727732879,,falling,-272801023.0,8.0,10.937354932807994,15.0,5.0,12.0,5.0,-0.036302043238045055,24.8163401769215,-180.69933042831522,-4.2771570948841226e-05,0.00014796960984619708,0.03549428125,,-32.66599727732879,,0.0,3.0,falling,-272801023.0,-4.86718749999962e-05,-0.13712596307326608,5.039999999999984,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 1, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 9.06}]}",True,56.0,64.0,-4.86718749999962e-05,-0.13712596307326608,Sell,64,,,False,0.5781129110673328,-0.13712596307326608,False,conditions_not_met
