Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,would_be_strong_if,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,note,IND__rsi5m,IND__macd5m_histogram,IND__boll5m_upper,IND__boll5m_middle,IND__boll5m_lower,IND__boll5m_percent_b,IND__cci5m,IND__marketTrend,IND__volProfile_bullish_score,IND__volProfile_bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m_trend,IND__cvd5m_value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__estimated_profit_margin_pct,CONFLUENCE_FLAGS,WBS_missing_points,WBS_top_missing_1,WBS_top_missing_2,WBS_top_missing_3
WLFIUSDT,Buy,43,0.2177,0.22094374,0.21445626,Bullish,2025-09-06T23:52:16.399615+00:00,2025-09-07T05:22:16.399615+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.15}]}",Fail,47,,47.0,10.43%,,67.48957347726659,0.0004391186006210794,0.21875997588418147,0.214095,0.20943002411581854,0.8863899931641923,116.88929961634283,5.0,3.0,0.0,0.21236809103485765,0.001802076209048342,0.21749375,,25.652218716105203,,rising,0.006400000000000017,8.0,9.848169107382736,15.0,5.0,0.0,5.0,0.8863899931641923,67.48957347726659,116.88929961634283,0.0004391186006210794,0.001802076209048342,0.21749375,,25.652218716105203,,3.0,0.0,,10.430023074877843,,22,base_score,confluence_bonus,momentum_score
BNBUSDT,Buy,40,861.84,868.045248,854.94528,Bullish,2025-09-06T23:52:30.662806+00:00,2025-09-07T05:22:30.662806+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.57}]}",Success,188,188.0,,5.04%,,58.96478442030523,0.2329911574505883,863.6605268221565,860.608,857.5554731778434,0.7018000285956046,79.7022038998831,5.0,3.0,0.0,860.1967923910785,0.7527142046887583,862.843125,,32.267384783509776,,rising,2.9500000000000455,4.0,11.428832542261217,15.0,5.0,0.0,5.0,0.7018000285956046,58.96478442030523,79.7022038998831,0.2329911574505883,0.7527142046887583,862.843125,,32.267384783509776,,3.0,0.0,,5.039999999999986,,25,base_score,confluence_bonus,momentum_score
BCHUSDT,Buy,42,594.9,599.18328,590.1408,Bullish,2025-09-06T23:52:31.824559+00:00,2025-09-07T05:22:31.824559+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.29}]}",Success,185,185.0,,5.04%,,60.382526018258865,0.15742107472434952,595.1383224855364,593.8125,592.4866775144636,0.9101227773188715,100.22801144910123,5.0,3.0,0.0,593.9653496183896,0.8021237096681146,594.615,,13.464686085829868,,rising,1.9499999999999318,8.0,8.710128559779902,15.0,5.0,0.0,5.0,0.9101227773188715,60.382526018258865,100.22801144910123,0.15742107472434952,0.8021237096681146,594.615,,13.464686085829868,,3.0,0.0,,5.0399999999999885,,23,base_score,confluence_bonus,momentum_score
1000PEPEUSDT,Buy,40,0.0096358,0.00970518,0.00955871,Bullish,2025-09-06T23:52:37.798495+00:00,2025-09-07T05:22:37.798495+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",Success,90,90.0,,5.04%,,47.34597054687856,-1.4230504931400635e-06,0.009668918199005628,0.009644715,0.009620511800994372,0.3158301305970584,-47.25557931677411,5.0,3.0,0.0,0.009633660359251466,1.4441810001503546e-05,0.009654562500000002,,7.770115004816412,,falling,-2.0799999999999638e-05,6.0,4.0,15.0,10.0,0.0,5.0,0.3158301305970584,47.34597054687856,-47.25557931677411,-1.4230504931400635e-06,1.4441810001503546e-05,0.009654562500000002,,7.770115004816412,,3.0,0.0,,5.039999999999954,,25,base_score,confluence_bonus,momentum_score
REDUSDT,Buy,46,0.6524,0.65832411,0.64647589,Bullish,2025-09-06T23:52:40.152296+00:00,2025-09-07T05:22:40.152296+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.29}]}",Success,8,8.0,,6.36%,,64.8452836829228,0.0005091170278794402,0.6533522781893192,0.64708,0.6408077218106808,0.9240883327735052,129.99601646527768,5.0,3.0,0.0,0.6445364974044742,0.0032911719628588086,0.6502187499999998,,24.57999941782287,,rising,0.010000000000000009,8.0,12.712601105927309,15.0,5.0,0.0,5.0,0.9240883327735052,64.8452836829228,129.99601646527768,0.0005091170278794402,0.0032911719628588086,0.6502187499999998,,24.57999941782287,,3.0,0.0,,6.356340700800231,,19,base_score,confluence_bonus,momentum_score
LTCUSDT,Buy,42,111.99,112.796328,111.09408,Bullish,2025-09-06T23:52:49.656107+00:00,2025-09-07T05:22:49.656107+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.1}]}",Success,119,119.0,,5.04%,,54.36169308572713,0.052594383739805364,112.21054125678793,111.8125,111.41445874321207,0.7229668369459529,91.73704255671548,5.0,3.0,0.0,111.91072847096241,0.1417626262795407,112.0509375,,8.854579455394006,,rising,0.12999999999999545,4.0,12.904076080435171,15.0,5.0,0.0,5.0,0.7229668369459529,54.36169308572713,91.73704255671548,0.052594383739805364,0.1417626262795407,112.0509375,,8.854579455394006,,3.0,0.0,,5.03999999999996,,23,base_score,confluence_bonus,momentum_score
UNIUSDT,Buy,41,9.326,9.3931472,9.251392,Bullish,2025-09-06T23:53:25.034729+00:00,2025-09-07T05:23:25.034729+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.14}]}",Success,88,88.0,,5.04%,,58.716176287648345,0.0020381275312888712,9.340592457614983,9.3123,9.284007542385018,0.7421139970665709,104.77035284841534,5.0,3.0,0.0,9.301053942538218,0.012659638855454092,9.326625,,22.650702786431232,,rising,0.012000000000000455,8.0,7.8638590965696515,15.0,5.0,0.0,5.0,0.7421139970665709,58.716176287648345,104.77035284841534,0.0020381275312888712,0.012659638855454092,9.326625,,22.650702786431232,,3.0,0.0,,5.040000000000064,,24,base_score,confluence_bonus,momentum_score
USELESSUSDT,Sell,43,0.207,0.20462458,0.20937542,Bullish,2025-09-06T23:53:26.223109+00:00,2025-09-07T05:23:26.223109+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",Fail,81,,81.0,8.03%,,36.46954841614676,-0.00047734172873500067,0.21431650054518983,0.21010500000000004,0.20589349945481025,0.1313665442182524,-107.34812980811847,5.0,5.0,5.0,0.20926848497098569,0.0013196756174374093,0.2068671875,,-13.919699352536707,,falling,-0.006500000000000006,8.0,17.681073847439915,7.0,5.0,0.0,5.0,0.1313665442182524,36.46954841614676,-107.34812980811847,-0.00047734172873500067,0.0013196756174374093,0.2068671875,,-13.919699352536707,,5.0,5.0,,8.032808106140747,,22,base_score,confluence_bonus,trend_score
EIGENUSDT,Buy,40,1.3005,1.3098636,1.290096,Bullish,2025-09-06T23:53:28.576668+00:00,2025-09-07T05:23:28.576668+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",Success,28,28.0,,5.04%,,49.193989474455776,-0.00044429994257000685,1.3112596902757634,1.30233,1.2934003097242366,0.3975328402505231,-9.106774551801172,5.0,3.0,0.0,1.2973665729597985,0.003605736696226435,1.3099874999999996,,26.41269243254247,,falling,-0.0013000000000000789,6.0,4.0,15.0,10.0,0.0,5.0,0.3975328402505231,49.193989474455776,-9.106774551801172,-0.00044429994257000685,0.003605736696226435,1.3099874999999996,,26.41269243254247,,3.0,0.0,,5.039999999999955,,25,base_score,confluence_bonus,momentum_score
TRUMPUSDT,Buy,49,8.349,8.4091128,8.282208,Bullish,2025-09-06T23:53:30.960321+00:00,2025-09-07T05:23:30.960321+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",Success,53,53.0,,5.04%,,36.322624263185624,-0.002514560058942572,8.374648207578261,8.3625,8.35035179242174,-0.05563752566096363,-193.4512608204891,5.0,3.0,0.0,8.353857058311968,0.005863954698372131,8.356437500000002,,-6.217605594626408,,falling,-0.016000000000000014,26.0,0.0,8.0,10.0,0.0,5.0,-0.05563752566096363,36.322624263185624,-193.4512608204891,-0.002514560058942572,0.005863954698372131,8.356437500000002,,-6.217605594626408,,3.0,0.0,,5.040000000000052,,16,confluence_bonus,momentum_score,base_score
