Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct
BTCUSDT,Buy,42,115350.0,116180.52,111889.5,Bearish,2025-09-12T04:31:56.668007+00:00,2025-09-12T10:01:56.668007+05:30,Inconclusive,600,,,5.04%,54.62525294569064,-37.114593183476245,-69.08145362997054,31.966860446494294,115362.8393852886,115188.47,115014.10061471141,0.9631833728514242,128.93854581003143,-5.0,3.0,0.0,115280.60062216873,116.0060421440818,115193.9203125,29.0703125,0.025235978097748187,,-7.748347084132422,,falling,-902.5229999999999,8.0,11.613488716070322,7.0,10.0,0.0,5.0,0.9631833728514242,54.62525294569064,128.93854581003143,31.966860446494294,116.0060421440818,115193.9203125,,-7.748347084132422,,3.0,0.0,falling,-902.5229999999999,29.0703125,0.025235978097748187,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.39}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,
SOLUSDT,Sell,45,236.79,235.085112,243.8937,Bearish,2025-09-12T04:31:57.553415+00:00,2025-09-12T10:01:57.553415+05:30,Inconclusive,600,,,5.04%,78.61274364381832,0.9202070499207764,0.712385515748707,0.2078215341720694,236.5813162891178,234.15300000000002,231.72468371088223,1.0429688076090777,176.0260434833163,-5.0,3.0,0.0,232.92655704742532,0.7891745281975097,235.550625,0.2168749999999875,0.09207150267590565,,39.36696600929272,,rising,1609941.4000000004,32.0,0.0,8.0,0.0,0.0,5.0,1.0429688076090777,78.61274364381832,176.0260434833163,0.2078215341720694,0.7891745281975097,235.550625,,39.36696600929272,,3.0,0.0,rising,1609941.4000000004,0.2168749999999875,0.09207150267590565,5.040000000000033,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,
MYXUSDT,Sell,41,12.614,12.5231792,12.99242,Bearish,2025-09-12T04:32:00.185442+00:00,2025-09-12T10:02:00.185442+05:30,Success,1,1.0,,5.04%,64.24591274887814,0.22322694070667914,0.0537492258689794,0.16947771483769974,12.928966120156172,11.77145,10.613933879843827,0.8639474152145389,130.5348055876872,-5.0,0.0,3.0,12.075756016224357,0.3188716558693045,12.558421875,0.1746406250000021,1.3906255637713405,,19.21949793785307,,rising,3767531.0,18.0,5.0,8.0,5.0,0.0,5.0,0.8639474152145389,64.24591274887814,130.5348055876872,0.16947771483769974,0.3188716558693045,12.558421875,,19.21949793785307,,0.0,3.0,rising,3767531.0,0.1746406250000021,1.3906255637713405,5.039999999999971,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,
NMRUSDT,Sell,42,18.367,18.2347576,18.91801,Bearish,2025-09-12T04:32:09.043473+00:00,2025-09-12T10:02:09.043473+05:30,Success,88,88.0,,5.04%,34.73614804766417,-0.08001557305858853,-0.07743974609524726,-0.002575826963341271,18.84423216787886,18.5734,18.302567832121138,0.11895220642269173,-115.07520111927157,-5.0,0.0,3.0,18.665019149894906,0.1504380917470667,18.513031249999997,0.027249999999998664,0.1471936153081288,,-18.228436245088123,,falling,-175365.89999999997,8.0,9.410932140937609,15.0,5.0,0.0,5.0,0.11895220642269173,34.73614804766417,-115.07520111927157,-0.002575826963341271,0.1504380917470667,18.513031249999997,,-18.228436245088123,,0.0,3.0,falling,-175365.89999999997,0.027249999999998664,0.1471936153081288,5.039999999999965,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.59}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,
BNBUSDT,Sell,45,908.49,901.948872,935.7447,Bearish,2025-09-12T04:32:11.895777+00:00,2025-09-12T10:02:11.895777+05:30,Inconclusive,600,,,5.04%,70.32003504673614,0.5513265012663169,0.09153487704352051,0.4597916242227964,907.4521850298032,904.582,901.7118149701968,1.180792346036998,247.46248641650106,-5.0,3.0,0.0,904.4928846275817,1.1751051568783506,906.0192187499999,0.5304687499999545,0.05854939266429932,,13.078668067481408,,rising,4510.04,32.0,0.0,8.0,0.0,0.0,5.0,1.180792346036998,70.32003504673614,247.46248641650106,0.4597916242227964,1.1751051568783506,906.0192187499999,,13.078668067481408,,3.0,0.0,rising,4510.04,0.5304687499999545,0.05854939266429932,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,
SOMIUSDT,Buy,45,0.9937,1.00085464,0.963889,Bearish,2025-09-12T04:32:15.409091+00:00,2025-09-12T10:02:15.409091+05:30,Success,1,1.0,,5.04%,39.30811048588068,8.583979538889785e-05,0.004130284356640862,-0.0040444445612519645,1.07061324671502,1.03556,1.00050675328498,-0.09709162378478642,-181.05879800390684,-5.0,3.0,0.0,1.0184898902158557,0.02048976088834224,1.027709375,0.0034015624999998995,0.3309848662225057,,0.31936092955237394,,falling,-162206.0,26.0,4.0,0.0,10.0,0.0,5.0,-0.09709162378478642,39.30811048588068,-181.05879800390684,-0.0040444445612519645,0.02048976088834224,1.027709375,,0.31936092955237394,,3.0,0.0,falling,-162206.0,0.0034015624999998995,0.3309848662225057,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}, {""component"": ""trend_score"", ""gap"": 15.0}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,
ETHFIUSDT,Sell,41,1.459,1.4484952,1.50277,Bearish,2025-09-12T04:32:25.115813+00:00,2025-09-12T10:02:25.115813+05:30,Success,6,6.0,,5.04%,33.42658669930813,-0.006520878813365716,-0.005186481211142923,-0.0013343976022227927,1.4908447685364177,1.4726,1.4543552314635821,0.1272904210088132,-120.78877773944727,-5.0,0.0,3.0,1.4758002065881604,0.007212336545451988,1.4626046875,0.0001609375000000135,0.01100348586158989,,-22.67432780096527,,falling,-2302929.3,8.0,8.440383813417851,15.0,5.0,0.0,5.0,0.1272904210088132,33.42658669930813,-120.78877773944727,-0.0013343976022227927,0.007212336545451988,1.4626046875,,-22.67432780096527,,0.0,3.0,falling,-2302929.3,0.0001609375000000135,0.01100348586158989,5.040000000000044,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.56}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,
OPENUSDT,Sell,46,0.9046,0.89808688,0.931738,Bearish,2025-09-12T04:32:25.993616+00:00,2025-09-12T10:02:25.993616+05:30,Success,78,78.0,,5.04%,41.34745658170392,-0.000703137654728514,0.0005435652830314086,-0.0012467029377599226,0.9238016117553581,0.914515,0.9052283882446418,-0.03383302011518228,-184.69209144433356,-5.0,0.0,3.0,0.9114627461156944,0.006796227803378422,0.9105625000000002,-0.001620312499999943,-0.1779463243873916,,-2.4232145449409814,,falling,-1143394.0,8.0,13.402570274552069,15.0,5.0,0.0,5.0,-0.03383302011518228,41.34745658170392,-184.69209144433356,-0.0012467029377599226,0.006796227803378422,0.9105625000000002,,-2.4232145449409814,,0.0,3.0,falling,-1143394.0,-0.001620312499999943,-0.1779463243873916,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.6}]}",False,not_in_gap_or_already_strong,46.0,Sell,46,,,,,
AVNTUSDT,Buy,41,0.322,0.3243184,0.31234,Bearish,2025-09-12T04:32:26.878227+00:00,2025-09-12T10:02:26.878227+05:30,Success,1,1.0,,5.04%,78.93834983064217,0.007294549098249559,0.003971539013267211,0.003323010084982348,0.3258225256997007,0.30014,0.2744574743002993,0.9255811958606304,156.74864705567154,-5.0,3.0,0.0,0.29975073207822345,0.006005829229578643,0.318454375,0.004467031249999975,1.4027225250084805,,45.05674244979577,,rising,21394227.0,8.0,16.0,7.0,5.0,0.0,5.0,0.9255811958606304,78.93834983064217,156.74864705567154,0.003323010084982348,0.006005829229578643,0.318454375,,45.05674244979577,,3.0,0.0,rising,21394227.0,0.004467031249999975,1.4027225250084805,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,
BIOUSDT,Sell,42,0.15318,0.1520771,0.1577754,Bearish,2025-09-12T04:32:30.408068+00:00,2025-09-12T10:02:30.408068+05:30,Success,6,6.0,,5.04%,42.355309683992246,-8.673863387997915e-05,7.460465110448999e-05,-0.00016134328498446915,0.15507425346669657,0.15403950000000002,0.15300474653330348,0.08468368183197629,-135.97093488957734,-5.0,0.0,3.0,0.15368643500987866,0.0008146907235340003,0.15383265625,-0.0002140625000000007,-0.1391528334868759,,-2.756315988961014,,falling,-13158917.0,8.0,8.753016976589713,15.0,5.0,0.0,5.0,0.08468368183197629,42.355309683992246,-135.97093488957734,-0.00016134328498446915,0.0008146907235340003,0.15383265625,,-2.756315988961014,,0.0,3.0,falling,-13158917.0,-0.0002140625000000007,-0.1391528334868759,5.039999999999964,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.25}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,
