SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,MACD_sell_score,Bollinger_buy_score,Keltner_buy_score,Bollinger_sell_score,Keltner_sell_score
signals_2025-09-05_03-49-06_STRONG.json,ETHUSDT,Buy,40,Success,39.0,True,40,35,,,Bullish,5.04%,0,0,2025-09-04T22:18:05.094865+00:00,2025-09-05T03:48:05.094865+05:30,64.4994337927138,-25.53719008264602,95.77447450219952,-0.030395753808835857,,,falling,up,up,6.310195446720172,6.120615395522792,0.18958005119737997,4324.059785230795,4311.011,4297.962214769206,4321.626,4311.011,4300.396000000001,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_03-49-06_STRONG.json,BTCUSDT,Buy,50,Success,38.0,True,50,50,,,Bullish,5.04%,0,0,2025-09-04T22:18:06.070413+00:00,2025-09-05T03:48:06.070413+05:30,66.08492481963756,-9.698275862069169,122.54744720662684,0.2790198485901462,,,falling,up,up,105.31622283969773,110.04431327287583,-4.728090433178096,110562.94090388107,110402.3,110241.65909611894,110540.45000000001,110402.3,110264.15,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,15.0,0.0,0.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_03-49-06_STRONG.json,SOLUSDT,Buy,45,Success,39.0,True,45,20,,,Bullish,5.04%,0,0,2025-09-04T22:18:06.929276+00:00,2025-09-05T03:48:06.929276+05:30,46.4287503619313,-74.28571428571341,-16.36747624076305,0.05432991044057392,,,rising,down,down,0.08332444707627928,0.08196151793703915,0.0013629291392401321,203.93988068357015,203.1385,202.33711931642983,203.9135,203.1385,202.3635,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,,,,
signals_2025-09-05_03-49-06_STRONG.json,WLFIUSDT,Sell,45,Success,2.0,True,20,45,,,Bullish,5.04%,0,0,2025-09-04T22:18:07.809207+00:00,2025-09-05T03:48:07.809207+05:30,52.43822535480596,-25.396825396825246,95.64596716630786,-0.0006235497327201578,,,falling,down,down,3.317477845873884e-05,-0.00013559727228221104,0.00016877205074094988,0.18524471174515555,0.18312,0.18099528825484446,0.18536999999999998,0.18312,0.18087000000000003,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_03-49-06_STRONG.json,ALPACAUSDT,Sell,50,Inconclusive,,False,35,50,,,Bullish,5.04%,0,0,2025-09-04T22:18:08.682540+00:00,2025-09-05T03:48:08.682540+05:30,,,0.0,,,,falling,down,down,0.0,0.0,0.0,1.19,1.19,1.19,1.1900000000000002,1.1900000000000002,1.1900000000000002,10.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,15.0,10.0,10.0,0.0,15.0,10.0,15.0,
signals_2025-09-05_03-49-06_STRONG.json,XRPUSDT,Buy,50,Inconclusive,,False,50,15,,,Bullish,5.04%,0,0,2025-09-04T22:18:09.673190+00:00,2025-09-05T03:48:09.673190+05:30,53.12000434229026,-46.715328467154464,31.63745190252254,0.049341635608068556,,,falling,up,up,0.0019583100383662178,0.0017985807366326717,0.00015972930173354608,2.812309584404394,2.80461,2.7969104155956055,2.8109600000000006,2.8046100000000003,2.79826,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_03-49-06_STRONG.json,MUSDT,Buy,40,Fail,16.0,False,40,35,,,Bullish,5.04%,0,0,2025-09-04T22:18:10.526879+00:00,2025-09-05T03:48:10.526879+05:30,64.13559612133957,-41.375291375291425,51.39320442734213,-0.04700879748085956,,,falling,up,up,0.020347589662262466,0.019670654599452723,0.0006769350628097436,1.4528628690873022,1.40058,1.3482971309126977,1.4377300000000002,1.4005800000000002,1.3634300000000001,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_03-49-06_STRONG.json,DOGEUSDT,Strong Sell,70,Inconclusive,,False,30,70,,,Bullish,5.04%,0,0,2025-09-04T22:18:11.387241+00:00,2025-09-05T03:48:11.387241+05:30,63.90371890486039,-16.535433070867107,121.68944483052155,-0.04107319680092332,,,falling,down,down,0.0002729009251480341,0.00022604483899552622,4.6856086152507884e-05,0.2130545806647589,0.21239750000000002,0.21174041933524113,0.21292749999999994,0.21239749999999996,0.2118675,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_03-49-06_STRONG.json,ENAUSDT,Sell,50,Success,72.0,True,30,50,,,Bullish,5.04%,0,0,2025-09-04T22:18:12.244162+00:00,2025-09-05T03:48:12.244162+05:30,59.753474655924265,-12.765957446809365,85.04228942185303,0.17210044034595026,,,falling,down,down,0.0013240147333820618,0.0010646249909521555,0.00025938974242990624,0.6557475695564684,0.6511199999999999,0.6464924304435314,0.6546699999999999,0.6511199999999999,0.64757,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_03-49-06_STRONG.json,PUMPUSDT,Sell,55,Success,93.0,True,20,55,,,Bullish,5.04%,0,0,2025-09-04T22:18:13.223340+00:00,2025-09-05T03:48:13.223340+05:30,60.573097205827885,-41.75824175824161,67.39614994934163,0.14547278069806155,,,falling,down,down,3.343511310326466e-05,3.4471749075503336e-05,-1.0366359722386727e-06,0.004339866196284616,0.00427225,0.004204633803715384,0.0043317500000000005,0.00427225,0.0042127499999999995,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,10.0,10.0,10.0,,,,
