Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,SUPERVISOR__reason
BTCUSDT,Buy,42,113601.3,114419.22936,110193.261,Bullish,2025-09-10T16:26:32.243365+00:00,2025-09-10T21:56:32.243365+05:30,Inconclusive,600,,,5.04%,42.51931114260798,-12.084670891636051,32.986860584098785,-45.07153147573484,114019.04234626883,113804.16,113589.27765373117,0.027974253068210025,-169.16491827311071,5.0,3.0,0.0,113566.70899463898,145.3326203629521,113718.70625,-24.851562499985448,-0.02185353959739183,,-1.9077521687615975,,falling,-3348.995,12.0,0.0,15.0,10.0,0.0,5.0,0.027974253068210025,42.51931114260798,-169.16491827311071,-45.07153147573484,145.3326203629521,113718.70625,,-1.9077521687615975,,3.0,0.0,falling,-3348.995,-24.851562499985448,-0.02185353959739183,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
ETHUSDT,Sell,45,4366.45,4335.01156,4497.4435,Bullish,2025-09-10T16:26:33.300313+00:00,2025-09-10T21:56:33.300313+05:30,Success,120,120.0,,5.04%,32.57723212106758,-6.061425102623616,-0.7433697913982752,-5.318055311225341,4427.840745792411,4399.783,4371.725254207589,-0.09400709249095154,-224.92937067921847,5.0,0.0,3.0,4388.675168186768,11.77543409873556,4386.7490625,-5.099999999999454,-0.11625921445100791,,-12.455165899894286,,falling,-217608.90799999997,8.0,19.838948814898753,7.0,5.0,0.0,5.0,-0.09400709249095154,32.57723212106758,-224.92937067921847,-5.318055311225341,11.77543409873556,4386.7490625,,-12.455165899894286,,0.0,3.0,falling,-217608.90799999997,-5.099999999999454,-0.11625921445100791,5.039999999999984,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,,,,,,,,,
WLDUSDT,Buy,54,1.7728,1.78556416,1.719616,Bullish,2025-09-10T16:26:37.305002+00:00,2025-09-10T21:56:37.305002+05:30,Success,14,14.0,,5.04%,20.913520877995396,-0.02046594663841672,-0.00963671427142828,-0.01082923236698844,1.92150720839329,1.8471400000000002,1.7727727916067104,0.00018293273256689762,-179.31647207656232,5.0,0.0,3.0,1.8526836120744714,0.01788632366903006,1.8139453124999998,-0.017428125000000128,-0.9607855804638614,,-35.14406381266896,,falling,-42416911.0,24.0,0.0,8.0,5.0,12.0,5.0,0.00018293273256689762,20.913520877995396,-179.31647207656232,-0.01082923236698844,0.01788632366903006,1.8139453124999998,,-35.14406381266896,,0.0,3.0,falling,-42416911.0,-0.017428125000000128,-0.9607855804638614,5.039999999999966,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.017428125000000128,-0.9607855804638614,,,,,,,,,,
WLFIUSDT,Buy,54,0.1983,0.19972776,0.192351,Bullish,2025-09-10T16:26:44.486202+00:00,2025-09-10T21:56:44.486202+05:30,Success,20,20.0,,5.04%,17.417044577810756,-0.0020687219812967894,-0.0013852924714438716,-0.0006834295098529179,0.21035370788316604,0.20416499999999999,0.19797629211683393,0.026153107343020208,-177.30496453900767,5.0,0.0,3.0,0.2053567513236679,0.0015903683343388903,0.20099999999999998,-0.0008828125000000242,-0.4392101990049872,,-48.077477282595495,,falling,-293711387.0,24.0,0.0,8.0,5.0,12.0,5.0,0.026153107343020208,17.417044577810756,-177.30496453900767,-0.0006834295098529179,0.0015903683343388903,0.20099999999999998,,-48.077477282595495,,0.0,3.0,falling,-293711387.0,-0.0008828125000000242,-0.4392101990049872,5.040000000000001,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.0008828125000000242,-0.4392101990049872,,,,,,,,,,
AVNTUSDT,Buy,42,0.35557,0.3581301,0.3449029,Bullish,2025-09-10T16:26:45.524075+00:00,2025-09-10T21:56:45.524075+05:30,Success,1,1.0,,5.04%,57.43841567497543,0.008014442519116483,0.007953896432621172,6.054608649531078e-05,0.36577575067411805,0.3437465,0.32171724932588197,0.7683591052393649,129.21624805682794,5.0,3.0,0.0,0.32724927284015815,0.018184149630395833,0.34774281250000005,-0.0004793749999999486,-0.13785331652252295,,13.689025133364341,,rising,47564245.0,8.0,9.079910587265434,15.0,5.0,0.0,5.0,0.7683591052393649,57.43841567497543,129.21624805682794,6.054608649531078e-05,0.018184149630395833,0.34774281250000005,,13.689025133364341,,3.0,0.0,rising,47564245.0,-0.0004793749999999486,-0.13785331652252295,5.040000000000015,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.92}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
LINKUSDT,Buy,41,23.512,23.6812864,22.80664,Bullish,2025-09-10T16:26:51.660315+00:00,2025-09-10T21:56:51.660315+05:30,Success,523,523.0,,5.04%,37.662146783636736,-0.03385428583809613,-0.015848102848732462,-0.01800618298936367,23.752284739237435,23.6251,23.497915260762564,0.05537118416047532,-168.29211868843166,5.0,3.0,0.0,23.61218513425012,0.06517377158489143,23.5934375,-0.02798437499999551,-0.11861084252769657,,-11.954131333563652,,falling,-58125.81999999999,18.0,0.0,8.0,10.0,0.0,5.0,0.05537118416047532,37.662146783636736,-168.29211868843166,-0.01800618298936367,0.06517377158489143,23.5934375,,-11.954131333563652,,3.0,0.0,falling,-58125.81999999999,-0.02798437499999551,-0.11861084252769657,5.040000000000021,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
PUMPUSDT,Buy,45,0.005651,0.00569169,0.00548147,Bullish,2025-09-10T16:26:52.707746+00:00,2025-09-10T21:56:52.707746+05:30,Success,10,10.0,,5.04%,58.51271080844327,8.105940458676651e-06,8.673423123708161e-07,7.238598146305835e-06,0.005647741890808506,0.0055911500000000005,0.005534558109191495,1.0287860075440678,159.79064039408618,5.0,3.0,0.0,0.00557592812635234,5.0269666088749826e-05,0.005606109375,1.025000000000071e-05,0.18283624728603712,,4.8813954145664455,,falling,-507117968.0,8.0,7.455888392109678,15.0,10.0,0.0,5.0,1.0287860075440678,58.51271080844327,159.79064039408618,7.238598146305835e-06,5.0269666088749826e-05,0.005606109375,,4.8813954145664455,,3.0,0.0,falling,-507117968.0,1.025000000000071e-05,0.18283624728603712,5.040000000000032,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.54}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,,,,,,,,,
1000PEPEUSDT,Buy,41,0.0104705,0.01054589,0.01015639,Bullish,2025-09-10T16:26:54.811697+00:00,2025-09-10T21:56:54.811697+05:30,Success,26,26.0,,5.04%,36.58403927559641,-1.6734437643627087e-05,-6.121231000247882e-06,-1.0613206643379205e-05,0.010604191423209362,0.01053389,0.010463588576790639,0.04915564218934164,-178.2626824803225,5.0,3.0,0.0,0.010519905208548917,3.388357575691024e-05,0.010505007812500002,-1.2759374999997408e-05,-0.1214599287095714,,-12.810362219128516,,falling,-855357899.0,18.0,0.0,8.0,10.0,0.0,5.0,0.04915564218934164,36.58403927559641,-178.2626824803225,-1.0613206643379205e-05,3.388357575691024e-05,0.010505007812500002,,-12.810362219128516,,3.0,0.0,falling,-855357899.0,-1.2759374999997408e-05,-0.1214599287095714,5.04000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
ADAUSDT,Buy,41,0.883,0.8893576,0.85651,Bullish,2025-09-10T16:26:55.851286+00:00,2025-09-10T21:56:55.851286+05:30,Success,30,30.0,,5.04%,37.16032349748127,-0.001013268203209572,-0.00026229190666586565,-0.0007509762965437062,0.8918830430539146,0.88744,0.8829969569460854,0.0003424515447751228,-187.09158891567333,5.0,3.0,0.0,0.8860907799950065,0.0025760767027564846,0.8859046875000001,-0.0009390624999999764,-0.10600039860382568,,-10.33128622999147,,falling,-8361955.0,18.0,0.0,8.0,10.0,0.0,5.0,0.0003424515447751228,37.16032349748127,-187.09158891567333,-0.0007509762965437062,0.0025760767027564846,0.8859046875000001,,-10.33128622999147,,3.0,0.0,falling,-8361955.0,-0.0009390624999999764,-0.10600039860382568,5.039999999999971,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
ONDOUSDT,Sell,43,1.0182,1.01086896,1.048746,Bullish,2025-09-10T16:26:56.848608+00:00,2025-09-10T21:56:56.848608+05:30,Success,176,176.0,,5.04%,37.393241613121184,-0.0009122068173570419,0.000613343750876703,-0.0015255505682337449,1.0364420431390193,1.02624,1.0160379568609808,0.10596128194901347,-138.32158563768715,5.0,0.0,3.0,1.0240523801351218,0.004184832207222544,1.0280203125000003,-0.002607812499999973,-0.25367324636398875,,-5.269620127945894,,falling,-8338668.300000001,8.0,17.749027876056687,7.0,5.0,0.0,5.0,0.10596128194901347,37.393241613121184,-138.32158563768715,-0.0015255505682337449,0.004184832207222544,1.0280203125000003,,-5.269620127945894,,0.0,3.0,falling,-8338668.300000001,-0.002607812499999973,-0.25367324636398875,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,,,,,,,,,
