Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope
TRXUSDT,Buy,48,0.33082,0.3332019,0.3208954,Bullish,2025-09-08T03:31:59.005348+00:00,2025-09-08T09:01:59.005348+05:30,Inconclusive,300,,,5.04%,66.64430816443114,0.00020709664733820077,5.3385678655394785e-05,0.000153710968682806,0.3308641672607744,0.329854,0.32884383273922557,0.9781386397632177,194.54487789407196,10.0,3.0,0.0,0.3299543883148337,0.00033487509688110746,0.3304278125,0.00013062500000005084,,17.03775573472209,,rising,11981426.0,8.0,15.01623644978621,15.0,5.0,0.0,5.0,0.9781386397632177,66.64430816443114,194.54487789407196,0.000153710968682806,0.00033487509688110746,0.3304278125,,17.03775573472209,,3.0,0.0,rising,11981426.0,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,
BIOUSDT,Buy,44,0.16959,0.17081105,0.1645023,Bullish,2025-09-08T03:32:01.671687+00:00,2025-09-08T09:02:01.671687+05:30,Success,2,2.0,,5.04%,68.0423870422365,0.0010943548670091785,0.0009877157640643965,0.00010663910294478199,0.170377382888991,0.167008,0.16363861711100897,0.8831562165932991,110.25986287164747,10.0,3.0,0.0,0.16547741117237977,0.001280029242662155,0.16813578125,-0.00023234375000003027,,26.219686067875113,,rising,24131067.0,8.0,10.999437501405792,15.0,5.0,0.0,5.0,0.8831562165932991,68.0423870422365,110.25986287164747,0.00010663910294478199,0.001280029242662155,0.16813578125,,26.219686067875113,,3.0,0.0,rising,24131067.0,5.040000000000011,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,
FARTCOINUSDT,Buy,47,0.7715,0.7770548,0.748355,Bullish,2025-09-08T03:32:02.556245+00:00,2025-09-08T09:02:02.556245+05:30,Success,297,297.0,,5.04%,68.67325353655326,0.003927053088805255,0.0031956835634082102,0.0007313695253970444,0.7757793211717975,0.7622549999999999,0.7487306788282023,0.8417916464184081,101.17526826775612,10.0,3.0,0.0,0.7589616401627723,0.003864506570512443,0.7729187500000001,0.0003500000000000725,,30.67123582377045,,rising,7506907.500000001,8.0,13.542072393785972,15.0,5.0,0.0,5.0,0.8417916464184081,68.67325353655326,101.17526826775612,0.0007313695253970444,0.003864506570512443,0.7729187500000001,,30.67123582377045,,3.0,0.0,rising,7506907.500000001,5.039999999999973,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.46}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,
HYPEUSDT,Buy,58,48.807,49.1584104,47.34279,Bullish,2025-09-08T03:32:03.439000+00:00,2025-09-08T09:02:03.439000+05:30,Success,115,115.0,,5.04%,84.18155867975275,0.3487831522998732,0.29633383662736534,0.05244931567250788,49.096920110833594,48.124649999999995,47.1523798891664,0.850905572637103,105.66058644039676,10.0,3.0,0.0,47.79582920501928,0.16700158360974507,48.900953124999994,0.06323437499999329,,62.96499546664916,,rising,394240.4700000001,8.0,16.537554728114177,15.0,5.0,0.0,5.0,0.850905572637103,84.18155867975275,105.66058644039676,0.05244931567250788,0.16700158360974507,48.900953124999994,,62.96499546664916,,3.0,0.0,rising,394240.4700000001,5.039999999999984,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,58,50.0,58.0,0.06323437499999329
IPUSDT,Buy,43,8.8503,8.91402216,8.584791,Bullish,2025-09-08T03:32:05.196275+00:00,2025-09-08T09:02:05.196275+05:30,Fail,150,,150.0,5.04%,68.51476183558171,0.04808403480311796,0.035509471302109255,0.012574563501008704,8.89177289118322,8.754340000000001,8.616907108816783,0.8491158454640635,116.19226466821101,10.0,3.0,0.0,8.701670707137646,0.051722766165607725,8.836203124999999,0.026823437500000935,,30.293820781581328,,rising,1639.9999999999782,8.0,9.834752206754157,15.0,5.0,0.0,5.0,0.8491158454640635,68.51476183558171,116.19226466821101,0.012574563501008704,0.051722766165607725,8.836203124999999,,30.293820781581328,,3.0,0.0,rising,1639.9999999999782,5.039999999999944,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.17}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,
LTCUSDT,Buy,59,115.14,115.969008,111.6858,Bullish,2025-09-08T03:32:06.996279+00:00,2025-09-08T09:02:06.996279+05:30,Inconclusive,300,,,5.04%,68.72682780668276,0.21282210836093896,0.1353405121410969,0.07748159621984205,115.47606641730391,114.49449999999999,113.51293358269606,0.8288111678540371,94.37554803958446,10.0,3.0,0.0,114.5206847490948,0.2302143871430357,115.29796875,0.03937499999999261,,27.733027840433067,,falling,-4675.587000000001,4.0,17.07750693756962,15.0,10.0,0.0,5.0,0.8288111678540371,68.72682780668276,94.37554803958446,0.07748159621984205,0.2302143871430357,115.29796875,,27.733027840433067,,3.0,0.0,falling,-4675.587000000001,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 2.92}]}",True,,,Buy,59,51.0,59.0,0.03937499999999261
PYTHUSDT,Buy,43,0.16664,0.16783981,0.1616408,Bullish,2025-09-08T03:32:07.882008+00:00,2025-09-08T09:02:07.882008+05:30,Success,211,211.0,,5.04%,58.0825664554487,9.168730107930734e-05,5.5863054168670875e-05,3.582424691063646e-05,0.16668878187425043,0.166021,0.16535321812574957,0.9634746942591274,126.37913741223876,10.0,3.0,0.0,0.1657783615999139,0.0006836901003682732,0.1661584375,2.9375000000025908e-05,,4.398908468259074,,falling,-3337146.0,8.0,5.257560882323949,15.0,10.0,0.0,5.0,0.9634746942591274,58.0825664554487,126.37913741223876,3.582424691063646e-05,0.0006836901003682732,0.1661584375,,4.398908468259074,,3.0,0.0,falling,-3337146.0,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 14.74}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,
WIFUSDT,Buy,43,0.8418,0.84786096,0.816546,Bullish,2025-09-08T03:32:08.798035+00:00,2025-09-08T09:02:08.798035+05:30,Inconclusive,300,,,5.04%,64.89876062570082,0.0032604664646983528,0.0026295038860540123,0.0006309625786443404,0.8472357502619031,0.8347450000000001,0.822254249738097,0.7824089767256721,82.34416055782188,10.0,3.0,0.0,0.8328130800804394,0.003297953097049604,0.8455578125000001,0.0008828125000001075,,28.060911347508977,,rising,7867158.2,4.0,13.59166684359805,15.0,5.0,0.0,5.0,0.7824089767256721,64.89876062570082,82.34416055782188,0.0006309625786443404,0.003297953097049604,0.8455578125000001,,28.060911347508977,,3.0,0.0,rising,7867158.2,5.040000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.41}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,
AAVEUSDT,Buy,47,302.37,304.547064,293.2989,Bullish,2025-09-08T03:32:10.567167+00:00,2025-09-08T09:02:10.567167+05:30,Inconclusive,300,,,5.04%,62.38051648219631,0.39301414590482864,0.2570506218539712,0.13596352405085743,303.17819121720254,301.2135,299.2488087827975,0.7943210591755746,88.07483518120598,10.0,3.0,0.0,301.2168691421039,0.7438622181698055,302.3506249999999,-0.017343750000009095,,17.11000195182969,,falling,-315.39999999999986,4.0,13.386732512439135,15.0,10.0,0.0,5.0,0.7943210591755746,62.38051648219631,88.07483518120598,0.13596352405085743,0.7438622181698055,302.3506249999999,,17.11000195182969,,3.0,0.0,falling,-315.39999999999986,5.039999999999938,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.61}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,
DOLOUSDT,Buy,42,0.19602,0.19743134,0.1901394,Bullish,2025-09-08T03:32:13.236736+00:00,2025-09-08T09:02:13.236736+05:30,Fail,54,,54.0,5.04%,61.81387136156477,0.0005326718838066236,0.0002884299762772898,0.00024424190752933377,0.19681689413325168,0.193843,0.1908691058667483,0.8660184092733075,104.33507888894489,10.0,3.0,0.0,0.19407179156169724,0.0012010547377552122,0.195885625,1.609375000000135e-05,,12.713428111373984,,rising,1986381.0,8.0,8.880548401698832,15.0,5.0,0.0,5.0,0.8660184092733075,61.81387136156477,104.33507888894489,0.00024424190752933377,0.0012010547377552122,0.195885625,,12.713428111373984,,3.0,0.0,rising,1986381.0,5.040000000000031,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.12}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,
