Section,Total,Success,Fail,Inconclusive,WinRate,AvgConfidence
Strong Buy,62,53,7,2,88.33333333333333,66.96774193548387
Buy,1246,936,153,157,85.9504132231405,44.55216693418941
Strong Sell,54,20,19,15,51.28205128205128,68.4074074074074
Sell,435,336,41,58,89.12466843501326,44.91954022988506
