Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence
ETHUSDT,Buy,47,4370.54,4402.007888,4239.4238,Bullish,2025-09-09T06:57:20.438938+00:00,2025-09-09T12:27:20.438938+05:30,Inconclusive,300,,,5.04%,82.82568721811363,16.18158596550893,12.318187098455994,3.8633988670529362,4381.059381623948,4333.5305,4286.001618376052,0.889336954031676,115.83449499430058,10.0,3.0,0.0,4322.008669243199,8.845831907223575,4369.45765625,4.569999999999709,,58.92363123266735,,rising,221920.516,8.0,14.48195057081667,15.0,5.0,0.0,5.0,0.889336954031676,82.82568721811363,115.83449499430058,3.8633988670529362,8.845831907223575,4369.45765625,,58.92363123266735,,3.0,0.0,rising,221920.516,5.0400000000000205,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.52}]}",False,not_in_gap_or_already_strong,47,Buy,47
BTCUSDT,Buy,44,113022.7,113836.46344,109632.019,Bullish,2025-09-09T06:57:21.347762+00:00,2025-09-09T12:27:21.347762+05:30,Inconclusive,300,,,5.04%,81.34703249574893,296.2052762562089,246.90861029421345,49.296665961995444,113233.05738542163,112417.175,111601.29261457837,0.871085962155606,108.07555730246129,10.0,3.0,0.0,112143.22164027706,164.90539146926278,112993.4375,32.76718749999418,,59.70818698267672,,rising,9802.222,8.0,11.17453791259709,15.0,5.0,0.0,5.0,0.871085962155606,81.34703249574893,108.07555730246129,49.296665961995444,164.90539146926278,112993.4375,,59.70818698267672,,3.0,0.0,rising,9802.222,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.83}]}",False,not_in_gap_or_already_strong,44,Buy,44
MYXUSDT,Buy,47,13.7122,13.81092784,13.300834,Bullish,2025-09-09T06:57:22.236069+00:00,2025-09-09T12:27:22.236069+05:30,Success,1,1.0,,5.04%,64.57378270975195,0.2040473861609744,0.12112763883903452,0.08291974732193988,13.883036538113014,13.06444,12.245843461886984,0.8956527848830034,124.19434698144309,10.0,3.0,0.0,13.072322921877863,0.3623013833220412,13.635367187500002,0.08194218750000104,,17.955902109521425,,rising,4514986.0,8.0,14.492868720177166,15.0,5.0,0.0,5.0,0.8956527848830034,64.57378270975195,124.19434698144309,0.08291974732193988,0.3623013833220412,13.635367187500002,,17.955902109521425,,3.0,0.0,rising,4514986.0,5.040000000000024,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.51}]}",False,not_in_gap_or_already_strong,47,Buy,47
SOLUSDT,Buy,40,218.53,220.103416,211.9741,Bullish,2025-09-09T06:57:23.141793+00:00,2025-09-09T12:27:23.141793+05:30,Inconclusive,300,,,5.04%,74.16846367274727,1.2364618307500734,1.0496547570578074,0.186807073692266,220.4365236511899,216.523,212.6094763488101,0.7564185346611841,77.81105363463186,10.0,3.0,0.0,215.52404691280302,0.6833398925376603,219.9221875,0.29968750000000455,,55.678540554991585,,rising,1760728.6800000002,4.0,10.560965952046034,15.0,5.0,0.0,5.0,0.7564185346611841,74.16846367274727,77.81105363463186,0.186807073692266,0.6833398925376603,219.9221875,,55.678540554991585,,3.0,0.0,rising,1760728.6800000002,5.0400000000000285,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.44}]}",False,not_in_gap_or_already_strong,40,Buy,40
WLDUSDT,Buy,44,1.9384,1.95235648,1.880248,Bullish,2025-09-09T06:57:24.045774+00:00,2025-09-09T12:27:24.045774+05:30,Success,1,1.0,,5.04%,70.60767260474665,0.029186332549420824,0.019021723805209702,0.010164608744211122,1.9492413830571798,1.8606550000000002,1.7720686169428206,0.9388089755838541,164.8947620378668,10.0,3.0,0.0,1.831260722543244,0.03318952872067574,1.9143625000000002,0.016762500000000014,,33.13902336404061,,rising,12557964.0,8.0,11.350228197398161,15.0,5.0,0.0,5.0,0.9388089755838541,70.60767260474665,164.8947620378668,0.010164608744211122,0.03318952872067574,1.9143625000000002,,33.13902336404061,,3.0,0.0,rising,12557964.0,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.65}]}",False,not_in_gap_or_already_strong,44,Buy,44
DOGEUSDT,Buy,47,0.24135,0.24308772,0.2341095,Bullish,2025-09-09T06:57:25.798311+00:00,2025-09-09T12:27:25.798311+05:30,Inconclusive,300,,,5.04%,79.85393410236216,0.0012680261675992455,0.0009210283559170998,0.0003469978116821457,0.24231355464721255,0.238342,0.23437044535278745,0.8786930140960274,118.7608906098735,10.0,3.0,0.0,0.2378765436282269,0.0007952553726283277,0.24125406249999998,0.0003748437499999646,,50.102622317851505,,rising,405934865.0,8.0,14.472041770491332,15.0,5.0,0.0,5.0,0.8786930140960274,79.85393410236216,118.7608906098735,0.0003469978116821457,0.0007952553726283277,0.24125406249999998,,50.102622317851505,,3.0,0.0,rising,405934865.0,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.53}]}",False,not_in_gap_or_already_strong,47,Buy,47
SUIUSDT,Buy,49,3.5884,3.61423648,3.480748,Bullish,2025-09-09T06:57:32.020647+00:00,2025-09-09T12:27:32.020647+05:30,Success,63,63.0,,5.04%,78.47986008937245,0.03288464708923966,0.024768865972211517,0.008115781117028143,3.622679872048051,3.521105,3.419530127951949,0.831258108640125,104.83076159164732,10.0,3.0,0.0,3.5017143890591758,0.015773922673526772,3.6010609375000002,0.011409374999999944,,59.1617538984579,,rising,17303707.400000002,8.0,16.0,15.0,5.0,0.0,5.0,0.831258108640125,78.47986008937245,104.83076159164732,0.008115781117028143,0.015773922673526772,3.6010609375000002,,59.1617538984579,,3.0,0.0,rising,17303707.400000002,5.040000000000031,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49,Buy,49
1000PEPEUSDT,Buy,40,0.010603,0.01067934,0.01028491,Bullish,2025-09-09T06:57:33.790412+00:00,2025-09-09T12:27:33.790412+05:30,Success,80,80.0,,5.04%,72.32092950370009,8.066064799326818e-05,6.64476674775237e-05,1.4212980515744477e-05,0.01070941639921217,0.01045108,0.01019274360078783,0.7940352200915152,84.25382993765315,10.0,3.0,0.0,0.010390658779470999,4.8492163483886e-05,0.010675034375,2.0275000000000154e-05,,45.504233512218114,,rising,4472589075.0,4.0,11.034364067736824,15.0,5.0,0.0,5.0,0.7940352200915152,72.32092950370009,84.25382993765315,1.4212980515744477e-05,4.8492163483886e-05,0.010675034375,,45.504233512218114,,3.0,0.0,rising,4472589075.0,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.97}]}",False,not_in_gap_or_already_strong,40,Buy,40
ADAUSDT,Buy,46,0.8833,0.88965976,0.856801,Bullish,2025-09-09T06:57:35.565346+00:00,2025-09-09T12:27:35.565346+05:30,Success,20,20.0,,5.04%,82.25107905735017,0.004701704211610647,0.003723383372583936,0.0009783208390267105,0.8879773229057546,0.8731000000000002,0.8582226770942458,0.8428036100518634,101.67360600865648,10.0,3.0,0.0,0.8699876759890157,0.002610987804824532,0.8851046874999999,0.0009578124999999327,,56.763734198603146,,rising,57415734.0,8.0,12.992650250321248,15.0,5.0,0.0,5.0,0.8428036100518634,82.25107905735017,101.67360600865648,0.0009783208390267105,0.002610987804824532,0.8851046874999999,,56.763734198603146,,3.0,0.0,rising,57415734.0,5.040000000000038,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.01}]}",False,not_in_gap_or_already_strong,46,Buy,46
AVAXUSDT,Buy,49,25.992,26.1791424,25.21224,Bullish,2025-09-09T06:57:38.225277+00:00,2025-09-09T12:27:38.225277+05:30,Success,191,191.0,,5.04%,91.21365641509118,0.19601109244526072,0.14377301906041476,0.05223807338484596,26.062880030010767,25.506149999999998,24.94941996998923,0.9363425482819787,138.7697516930019,10.0,3.0,0.0,25.382366909800435,0.09332595990494495,25.90709375,0.06284375000000608,,69.84840479061997,,rising,1688520.0,8.0,16.0,15.0,5.0,0.0,5.0,0.9363425482819787,91.21365641509118,138.7697516930019,0.05223807338484596,0.09332595990494495,25.90709375,,69.84840479061997,,3.0,0.0,rising,1688520.0,5.039999999999973,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49,Buy,49
