UTC_Time,Coin,Signal,Confidence,POP,Outcome,Duration(min),Did_TP_Hit_Later,Estimated_Profit(%),Price,TP,SL,Buy_Score,Sell_Score,Base_Score_OK,Confluence_OK,Vol_Profile_OK,Min_Profit_OK,RSI,CCI,%B,ADX15m,MACD_Hist,Regime,RegimeScore,Num_Conf,Overshoot_OK
2025-08-24 15:20:31,UNIUSDT,Sell,41,,Success,27,False,5.6,11.139,11.0499,11.2281,25,35,,False,False,True,73.00388433355111,142.00941272764638,0.9176585239523974,33.31279100234611,0.014755630173874726,Neutral,-2.0,1,True
2025-08-24 15:20:31,CRVUSDT,Buy,43,,Fail,34,True,7.17,0.897,0.9062,0.8878,25,20,,False,True,True,67.72266239739733,166.36528028932722,0.969350460820377,22.676446567096583,0.0013894444656553134,Neutral,-2.0,1,False
2025-08-24 15:20:31,ETCUSDT,Strong Sell,75,,Fail,139,False,8.4,23.473,23.1913,23.7547,25,70,,True,True,True,74.03534886039424,188.72945661164624,1.0124588029037633,24.90773888981522,0.024092904023568812,Neutral,-2.0,2,True
2025-08-24 15:20:31,OPUSDT,Sell,68,,Success,66,False,8.4,0.7843,0.7749,0.7937,25,70,,True,False,True,75.86431830085124,191.75539708899154,1.0431267815223104,23.88128183816693,0.0014394066022644229,Neutral,-2.0,2,True
2025-08-24 15:20:31,LDOUSDT,Buy,43,,Success,141,False,5.77,1.4702,1.4823,1.4581,25,20,,False,True,True,69.24439111935159,192.15908613665897,0.9723621711434816,42.95878078114972,0.0014292508428830368,Neutral,-2.0,1,False
2025-08-24 15:20:31,HAEDALUSDT,Buy,68,,Success,25,False,14.0,0.136,0.1387,0.1333,70,25,,True,False,True,25.30087165250994,-188.44209089288722,-0.028879033515275904,24.470818935294773,-0.00046029222794347416,Neutral,-2.0,2,True
2025-08-24 15:20:31,WLDUSDT,Sell,68,,Success,67,False,8.4,0.9765,0.9648,0.9882,25,70,,True,False,True,76.40702206294401,171.19463122028463,1.0048200981844226,25.938448165237215,0.0015586997156663038,Neutral,-2.0,2,True
2025-08-24 15:20:31,FILUSDT,Sell,68,,Success,67,False,8.4,2.428,2.3989,2.4571,25,70,,True,False,True,75.19893968044545,205.3045937476138,1.0770512823552016,23.995888106540484,0.0032759244307088323,Neutral,-2.0,2,True
2025-08-24 15:20:31,ONDOUSDT,Sell,41,,Success,72,False,8.4,0.9804,0.9686,0.9922,25,35,,False,False,True,72.80740369837366,168.8513037350275,0.9633594700168046,24.45467739253823,0.0013213958296880595,Neutral,-2.0,1,True
2025-08-24 15:20:31,1000SHIBUSDT,Buy,43,,Success,139,False,5.6,0.0129,0.013,0.0128,25,20,,False,True,True,67.24985449925384,122.461928934012,0.870810754128036,26.63221807030429,1.0183583701065049e-05,Neutral,-2.0,1,False
2025-08-24 15:20:31,ETHFIUSDT,Sell,41,,Success,33,False,6.94,1.262,1.2495,1.2745,25,35,,False,False,True,74.52249413005266,140.4445872407075,0.8774955947245842,41.96793489255268,0.0013350445699471438,Neutral,-2.0,1,True
2025-08-24 15:20:31,API3USDT,Buy,43,,Fail,34,False,5.6,1.3873,1.3984,1.3762,25,5,,False,True,True,57.52652748047318,121.26872124796242,0.8816981622790866,11.067430063879899,0.0004667916323983013,Neutral,-2.0,1,False
2025-08-24 15:20:31,NEARUSDT,Sell,41,,Success,34,False,5.6,2.648,2.6268,2.6692,25,35,,False,False,True,78.78680530325956,146.74297018510563,0.9358523489755873,37.38836393757694,0.004479642200413769,Neutral,-2.0,1,True
2025-08-24 15:20:31,PENDLEUSDT,Sell,41,,Success,33,False,5.6,6.0002,5.9522,6.0482,25,35,,False,False,True,74.47644092710276,117.8362526581502,0.8542181286843153,45.10368452303114,0.00785275719166801,Neutral,-2.0,1,True
2025-08-24 15:20:31,XLMUSDT,Sell,68,,Fail,170,False,8.4,0.4091,0.4042,0.414,25,70,,True,False,True,72.99134114306176,185.65242734615785,1.0049519601446575,20.68639352688642,0.00043028447632260843,Neutral,-2.0,2,True
2025-08-24 15:20:31,TIAUSDT,Buy,43,,Fail,31,True,5.6,1.804,1.8184,1.7896,25,20,,False,True,True,67.00412752889287,149.83152439377784,0.9401034901114711,26.94084134126842,0.002014722555572674,Neutral,-2.0,1,False
2025-08-24 15:20:31,APTUSDT,Sell,47,,Fail,144,False,8.4,4.6254,4.5699,4.6809,25,35,,False,True,True,72.08079116424423,162.7251209220944,0.9659647545322045,20.707550730117582,0.004532079129912075,Neutral,-2.0,1,True
2025-08-24 15:20:31,SEIUSDT,Sell,68,,Success,50,False,8.4,0.3131,0.3093,0.3169,25,70,,True,False,True,75.10114918655997,181.38424821002113,1.0040087196499905,22.957107721359385,0.0005232359610180775,Neutral,-2.0,2,True
2025-08-24 15:20:31,HBARUSDT,Sell,41,,Fail,143,False,8.4,0.2487,0.2457,0.2517,25,35,,False,False,True,73.73413402487243,161.8301328970412,0.9796633599892223,23.104096399080873,0.0003062802975214291,Neutral,-2.0,1,True
2025-08-24 15:20:31,WCTUSDT,Buy,43,,Fail,59,True,5.6,0.3419,0.3446,0.3392,25,20,,False,True,True,64.74770697303506,143.2324506095034,0.9610565697777439,19.24411256273036,0.00031265946483632044,Neutral,-2.0,1,False
2025-08-24 15:20:31,INJUSDT,Sell,41,,Success,35,False,8.4,14.484,14.3102,14.6578,25,35,,False,False,True,73.6858891424828,167.8903376797081,0.9817560478561682,26.32131167697691,0.028365006649638626,Neutral,-2.0,1,True
