Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
BTCUSDT,Sell,46,113261.2,112445.71936,116659.036,Bearish,2025-09-10T19:16:52.753080+00:00,2025-09-11T00:46:52.753080+05:30,Inconclusive,600,,,5.04%,37.65575299544281,-84.2185708964389,-64.65350460761672,-19.56506628882218,113826.46778003278,113532.31499999999,113238.1622199672,0.03915954836502093,-157.64617365330147,-10.0,0.0,3.0,113553.44971677095,134.0038756557004,113366.76875,-6.415624999979627,-0.005659176027260305,,-13.891163886420207,,falling,-1140.2050000000002,8.0,12.504089629005872,15.0,5.0,0.0,5.0,0.03915954836502093,37.65575299544281,-157.64617365330147,-19.56506628882218,134.0038756557004,113366.76875,,-13.891163886420207,,0.0,3.0,falling,-1140.2050000000002,-6.415624999979627,-0.005659176027260305,5.039999999999965,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.5}]}",False,not_in_gap_or_already_strong,46.0,Sell,46,,,,,,,,,,
DOGEUSDT,Sell,43,0.2422,0.24045616,0.249466,Bearish,2025-09-10T19:16:58.191808+00:00,2025-09-11T00:46:58.191808+05:30,Success,20,20.0,,5.04%,36.33440889394404,-0.0006269949617772053,-0.00039981369138796386,-0.0002271812703892414,0.24632200187970005,0.2440645,0.24180699812029993,0.08704353321563629,-141.8086948040865,-10.0,0.0,3.0,0.2440731040226079,0.0008842582450922584,0.24289640624999997,-9.500000000001174e-05,-0.03911132382182446,,-17.538093491283817,,falling,-130638769.0,8.0,10.166016002228995,15.0,5.0,0.0,5.0,0.08704353321563629,36.33440889394404,-141.8086948040865,-0.0002271812703892414,0.0008842582450922584,0.24289640624999997,,-17.538093491283817,,0.0,3.0,falling,-130638769.0,-9.500000000001174e-05,-0.03911132382182446,5.03999999999999,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.83}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,,,,,,
XRPUSDT,Sell,44,2.9883,2.96678424,3.077949,Bearish,2025-09-10T19:16:59.084649+00:00,2025-09-11T00:46:59.084649+05:30,Success,23,23.0,,5.04%,40.05492554607129,-0.0023634662923259775,-0.0018355682279160637,-0.0005278980644099138,3.005791750268368,2.995565,2.985338249731632,0.14480407708444537,-120.50213591215096,-10.0,0.0,3.0,2.9963898315572535,0.005160076900243968,2.991859375,0.0003921874999996966,0.0131084870925692,,-11.634510811745786,,falling,-4411933.199999999,8.0,11.455303242716967,15.0,5.0,0.0,5.0,0.14480407708444537,40.05492554607129,-120.50213591215096,-0.0005278980644099138,0.005160076900243968,2.991859375,,-11.634510811745786,,0.0,3.0,falling,-4411933.199999999,0.0003921874999996966,0.0131084870925692,5.04000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.54}]}",False,not_in_gap_or_already_strong,44.0,Sell,44,,,,,,,,,,
ENAUSDT,Buy,54,0.7783,0.78390376,0.754951,Bearish,2025-09-10T19:17:01.765821+00:00,2025-09-11T00:47:01.765821+05:30,Success,108,108.0,,5.04%,28.2364646853884,-0.003213561215913985,-0.002698703485237139,-0.0005148577306768459,0.7927761792342268,0.786025,0.7792738207657731,-0.07212227167930074,-213.9577594123048,-10.0,0.0,3.0,0.7915734916104409,0.0029900661982765783,0.7829421875000002,-0.0012906249999999897,-0.16484295016993056,,-28.87961436342562,,falling,-13415821.0,32.0,0.0,0.0,5.0,12.0,5.0,-0.07212227167930074,28.2364646853884,-213.9577594123048,-0.0005148577306768459,0.0029900661982765783,0.7829421875000002,,-28.87961436342562,,0.0,3.0,falling,-13415821.0,-0.0012906249999999897,-0.16484295016993056,5.039999999999963,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""trend_score"", ""gap"": 15.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.0012906249999999897,-0.16484295016993056,,,,,,,
BNBUSDT,Sell,42,893.53,887.096584,920.3359,Bearish,2025-09-10T19:17:05.375908+00:00,2025-09-11T00:47:05.375908+05:30,Inconclusive,600,,,5.04%,36.26521105622962,-0.9223185153430222,-0.6743497533829625,-0.24796876196005968,898.5951139690937,895.8390000000002,893.0828860309066,0.08111311326512839,-168.25396825397894,-10.0,0.0,3.0,896.2146707957029,1.205933567744622,894.50578125,-0.21406249999995453,-0.023930812353254928,,-20.369633649766385,,falling,-1465.5000000000014,8.0,8.934973572525777,15.0,5.0,0.0,5.0,0.08111311326512839,36.26521105622962,-168.25396825397894,-0.24796876196005968,1.205933567744622,894.50578125,,-20.369633649766385,,0.0,3.0,falling,-1465.5000000000014,-0.21406249999995453,-0.023930812353254928,5.039999999999973,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.07}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,,
NAORISUSDT,Sell,42,0.07894,0.07837163,0.0813082,Bearish,2025-09-10T19:17:07.145430+00:00,2025-09-11T00:47:07.145430+05:30,Success,3,3.0,,5.04%,42.52101170456553,-0.0022990430714168314,-0.0007596575368951211,-0.0015393855345217102,0.1004484374655871,0.0865315,0.0726145625344129,0.227256804208118,-113.02288517009562,-10.0,0.0,3.0,0.08150147957945235,0.00739756885602553,0.0777475,-0.0019239062500000098,-2.4745570597125437,,-8.800822939481819,,falling,-86063182.0,8.0,8.994242506905238,15.0,5.0,0.0,5.0,0.227256804208118,42.52101170456553,-113.02288517009562,-0.0015393855345217102,0.00739756885602553,0.0777475,,-8.800822939481819,,0.0,3.0,falling,-86063182.0,-0.0019239062500000098,-2.4745570597125437,5.039999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.01}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,,
LINKUSDT,Sell,46,23.376,23.2076928,24.07728,Bearish,2025-09-10T19:17:10.764741+00:00,2025-09-11T00:47:10.764741+05:30,Success,20,20.0,,5.04%,34.87571670953861,-0.041719634592304544,-0.031252679204997996,-0.010466955387306548,23.62760572042872,23.499299999999998,23.370994279571278,0.019507004099261486,-170.92273420096393,-10.0,0.0,3.0,23.532209158641514,0.057181655946560474,23.433953125000002,-0.009734375000000739,-0.0415396196624454,,-18.951086554398504,,falling,-14832.460000000006,8.0,13.393138413657072,15.0,5.0,0.0,5.0,0.019507004099261486,34.87571670953861,-170.92273420096393,-0.010466955387306548,0.057181655946560474,23.433953125000002,,-18.951086554398504,,0.0,3.0,falling,-14832.460000000006,-0.009734375000000739,-0.0415396196624454,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.61}]}",False,not_in_gap_or_already_strong,46.0,Sell,46,,,,,,,,,,
1000PEPEUSDT,Sell,41,0.010448,0.01037277,0.01076144,Bearish,2025-09-10T19:17:12.532908+00:00,2025-09-11T00:47:12.532908+05:30,Success,10,10.0,,5.04%,39.56780242588441,-1.6250424280038825e-05,-9.72917458953795e-06,-6.521249690500874e-06,0.010563989333793123,0.010504284999999999,0.010444580666206875,0.028635557721606385,-199.18266514238147,-10.0,0.0,3.0,0.010510525599701618,3.528223613212963e-05,0.010485454687500001,-6.398437499999243e-06,-0.06102203185930502,,-11.53628232202997,,rising,370076937.0,8.0,8.435943118398207,15.0,5.0,0.0,5.0,0.028635557721606385,39.56780242588441,-199.18266514238147,-6.521249690500874e-06,3.528223613212963e-05,0.010485454687500001,,-11.53628232202997,,0.0,3.0,rising,370076937.0,-6.398437499999243e-06,-0.06102203185930502,5.039999999999951,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.56}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
ADAUSDT,Sell,64,0.8775,0.871182,0.903825,Bearish,2025-09-10T19:17:13.416755+00:00,2025-09-11T00:47:13.416755+05:30,Inconclusive,600,,,5.04%,28.847298805974702,-0.002108865355791023,-0.00148808352095867,-0.0006207818348323531,0.8899581759772938,0.883685,0.8774118240227063,0.00702801719677269,-172.38812912828737,-10.0,0.0,3.0,0.8847358780324756,0.00210307388430675,0.8798593750000001,-0.0005734374999999403,-0.06517376711476652,,-27.405524108039746,,falling,-10603510.0,8.0,11.084279894849084,15.0,5.0,12.0,5.0,0.00702801719677269,28.847298805974702,-172.38812912828737,-0.0006207818348323531,0.00210307388430675,0.8798593750000001,,-27.405524108039746,,0.0,3.0,falling,-10603510.0,-0.0005734374999999403,-0.06517376711476652,5.0400000000000365,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 1, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 8.92}]}",True,,,Sell,64,1.0,-0.0005734374999999403,-0.06517376711476652,56.0,64.0,False,0.5903566579040903,-0.06517376711476652,False,conditions_not_met
ONDOUSDT,Sell,42,1.014,1.0066992,1.04442,Bearish,2025-09-10T19:17:14.296315+00:00,2025-09-11T00:47:14.296315+05:30,Success,19,19.0,,5.04%,40.21720228186144,-0.0013423731538930728,-0.0013084432119295,-3.3929941963572715e-05,1.021489711709732,1.0173,1.0131102882902683,0.10617815393659677,-150.1395622153589,-10.0,0.0,3.0,1.0193344844160652,0.0028139415998470695,1.01618125,0.00020625000000018545,0.02029657602914691,,-12.16639113249869,,falling,-564832.6999999998,8.0,9.289387173909367,15.0,5.0,0.0,5.0,0.10617815393659677,40.21720228186144,-150.1395622153589,-3.3929941963572715e-05,0.0028139415998470695,1.01618125,,-12.16639113249869,,0.0,3.0,falling,-564832.6999999998,0.00020625000000018545,0.02029657602914691,5.040000000000074,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.71}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,,
