SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,Keltner_sell_score,MACD_sell_score,Bollinger_buy_score,Keltner_buy_score,Bollinger_sell_score
signals_2025-09-05_13-26-45_STRONG.json,PTBUSDT,Sell,55,Success,0.0,True,10,55,,,Bullish,5.04%,0,0,2025-09-05T07:55:55.879774+00:00,2025-09-05T13:25:55.879774+05:30,48.43886983333183,-76.43312101910833,-88.56787503280556,-0.015000219515925273,,,falling,down,down,0.0001600916868523955,0.00034745504317783114,-0.00018736335632543564,0.04698576962238473,0.045777,0.044568230377615266,0.046782,0.045777,0.044772,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,,10.0,,,
signals_2025-09-05_13-26-45_STRONG.json,LINKUSDT,Strong Sell,85,Success,14.0,True,40,85,,,Bullish,5.04%,0,0,2025-09-05T07:55:56.711513+00:00,2025-09-05T13:25:56.711513+05:30,85.57232338529576,-4.332755632582063,131.49157605334804,0.3575108130675599,,,falling,down,down,0.13640223102051507,0.09833670398457868,0.038065527035936395,23.141757056266353,22.7352,22.328642943733644,23.0292,22.7352,22.4412,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,15.0,10.0,10.0,10.0,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,BNXUSDT,Strong Sell,60,Inconclusive,,False,35,60,,,Bullish,5.04%,0,0,2025-09-05T07:55:57.536751+00:00,2025-09-05T13:25:57.536751+05:30,,,,,,,falling,down,down,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,,,,,0.0,0.0,0.0,0.0,,,,,15.0,10.0,10.0,10.0,0.0,15.0,10.0,15.0
signals_2025-09-05_13-26-45_STRONG.json,SOMIUSDT,Buy,50,Fail,30.0,False,50,35,,,Bullish,5.04%,0,0,2025-09-05T07:55:58.378322+00:00,2025-09-05T13:25:58.378322+05:30,39.32791775786905,-70.75664621676893,-181.205612664867,0.06048397262977003,,,falling,up,up,-0.0008951626059383599,0.0017325098489583354,-0.002627672454896695,0.5767145277877195,0.559985,0.5432554722122804,0.576635,0.559985,0.5433349999999999,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,,10.0,,,
signals_2025-09-05_13-26-45_STRONG.json,SUIUSDT,Strong Sell,75,Success,34.0,True,40,75,,,Bullish,5.04%,0,0,2025-09-05T07:55:59.243041+00:00,2025-09-05T13:25:59.243041+05:30,80.53307873956953,-7.529411764706101,105.78041836860916,0.06777916003762853,,,falling,down,down,0.012594371361511758,0.011306153438665223,0.0012882179228465348,3.4033155913777158,3.37459,3.345864408622284,3.39589,3.37459,3.35329,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,15.0,10.0,10.0,,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,1000PEPEUSDT,Strong Sell,80,Success,20.0,True,60,80,,,Bullish,5.04%,0,0,2025-09-05T07:56:00.083943+00:00,2025-09-05T13:26:00.083943+05:30,87.08355755127603,-4.435058078141738,170.56458001323307,0.12018414294765906,,,falling,up,up,3.742634043567457e-05,2.3602423370943337e-05,1.3823917064731232e-05,0.009699539480158403,0.009583615,0.009467690519841598,0.009679715,0.009583615,0.009487515,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,,,15.0
signals_2025-09-05_13-26-45_STRONG.json,AVAXUSDT,Strong Sell,65,Success,71.0,True,60,65,,,Bullish,5.04%,0,0,2025-09-05T07:56:00.946229+00:00,2025-09-05T13:26:00.946229+05:30,85.69727001876726,-2.7777777777778874,130.036274128772,0.3315193421933694,,,falling,up,up,0.12105615893458932,0.0817253618690994,0.03933079706548992,24.92365576567533,24.54035,24.15704423432467,24.80285,24.54035,24.27785,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,IDOLUSDT,Buy,50,Success,12.0,True,50,15,,,Bullish,5.04%,0,0,2025-09-05T07:56:01.782647+00:00,2025-09-05T13:26:01.782647+05:30,46.82841647996687,-35.611510791366854,19.51600312255999,0.00614914563235383,,,falling,up,up,-0.0001474810416803446,-0.0002469102704873242,9.94292288069796e-05,0.03839729800723132,0.03707,0.035742701992768675,0.03806,0.03707,0.03608,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,ADAUSDT,Strong Sell,85,Success,81.0,True,40,85,,,Bullish,5.04%,0,0,2025-09-05T07:56:02.621951+00:00,2025-09-05T13:26:02.621951+05:30,85.96233380778456,-6.060606060606239,119.05114899926014,0.33252213693924493,,,falling,down,down,0.00335845145390401,0.002493450547475474,0.0008650009064285358,0.8325475044996371,0.8221300000000001,0.8117124955003632,0.8297299999999999,0.8221299999999999,0.81453,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,15.0,10.0,10.0,10.0,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,TAKEUSDT,Sell,45,Fail,18.0,False,20,45,,,Bullish,5.04%,0,0,2025-09-05T07:56:03.460753+00:00,2025-09-05T13:26:03.460753+05:30,53.3155078957365,-20.767494356659242,55.69225099450497,-0.09488487975981538,,,falling,down,down,-0.0002668523930924871,-0.0012046425528449837,0.0009377901597524966,0.15495853808638518,0.1478825,0.14080646191361482,0.15367750000000002,0.14788250000000003,0.14208750000000003,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,,0.0,,,
