SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,Bollinger_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,Keltner_sell_score,MACD_sell_score,Bollinger_buy_score,Keltner_buy_score
signals_2025-09-05_12-50-02_STRONG.json,PTBUSDT,Buy,40,Success,0.0,True,40,25.0,,,Bullish,5.04%,0,0,2025-09-05T07:18:55.881067+00:00,2025-09-05T12:48:55.881067+05:30,50.715785536276265,-60.94182825484774,-68.78643349231558,0.04866676301271359,,,falling,up,up,0.0005316570041969879,0.0007683846760721708,-0.00023672767187518293,0.04735910541996163,0.045883999999999994,0.04440889458003836,0.04706400000000001,0.04588400000000001,0.04470400000000001,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,,0.0,15.0,0.0,0.0,,10.0,,
signals_2025-09-05_12-50-02_STRONG.json,BNXUSDT,Strong Sell,60,Inconclusive,,False,35,60.0,,,Bullish,5.04%,0,0,2025-09-05T07:18:57.003436+00:00,2025-09-05T12:48:57.003436+05:30,,,,,,,falling,down,down,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,,,,,0.0,0.0,0.0,0.0,,,,15.0,,15.0,10.0,10.0,10.0,0.0,15.0,10.0
signals_2025-09-05_12-50-02_STRONG.json,LINKUSDT,Strong Sell,90,Inconclusive,,False,50,90.0,,,Bullish,5.04%,0,0,2025-09-05T07:18:58.117184+00:00,2025-09-05T12:48:58.117184+05:30,73.29919304164292,-6.43939393939375,211.09380898452434,-0.08237203278950744,,,falling,up,up,0.0454888993154654,0.028666087841865015,0.016822811473600388,22.712696610125125,22.582900000000002,22.45310338987488,22.703899999999997,22.5829,22.4619,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,15.0,10.0,15.0,0.0,0.0,10.0,0.0,,
signals_2025-09-05_12-50-02_STRONG.json,SOMIUSDT,Sell,50,Success,17.0,True,30,50.0,,,Bullish,5.04%,0,0,2025-09-05T07:18:59.269597+00:00,2025-09-05T12:48:59.269597+05:30,59.34307601814868,-8.979591836734624,82.99402235120787,-0.13622581624693336,,,falling,up,up,0.0017572877572104018,0.002091281367528788,-0.0003339936103183864,0.5683265794867421,0.5596599999999999,0.5509934205132577,0.5674599999999999,0.5596599999999999,0.55186,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,15.0,0.0,,10.0,15.0,0.0,0.0,,10.0,,
signals_2025-09-05_12-50-02_STRONG.json,SUIUSDT,Strong Sell,80,Inconclusive,,False,60,80.0,,,Bullish,5.04%,0,0,2025-09-05T07:19:00.409934+00:00,2025-09-05T12:49:00.409934+05:30,79.51222661437522,-5.234159779614329,193.30341241005783,0.05556390769686659,,,falling,up,up,0.009368458467235996,0.007721396558272925,0.0016470619089630715,3.3786045893295067,3.3581200000000004,3.337635410670494,3.3775200000000005,3.3581200000000004,3.3387200000000004,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,15.0,0.0,15.0,0.0,0.0,10.0,0.0,,
signals_2025-09-05_12-50-02_STRONG.json,1000PEPEUSDT,Strong Sell,60,Inconclusive,,False,50,60.0,,,Bullish,5.04%,0,0,2025-09-05T07:19:01.531013+00:00,2025-09-05T12:49:01.531013+05:30,67.88483130825448,-16.21936989498144,119.31325151853417,-0.13358205564593306,,,falling,up,up,9.195379996176922e-06,4.958595535953793e-06,4.2367844602231294e-06,0.009588428652972394,0.009547775,0.009507121347027605,0.009583625,0.009547775,0.009511925,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,15.0,0.0,,10.0,15.0,0.0,0.0,10.0,0.0,,
signals_2025-09-05_12-50-02_STRONG.json,IDOLUSDT,Strong Buy,65,Success,4.0,True,65,,,,Bullish,5.04%,0,0,2025-09-05T07:19:02.641225+00:00,2025-09-05T12:49:02.641225+05:30,54.210203812875946,-24.104234527687417,3.519749706686976,0.10345241398668932,,,rising,up,up,-0.0005255971419729152,-0.0005412715048132214,1.5674362840306113e-05,0.03881531099505575,0.0372255,0.03563568900494425,0.03847049999999999,0.037225499999999995,0.0359805,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,
signals_2025-09-05_12-50-02_STRONG.json,AVAXUSDT,Sell,50,Inconclusive,,False,40,50.0,,,Bullish,5.04%,0,0,2025-09-05T07:19:03.771304+00:00,2025-09-05T12:49:03.771304+05:30,64.35359444487722,-5.660377358490819,78.92399441694242,-0.051824095316345145,,,falling,up,up,0.01928483517605173,0.013847775307107433,0.005437059868944296,24.51515243273377,24.4129,24.31064756726623,24.4929,24.412899999999997,24.332899999999995,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,15.0,0.0,,10.0,15.0,0.0,0.0,,0.0,,
signals_2025-09-05_12-50-02_STRONG.json,ADAUSDT,Strong Sell,75,Inconclusive,,False,65,75.0,,,Bullish,5.04%,0,0,2025-09-05T07:19:04.880911+00:00,2025-09-05T12:49:04.880911+05:30,76.55502243465169,-10.86956521739133,168.18873668188465,-0.0023135793390109266,,,rising,up,up,0.001243559604224953,0.0005832395632145545,0.0006603200410103986,0.822124724661252,0.817585,0.813045275338748,0.821385,0.817585,0.813785,10.0,0.0,0.0,10.0,0.0,15.0,10.0,10.0,10.0,25.0,15.0,0.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,,
signals_2025-09-05_12-50-02_STRONG.json,TAKEUSDT,Strong Buy,70,Success,3.0,True,70,30.0,,,Bullish,5.04%,0,0,2025-09-05T07:19:06.037517+00:00,2025-09-05T12:49:06.037517+05:30,31.717437622193174,-82.10372534696872,-112.74700655041225,-0.20126887357524437,,,rising,up,up,-0.0031197812053248564,-0.002500222994761078,-0.0006195582105637783,0.1558712073464177,0.148292,0.1407127926535823,0.154242,0.148292,0.14234200000000002,10.0,10.0,15.0,0.0,0.0,15.0,10.0,10.0,0.0,0.0,0.0,10.0,,10.0,0.0,0.0,0.0,,10.0,,
