Section,Total,Success,Fail,Inconclusive,WinRate,AvgConfidence
Strong Buy,0,0,0,0,0.0,0.0
Buy,6,2,2,2,50.0,43.333333333333336
Strong Sell,1,1,0,0,100.0,84.0
Sell,183,50,105,28,32.25806451612903,46.92896174863388
