Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,would_be_strong_if,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,note,IND__rsi5m,IND__macd5m_histogram,IND__boll5m_upper,IND__boll5m_middle,IND__boll5m_lower,IND__boll5m_percent_b,IND__cci5m,IND__marketTrend,IND__volProfile_bullish_score,IND__volProfile_bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m_trend,IND__cvd5m_value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__estimated_profit_margin_pct,CONFLUENCE_FLAGS,WBS_missing_points,WBS_top_missing_1,WBS_top_missing_2,WBS_top_missing_3,FLAG__RSI_30_CVD_falling
AAVEUSDT,Sell,42,300.9,298.73352,303.3072,Bullish,2025-09-06T14:09:29.006498+00:00,2025-09-06T19:39:29.006498+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""trend_score"", ""gap"": 15.0}]}",Success,97,97.0,,5.04%,,73.81472876395493,0.16259619857085605,300.6855686955786,299.7355,298.7854313044214,1.1128504209323569,273.7157855268234,10.0,0.0,3.0,299.87269197425076,0.39751765151724333,300.0918750000001,,25.874558854924164,,rising,1.589999999999975,32.0,0.0,0.0,5.0,0.0,5.0,1.1128504209323569,73.81472876395493,273.7157855268234,0.16259619857085605,0.39751765151724333,300.0918750000001,,25.874558854924164,,0.0,3.0,,5.039999999999951,,23,confluence_bonus,momentum_score,trend_score,0
ARBUSDT,Buy,42,0.4902,0.49372944,0.4862784,Bullish,2025-09-06T14:09:29.893461+00:00,2025-09-06T19:39:29.893461+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.97}]}",Fail,87,,87.0,5.04%,,60.1248298054364,0.0001989611196998446,0.48976734054697185,0.488345,0.4869226594530281,1.152094185161666,258.5829072315645,10.0,3.0,0.0,0.48912746397981177,0.0011861781980461224,0.4881406250000001,,-3.3883575989729713,,rising,0.0014000000000000123,8.0,9.025589814971966,15.0,5.0,0.0,5.0,1.152094185161666,60.1248298054364,258.5829072315645,0.0001989611196998446,0.0011861781980461224,0.4881406250000001,,-3.3883575989729713,,3.0,0.0,,5.039999999999992,,23,base_score,confluence_bonus,momentum_score,0
PENGUUSDT,Buy,46,0.028968,0.02917657,0.02873626,Bullish,2025-09-06T14:09:30.753318+00:00,2025-09-06T19:39:30.753318+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.67}]}",Success,22,22.0,,5.04%,,69.65863899745132,1.1791047516814115e-05,0.028914313166427733,0.028801100000000003,0.028687886833572273,1.2371050791452713,274.5168431759717,10.0,3.0,0.0,0.028785526859274126,6.534286265342859e-05,0.028761968750000002,,10.710667858619242,,rising,0.000168999999999999,8.0,13.330773536881313,15.0,5.0,0.0,5.0,1.2371050791452713,69.65863899745132,274.5168431759717,1.1791047516814115e-05,6.534286265342859e-05,0.028761968750000002,,10.710667858619242,,3.0,0.0,,5.039999999999996,,19,base_score,confluence_bonus,momentum_score,0
BTRUSDT,Buy,46,0.05532,0.05616081,0.05447919,Bullish,2025-09-06T14:09:32.464058+00:00,2025-09-06T19:39:32.464058+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",Success,35,35.0,,10.64%,,45.56721066572378,-3.134780351858859e-05,0.056169251759297566,0.055656000000000004,0.05514274824070244,0.1726752574020848,-110.65292096220094,10.0,3.0,0.0,0.05529992768406203,0.0004671145910815241,0.05574609375,,5.401677292108534,,falling,-0.0006199999999999956,12.0,4.0,15.0,10.0,0.0,5.0,0.1726752574020848,45.56721066572378,-110.65292096220094,-3.134780351858859e-05,0.0004671145910815241,0.05574609375,,5.401677292108534,,3.0,0.0,,10.63926942810416,,19,confluence_bonus,base_score,momentum_score,0
DOTUSDT,Sell,40,3.817,3.7895176,3.847536,Bullish,2025-09-06T14:09:33.321418+00:00,2025-09-06T19:39:33.321418+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}, {""component"": ""trend_score"", ""gap"": 15.0}]}",Success,102,102.0,,5.04%,,61.79399527507857,0.0007586920150511032,3.8162952871918687,3.8085499999999994,3.80080471280813,1.0454930069521005,167.17019133937492,10.0,0.0,3.0,3.810573624400504,0.0057798879826484765,3.8043125,,-1.4038387871134201,,rising,0.0,26.0,4.0,0.0,5.0,0.0,5.0,1.0454930069521005,61.79399527507857,167.17019133937492,0.0007586920150511032,0.0057798879826484765,3.8043125,,-1.4038387871134201,,0.0,3.0,,5.039999999999963,,25,confluence_bonus,momentum_score,trend_score,0
TRXUSDT,Buy,62,0.32966,0.33203355,0.32702272,Bullish,2025-09-06T14:09:34.187432+00:00,2025-09-06T19:39:34.187432+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",Fail,129,,129.0,5.04%,,28.589064739273397,-5.9398741698425174e-05,0.3310772395149738,0.330497,0.32991676048502616,-0.221253877407622,-265.327474367006,10.0,0.0,3.0,0.3307456197563964,0.0002713590401770299,0.33026218749999997,,-28.10476702532551,,falling,-0.0011299999999999644,32.0,0.0,8.0,5.0,12.0,5.0,-0.221253877407622,28.589064739273397,-265.327474367006,-5.9398741698425174e-05,0.0002713590401770299,0.33026218749999997,,-28.10476702532551,,0.0,3.0,,5.040000000000002,RSI<=30 & CVD_falling,3,momentum_score,confluence_bonus,base_score,1
1000BONKUSDT,Buy,45,0.020051,0.02019537,0.01989059,Bullish,2025-09-06T14:09:35.047113+00:00,2025-09-06T19:39:35.047113+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.62}]}",Fail,103,,103.0,5.04%,,64.33644063661052,6.138972981137084e-06,0.020032937553479867,0.01997535,0.019917762446520132,1.1568259582901645,222.69503546099767,10.0,3.0,0.0,0.019975720723914698,4.3637123105202135e-05,0.019961343750000003,,6.100239619622071,,rising,5.6000000000000494e-05,8.0,12.3763763755023,15.0,5.0,0.0,5.0,1.1568259582901645,64.33644063661052,222.69503546099767,6.138972981137084e-06,4.3637123105202135e-05,0.019961343750000003,,6.100239619622071,,3.0,0.0,,5.039999999999952,,20,base_score,confluence_bonus,momentum_score,0
EIGENUSDT,Buy,53,1.3068,1.31620896,1.2963456,Bullish,2025-09-06T14:09:37.622221+00:00,2025-09-06T19:39:37.622221+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 12, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",Fail,61,,61.0,5.04%,,72.05637824471097,0.0016077841006277576,1.303245187025902,1.294465,1.2856848129740979,1.2024337843607973,304.51034139045737,10.0,3.0,0.0,1.298072513152726,0.003603108866152666,1.2970562499999998,,17.838859063886126,,rising,0.01429999999999998,8.0,19.709312387851462,15.0,5.0,0.0,5.0,1.2024337843607973,72.05637824471097,304.51034139045737,0.0016077841006277576,0.003603108866152666,1.2970562499999998,,17.838859063886126,,3.0,0.0,,5.040000000000012,,12,base_score,confluence_bonus,volume_score,0
FILUSDT,Buy,45,2.318,2.3346896,2.299456,Bullish,2025-09-06T14:09:39.333746+00:00,2025-09-06T19:39:39.333746+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.59}]}",Success,163,163.0,,5.04%,,61.465582958178416,0.000615678824077621,2.3176153204587298,2.3122999999999996,2.3069846795412694,1.0361859218326608,184.49612403100403,10.0,3.0,0.0,2.313080093598723,0.004334349115025371,2.31096875,,1.47074336809815,,falling,-0.0009999999999998899,8.0,7.40911435275015,15.0,10.0,0.0,5.0,1.0361859218326608,61.465582958178416,184.49612403100403,0.000615678824077621,0.004334349115025371,2.31096875,,1.47074336809815,,3.0,0.0,,5.039999999999957,,20,base_score,confluence_bonus,momentum_score,0
1000SHIBUSDT,Buy,49,0.012269,0.01235734,0.01217085,Bullish,2025-09-06T14:09:40.192534+00:00,2025-09-06T19:39:40.192534+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",Fail,132,,132.0,5.04%,,66.13147842788011,4.0245892736044265e-06,0.01226430284882908,0.012235550000000001,0.012206797151170923,1.0816814917861401,229.13220862276998,10.0,3.0,0.0,0.012245069327331097,1.3732066185624994e-05,0.012244281249999999,,10.14916478978625,,rising,4.0000000000000105e-05,8.0,16.033911813476312,15.0,5.0,0.0,5.0,1.0816814917861401,66.13147842788011,229.13220862276998,4.0245892736044265e-06,1.3732066185624994e-05,0.012244281249999999,,10.14916478978625,,3.0,0.0,,5.039999999999994,,16,base_score,confluence_bonus,volume_score,0
