SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,MACD_sell_score,Keltner_sell_score,Bollinger_buy_score,Keltner_buy_score,Bollinger_sell_score
signals_2025-09-05_00-47-00_STRONG.json,IDOLUSDT,Sell,45,Success,1.0,True,20,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:07.873558+00:00,2025-09-05T00:46:07.873558+05:30,53.42319682019405,-31.2977099236642,89.37689698267961,-0.09712697156841488,,,falling,down,down,9.378605305304655e-05,4.446693565183839e-05,4.931911740120816e-05,0.04035577063587402,0.039642500000000004,0.03892922936412599,0.040297499999999986,0.03964249999999999,0.038987499999999994,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,BNXUSDT,Strong Sell,60,Inconclusive,,False,35,60,,,Bullish,5.04%,0,0,2025-09-04T19:16:08.726021+00:00,2025-09-05T00:46:08.726021+05:30,,,,,,,falling,down,down,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,,,,,0.0,0.0,0.0,0.0,,,,,15.0,10.0,10.0,0.0,10.0,15.0,10.0,15.0
signals_2025-09-05_00-47-00_STRONG.json,1000PEPEUSDT,Buy,40,Success,220.0,True,40,25,,,Bullish,5.04%,0,0,2025-09-04T19:16:09.586801+00:00,2025-09-05T00:46:09.586801+05:30,53.376425210980436,-22.252497729337136,46.924240248053586,-0.10926629544877674,,,falling,up,up,-6.9300640984926165e-06,-1.0140171951588457e-05,3.2101078530958405e-06,0.00947979393510846,0.009436175000000002,0.009392556064891543,0.009470975000000001,0.009436175000000002,0.009401375000000002,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,SUIUSDT,Sell,45,Inconclusive,,False,20,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:10.450236+00:00,2025-09-05T00:46:10.450236+05:30,52.15940305290066,-21.2389380530976,34.305793903735406,-0.034361684115832854,,,falling,down,down,-0.0025187501190662154,-0.003659651204449022,0.0011409010853828064,3.2692150672911917,3.25454,3.2398649327088083,3.2664400000000002,3.25454,3.2426399999999997,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,LINKUSDT,Buy,45,Success,80.0,True,45,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:11.306065+00:00,2025-09-05T00:46:11.306065+05:30,38.85577852900824,-82.27272727272651,-79.94655154692033,-0.24957834631060197,,,falling,down,down,-0.05323742393467157,-0.05464791036931966,0.0014104864346480908,22.49754126641906,22.370449999999998,22.243358733580937,22.47245,22.370449999999998,22.268449999999998,10.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,TAKEUSDT,Strong Buy,65,Fail,15.0,False,65,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:12.188119+00:00,2025-09-05T00:46:12.188119+05:30,37.57553188374701,-84.80492813141674,-170.93017210003651,-0.19393236866782418,,,falling,up,up,-0.0006237501340336793,0.00043188148641564925,-0.0010556316204493287,0.19792300368968654,0.192638,0.18735299631031346,0.197223,0.192638,0.188053,10.0,10.0,15.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,10.0,
signals_2025-09-05_00-47-00_STRONG.json,AVAXUSDT,Sell,45,Success,29.0,True,20,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:13.041890+00:00,2025-09-05T00:46:13.041890+05:30,41.04578052150373,-58.878504672898146,-41.12343516897289,-0.09032016351220373,,,falling,down,down,-0.050734079209036054,-0.05783593829319789,0.007101859084161839,24.459969945254997,24.38325,24.306530054745004,24.44925,24.38325,24.31725,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,ADAUSDT,Buy,40,Success,171.0,True,40,25,,,Bullish,5.04%,0,0,2025-09-04T19:16:13.926051+00:00,2025-09-05T00:46:13.926051+05:30,48.15706026990634,-43.333333333334075,-12.127697520952102,-0.2548032291315292,,,falling,up,up,-0.0008011753320109616,-0.0008721030152345659,7.092768322360435e-05,0.8096873414216748,0.80683,0.8039726585783253,0.8093299999999999,0.8068299999999999,0.80433,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,TAUSDT,Sell,45,Success,70.0,True,20,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:15.163150+00:00,2025-09-05T00:46:15.163150+05:30,46.70577089816633,-43.15789473684199,-7.693787266782288,-0.03847928266272519,,,falling,down,down,-0.0002904483028041971,-0.00035808247197237353,6.763416916817644e-05,0.14444800819317952,0.13981000000000002,0.13517199180682052,0.14369500000000004,0.13981000000000005,0.13592500000000005,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,JELLYJELLYUSDT,Strong Buy,60,Success,17.0,True,60,40,,,Bullish,5.04%,0,0,2025-09-04T19:16:16.022864+00:00,2025-09-05T00:46:16.022864+05:30,65.98154799462773,-12.21374045801531,111.26773083419098,0.04409435794223022,,,falling,up,up,0.00028873603304228196,0.0001938343003486204,9.490173269366157e-05,0.04072790661945502,0.039682499999999996,0.03863709338054497,0.040497500000000006,0.03968250000000001,0.03886750000000001,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,,,,
