Section,Total,Success,Fail,Inconclusive,WinRate,AvgConfidence
Strong Buy,396,299,23,74,92.85714285714286,64.63383838383838
Buy,635,457,52,126,89.78388998035363,44.31496062992126
Strong Sell,945,477,61,407,88.66171003717473,64.52380952380952
Sell,1034,502,99,433,83.52745424292846,44.79206963249516
