Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__rule
ETHUSDT,Buy,42,4632.94,4666.297168,4493.9518,Bullish,2025-09-14T21:47:14.583313+00:00,2025-09-15T03:17:14.583313+05:30,Success,502,502.0,,5.04%,62.71677256434234,3.4268283253595655,1.9064496805711777,1.5203786447883878,4632.418075694411,4619.6495,4606.88092430559,1.0204378435809982,218.96822723701555,10.0,3.0,0.0,4615.704885822371,7.058000764742859,4618.936250000001,3.284062499999891,0.07109997458830246,,11.560044021420984,,rising,30522.570999999996,8.0,9.169889986013724,15.0,5.0,0.0,5.0,1.0204378435809982,62.71677256434234,218.96822723701555,1.5203786447883878,7.058000764742859,4618.936250000001,,11.560044021420984,,3.0,0.0,rising,30522.570999999996,3.284062499999891,0.07109997458830246,5.039999999999932,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.83}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,
SOLUSDT,Buy,43,244.57,246.330904,237.2329,Bullish,2025-09-14T21:47:15.684895+00:00,2025-09-15T03:17:15.684895+05:30,Fail,590,,590.0,5.04%,61.98167934347178,-0.1111013591883534,-0.4659987128454867,0.3548973536571333,244.06893704239948,242.47600000000003,240.88306295760057,1.1572764472994346,221.46416706216652,10.0,0.0,3.0,243.5459890062924,0.8360616107730812,242.48453125,0.2906250000000057,0.11985300608737517,,-4.149596815283281,,rising,312110.05000000005,8.0,15.187689971670016,15.0,0.0,0.0,5.0,1.1572764472994346,61.98167934347178,221.46416706216652,0.3548973536571333,0.8360616107730812,242.48453125,,-4.149596815283281,,0.0,3.0,rising,312110.05000000005,0.2906250000000057,0.11985300608737517,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,
BTCUSDT,Buy,58,116049.9,116885.45928,112568.403,Bullish,2025-09-14T21:47:17.015657+00:00,2025-09-15T03:17:17.015657+05:30,Inconclusive,600,,,5.04%,73.7996793349864,111.25305113293871,89.15247794769797,22.100573185240734,116032.29145772227,115787.76499999998,115543.2385422777,1.0360053927123984,194.14645086530655,10.0,3.0,0.0,115657.1451405733,64.9053194446491,115902.00625,40.48124999998254,0.03492713483549603,,35.58992871356503,,rising,1575.5700000000002,8.0,17.17211533637257,15.0,5.0,0.0,5.0,1.0360053927123984,73.7996793349864,194.14645086530655,22.100573185240734,64.9053194446491,115902.00625,,35.58992871356503,,3.0,0.0,rising,1575.5700000000002,40.48124999998254,0.03492713483549603,5.040000000000008,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,58,50.0,58.0,40.48124999998254,0.03492713483549603,False,0.6810096113643808,0.03492713483549603,False,conditions_not_met,,,
DOGEUSDT,Strong Buy,65,0.28267,0.28470522,0.2741899,Bullish,2025-09-14T21:47:18.104531+00:00,2025-09-15T03:17:18.104531+05:30,Fail,215,,215.0,5.04%,69.74924307971179,0.0008407401756345134,0.0004635598471404075,0.0003771803284941059,0.2822172976195987,0.2796065,0.2769957023804013,1.0866980988880472,210.31262687778687,10.0,3.0,0.0,0.27926404081982287,0.0010732420715543957,0.28078453125,0.0005425000000000013,0.19320864920332084,,20.874179310002408,,rising,233916402.0,8.0,17.43456301591671,15.0,5.0,0.0,5.0,1.0866980988880472,69.74924307971179,210.31262687778687,0.0003771803284941059,0.0010732420715543957,0.28078453125,,20.874179310002408,,3.0,0.0,rising,233916402.0,0.0005425000000000013,0.19320864920332084,5.040000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,65,50.0,58.0,0.0005425000000000013,0.19320864920332084,True,0.7028802513263925,0.19320864920332084,False,,58.0,65.0,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support)
PUMPUSDT,Buy,40,0.0081,0.00815832,0.007857,Bullish,2025-09-14T21:47:20.260151+00:00,2025-09-15T03:17:20.260151+05:30,Success,17,17.0,,5.04%,50.42623975809873,-7.760139396810126e-05,-0.00010941443398805161,3.1813040019950355e-05,0.008213573935386844,0.00800515,0.007796726064613158,0.7275410447076361,68.36569579288029,10.0,3.0,0.0,0.008193159496004358,9.405321880850574e-05,0.007937765624999999,2.6031249999999145e-05,0.32794178147580605,,-23.895259756414926,,falling,-4712905898.0,4.0,13.117882302713493,8.0,10.0,0.0,5.0,0.7275410447076361,50.42623975809873,68.36569579288029,3.1813040019950355e-05,9.405321880850574e-05,0.007937765624999999,,-23.895259756414926,,3.0,0.0,falling,-4712905898.0,2.6031249999999145e-05,0.32794178147580605,5.0400000000000515,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 7.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
XRPUSDT,Buy,58,3.0504,3.07236288,2.958888,Bullish,2025-09-14T21:47:21.378621+00:00,2025-09-15T03:17:21.378621+05:30,Inconclusive,600,,,5.04%,64.7244597471173,0.001479015063330813,-9.895340226105984e-05,0.001577968465591873,3.047576699244297,3.0387,3.029823300755703,1.1590287492007056,266.414141414143,10.0,3.0,0.0,3.039832585822475,0.004880491675674465,3.0389187499999997,0.001998437499999728,0.06576146532380071,,7.972248587799228,,rising,5531463.3,8.0,16.759718833855256,15.0,5.0,0.0,5.0,1.1590287492007056,64.7244597471173,266.414141414143,0.001577968465591873,0.004880491675674465,3.0389187499999997,,7.972248587799228,,3.0,0.0,rising,5531463.3,0.001998437499999728,0.06576146532380071,5.039999999999954,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,58,50.0,58.0,0.001998437499999728,0.06576146532380071,False,0.6466432361546047,0.06576146532380071,False,conditions_not_met,,,
AVNTUSDT,Buy,40,0.81261,0.81846079,0.7882317,Bullish,2025-09-14T21:47:23.563977+00:00,2025-09-15T03:17:23.563977+05:30,Success,1,1.0,,5.04%,60.42055192699919,0.0019841587045719145,-0.00260345618089447,0.0045876148854663845,0.8120193216400003,0.78777,0.7635206783599996,1.01217927595602,198.16669149762058,10.0,0.0,3.0,0.7976262395747264,0.014230941255978397,0.78875421875,0.006334062500000015,0.8030464179371484,,3.523640282440483,,rising,10530560.0,8.0,11.736856984420424,15.0,0.0,0.0,5.0,1.01217927595602,60.42055192699919,198.16669149762058,0.0045876148854663845,0.014230941255978397,0.78875421875,,3.523640282440483,,0.0,3.0,rising,10530560.0,0.006334062500000015,0.8030464179371484,5.040000000000042,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
WLDUSDT,Buy,49,1.6225,1.634182,1.573825,Bullish,2025-09-14T21:47:29.115011+00:00,2025-09-15T03:17:29.115011+05:30,Fail,85,,85.0,5.04%,64.14423437956899,0.003194637934787581,0.0014657046884475173,0.0017289332463400636,1.6208257755023339,1.60889,1.596954224497666,1.0701347179887393,206.16693248272168,10.0,3.0,0.0,1.6086040508885375,0.006171467503717212,1.6133609375000002,0.003009375000000203,0.1865283167611217,,13.002458272645248,,rising,2906199.0,8.0,15.723586875758242,15.0,5.0,0.0,5.0,1.0701347179887393,64.14423437956899,206.16693248272168,0.0017289332463400636,0.006171467503717212,1.6133609375000002,,13.002458272645248,,3.0,0.0,rising,2906199.0,0.003009375000000203,0.1865283167611217,5.039999999999987,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
SUIUSDT,Buy,49,3.7323,3.75917256,3.620331,Bullish,2025-09-14T21:47:32.437097+00:00,2025-09-15T03:17:32.437097+05:30,Fail,587,,587.0,5.04%,64.96328945105475,0.0053131599849542965,0.002562158995238181,0.0027510009897161155,3.7287172889963713,3.709995,3.691272711003629,1.0956803680448215,230.80145086400205,10.0,3.0,0.0,3.7071830103765446,0.008967159517276318,3.7160640625,0.0037593750000004533,0.10116550567406837,,13.88276077440351,,rising,2590591.5,8.0,16.362869326232406,15.0,5.0,0.0,5.0,1.0956803680448215,64.96328945105475,230.80145086400205,0.0027510009897161155,0.008967159517276318,3.7160640625,,13.88276077440351,,3.0,0.0,rising,2590591.5,0.0037593750000004533,0.10116550567406837,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
ENAUSDT,Buy,42,0.7539,0.75932808,0.731283,Bullish,2025-09-14T21:47:33.518911+00:00,2025-09-15T03:17:33.518911+05:30,Success,229,229.0,,5.04%,58.74696442119449,0.0019201016130243609,0.0013560158063456837,0.0005640858066786772,0.756407444310842,0.75035,0.744292555689158,0.7930278693314642,104.80393648861453,10.0,3.0,0.0,0.7482228918354962,0.002924578784384504,0.752815625,0.0014015625000000087,0.18617606402630243,,17.088829066271217,,rising,7689385.0,8.0,8.629062972272576,15.0,5.0,0.0,5.0,0.7930278693314642,58.74696442119449,104.80393648861453,0.0005640858066786772,0.002924578784384504,0.752815625,,17.088829066271217,,3.0,0.0,rising,7689385.0,0.0014015625000000087,0.18617606402630243,5.03999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.37}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,
