Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
ETHUSDT,Sell,47,4391.95,4360.32796,4523.7085,Bearish,2025-09-11T13:14:21.398235+00:00,2025-09-11T18:44:21.398235+05:30,Inconclusive,600,,,5.04%,38.41087280669068,-5.5262102152328225,-1.0505821443555445,-4.475628070877278,4467.2330456528025,4428.1155,4388.997954347197,0.037733012175714696,-177.23125498177762,-10.0,0.0,3.0,4424.760615317113,21.69623200038985,4413.12671875,-7.176250000000437,-0.16261146478098595,,-8.145171888117432,,falling,-252913.09000000003,8.0,13.950863066873758,15.0,5.0,0.0,5.0,0.037733012175714696,38.41087280669068,-177.23125498177762,-4.475628070877278,21.69623200038985,4413.12671875,,-8.145171888117432,,0.0,3.0,falling,-252913.09000000003,-7.176250000000437,-0.16261146478098595,5.040000000000031,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.05}]}",False,not_in_gap_or_already_strong,47.0,Sell,47,,,,,,,,,,
BTCUSDT,Sell,48,113469.4,112652.42032,116873.482,Bearish,2025-09-11T13:14:22.523714+00:00,2025-09-11T18:44:22.523714+05:30,Inconclusive,600,,,5.04%,34.84842879311854,-71.00195279803302,-17.974379720534397,-53.027573077498616,114364.646708361,113953.16,113541.673291639,-0.08781971588691356,-220.0278755720571,-10.0,0.0,3.0,113951.92399397133,206.37480741413668,113803.7609375,-77.03437500000291,-0.06769053532625297,,-10.40360851058972,,falling,-7551.281999999999,8.0,15.166749565057568,15.0,5.0,0.0,5.0,-0.08781971588691356,34.84842879311854,-220.0278755720571,-53.027573077498616,206.37480741413668,113803.7609375,,-10.40360851058972,,0.0,3.0,falling,-7551.281999999999,-77.03437500000291,-0.06769053532625297,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Sell,48,,,,,,,,,,
MYXUSDT,Sell,42,15.978,15.8629584,16.45734,Bearish,2025-09-11T13:14:26.942045+00:00,2025-09-11T18:44:26.942045+05:30,Success,36,36.0,,5.04%,34.37589511878545,-0.2984291960312042,-0.29346166814651264,-0.004967527884691569,16.94564284750596,16.39685,15.848057152494041,0.11838970578470163,-119.0361597632471,-10.0,0.0,3.0,16.869240398562773,0.39710814893611157,16.1111875,-0.05328125000000128,-0.33070963887672017,,-29.876646883792553,,falling,-40692.0,8.0,9.300222167568208,15.0,5.0,0.0,5.0,0.11838970578470163,34.37589511878545,-119.0361597632471,-0.004967527884691569,0.39710814893611157,16.1111875,,-29.876646883792553,,0.0,3.0,falling,-40692.0,-0.05328125000000128,-0.33070963887672017,5.039999999999984,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.7}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,,
XRPUSDT,Sell,43,2.9782,2.95675696,3.067546,Bearish,2025-09-11T13:14:29.181439+00:00,2025-09-11T18:44:29.181439+05:30,Inconclusive,600,,,5.04%,34.93772411677722,-0.007391281013063633,-0.004386012239831474,-0.003005268773232159,3.0342986642921628,3.003835,2.9733713357078373,0.07925284768525266,-142.7709318849878,-10.0,3.0,0.0,3.0060566888535867,0.012182071518184739,2.9861421874999996,-0.005356250000000173,-0.17937022632148772,,-18.697033133058046,,falling,-45635087.800000004,8.0,14.920704902274244,15.0,0.0,0.0,5.0,0.07925284768525266,34.93772411677722,-142.7709318849878,-0.003005268773232159,0.012182071518184739,2.9861421874999996,,-18.697033133058046,,3.0,0.0,falling,-45635087.800000004,-0.005356250000000173,-0.17937022632148772,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,,,,,,
WLDUSDT,Sell,41,1.6661,1.65410408,1.716083,Bearish,2025-09-11T13:14:30.296491+00:00,2025-09-11T18:44:30.296491+05:30,Success,54,54.0,,5.04%,31.063485649731305,-0.01818357919447111,-0.015387685863018124,-0.0027958933314529873,1.7413966505962966,1.6951999999999998,1.649003349403703,0.1850421012737594,-104.2922256064636,-10.0,0.0,3.0,1.7168318545035257,0.015804709884652095,1.6587953125,-0.008678125000000092,-0.5231582784569807,,-39.07259047875742,,falling,-50913975.0,8.0,8.245660973507253,15.0,5.0,0.0,5.0,0.1850421012737594,31.063485649731305,-104.2922256064636,-0.0027958933314529873,0.015804709884652095,1.6587953125,,-39.07259047875742,,0.0,3.0,falling,-50913975.0,-0.008678125000000092,-0.5231582784569807,5.039999999999974,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.75}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
AVAXUSDT,Sell,41,28.717,28.5102376,29.57851,Bearish,2025-09-11T13:14:31.406658+00:00,2025-09-11T18:44:31.406658+05:30,Inconclusive,600,,,5.04%,40.60471387927291,-0.0524488013377038,-0.02330115067910271,-0.029147650658601088,29.181686563113445,28.926700000000004,28.671713436886563,0.08880186187161612,-172.04944178628025,-10.0,0.0,3.0,28.926038098108883,0.1706905171590671,28.820859374999998,-0.033640625000003865,-0.11672318497617272,,-10.325838532284841,,falling,-1356881.0,8.0,8.09831563844006,15.0,5.0,0.0,5.0,0.08880186187161612,40.60471387927291,-172.04944178628025,-0.029147650658601088,0.1706905171590671,28.820859374999998,,-10.325838532284841,,0.0,3.0,falling,-1356881.0,-0.033640625000003865,-0.11672318497617272,5.039999999999971,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.9}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
PUMPUSDT,Sell,45,0.005437,0.00539785,0.00560011,Bearish,2025-09-11T13:14:34.723354+00:00,2025-09-11T18:44:34.723354+05:30,Success,9,9.0,,5.04%,31.47449646541706,-6.692108989111729e-05,-5.3885714231458356e-05,-1.3035375659658931e-05,0.005750797401212739,0.005590400000000001,0.005430002598787263,0.021812701327550307,-165.78538102643896,-10.0,0.0,3.0,0.005673622493992377,9.251083995708184e-05,0.005531000000000001,-3.48281249999997e-05,-0.6296894774905025,,-25.268061370453225,,rising,5132275651.0,8.0,12.381755218923026,15.0,5.0,0.0,5.0,0.021812701327550307,31.47449646541706,-165.78538102643896,-1.3035375659658931e-05,9.251083995708184e-05,0.005531000000000001,,-25.268061370453225,,0.0,3.0,rising,5132275651.0,-3.48281249999997e-05,-0.6296894774905025,5.039999999999948,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.62}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,,,,,,
AVNTUSDT,Sell,45,0.30856,0.30633837,0.3178168,Bearish,2025-09-11T13:14:38.077647+00:00,2025-09-11T18:44:38.077647+05:30,Success,20,20.0,,5.04%,42.280632070825554,-0.001054546839584336,0.0008427781549894567,-0.0018973249945737928,0.328097978203942,0.316919,0.305740021796058,0.12612862072436914,-159.45925016317614,-10.0,0.0,3.0,0.3137564916670283,0.005421994443596576,0.31270781249999996,-0.0021814062500000175,-0.6975861052400211,,-5.043277030804442,,falling,-16009738.0,8.0,12.398348678418365,15.0,5.0,0.0,5.0,0.12612862072436914,42.280632070825554,-159.45925016317614,-0.0018973249945737928,0.005421994443596576,0.31270781249999996,,-5.043277030804442,,0.0,3.0,falling,-16009738.0,-0.0021814062500000175,-0.6975861052400211,5.03999999999994,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.6}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,,,,,,
SUIUSDT,Sell,48,3.5774,3.55164272,3.684722,Bearish,2025-09-11T13:14:39.187710+00:00,2025-09-11T18:44:39.187710+05:30,Inconclusive,600,,,5.04%,35.96853844643199,-0.009625991709627524,-0.004830702101318796,-0.0047952896083087275,3.6542405749408684,3.61295,3.571659425059132,0.0695143498133546,-174.28419719806084,-10.0,0.0,3.0,3.6155954043065974,0.01826655895497914,3.5940312500000005,-0.009048437499999729,-0.25176290551173497,,-15.215127317160327,,falling,-9943313.9,8.0,15.300417658468664,15.0,5.0,0.0,5.0,0.0695143498133546,35.96853844643199,-174.28419719806084,-0.0047952896083087275,0.01826655895497914,3.5940312500000005,,-15.215127317160327,,0.0,3.0,falling,-9943313.9,-0.009048437499999729,-0.25176290551173497,5.0400000000000205,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Sell,48,,,,,,,,,,
LINKUSDT,Sell,49,23.488,23.3188864,24.19264,Bearish,2025-09-11T13:14:41.380261+00:00,2025-09-11T18:44:41.380261+05:30,Fail,428,,428.0,5.04%,38.6099572924942,-0.05213109022319884,-0.008635418350414604,-0.04349567187278423,24.195575767427208,23.79375,23.39192423257279,0.11954903743774109,-161.20795914773439,-10.0,0.0,3.0,23.76964211011823,0.15778834494098884,23.646265624999998,-0.08440625000000068,-0.35695382661506697,,-8.916808823465203,,falling,-541502.5100000001,8.0,15.615799952380689,15.0,5.0,0.0,5.0,0.11954903743774109,38.6099572924942,-161.20795914773439,-0.04349567187278423,0.15778834494098884,23.646265624999998,,-8.916808823465203,,0.0,3.0,falling,-541502.5100000001,-0.08440625000000068,-0.35695382661506697,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Sell,49,,,,,,,,,,
